stim_idx,final_token_match,n_cands,hit_top1,hit_top5,hit_actual,top1,actual,cands,top5
160,True,3,True,True,False,a,,"['a', 'blocks', 'the']",['a']
161,True,3,False,False,False,nm,nm,"['mv', 'amnh', 'cmnh']",['nm']
162,True,0,False,False,False,et,et,[],['et']
163,True,2,False,True,False,,,"['in', 'who']",['in']
164,False,2,False,False,False,,,"['15', '15th']",[]
165,True,3,True,True,False,their,the,"['their', 'their', 'their']",['their']
166,True,2,False,False,True,we,a,"['a', 'the']",['we']
167,True,0,False,False,False,1,7,[],['1']
168,True,3,True,True,False,consistent,weekly,"['consistent', 'monthly', 'daily']",['consistent']
169,True,4,False,False,False,ask,ink,"['boom', 'man', 'schwarz', 'koek']",['ask']
170,False,3,False,False,False,9,8,"['88', '975', '78']",['9']
171,True,4,True,True,False,the,work,"['the', 'it', 'the', 'the']",['the']
172,False,3,False,False,False,4,4,"['43', '44', '43']",['4']
173,True,2,True,True,True,ipated,ipated,"['ipated', 'ipated']",['ipated']
174,False,2,True,True,True,in,in,"['in', 'on']",['in']
175,False,4,True,True,True,3,3,"['4', '5', 'the', '3']",['3']
176,True,4,False,False,False,,,"['machine', 'girl', 'and', 'of']",['trap']
177,True,3,True,True,True,to,to,"['to', 'in', 'to']",['to']
178,True,0,False,False,False,known,beast,[],['known']
179,True,2,False,False,False,by,for,"['because', 'of']",['by']
180,True,2,False,False,False,,,"['25w', '101']",['2']
181,True,3,True,True,True,of,of,"['of', 'of', 'of']",['of']
182,True,3,False,True,True,,the,"['october', 'the', 'october']",['the']
183,True,4,False,False,False,c,c,"['00', 'star', 'starlight', 'mini']",['c']
184,True,3,False,True,False,,,"['into', 'to', 'without']",['to']
185,True,3,False,False,False,in,d,"['are', 'the', 'also']",['in']
186,True,3,False,False,False,,,"['tv', 'the', 'a']",[]
187,True,0,False,False,False,verte,verte,[],['verte']
188,True,5,False,True,False,,background,"['related', 'summary', 'end', 'key', 'the']",['summary']
189,True,2,False,False,False,,,"['s', 'membership']",[]
190,True,0,False,False,False,life,life,[],['life']
191,True,3,True,True,False,5,4,"['5', '5', 'end']",['5']
192,True,0,False,False,False,world,world,[],['world']
193,True,3,True,True,True,ites,ites,"['ite', 'ite', 'ites']",['ites']
194,True,3,False,False,False,more,yet,"['simplified', 'distinct', 'different']",['more']
195,True,3,True,True,False,5,8,"['5', '5', '0']",['5']
196,True,2,False,False,False,,,"['1534', '1555']",['the']
197,True,3,False,False,False,reduced,reduced,"['significantly', 'divided', 'almost']",['reduced']
198,True,2,True,True,True,eyer,eyer,"['eyer', 'eyer']",['eyer']
199,True,3,True,True,True,a,new,"['new', 'an', 'a']",['a']
