stim_idx,quote,n_words,verbatim,any3gram
31,goddess's story ends with a crisis.,7,False,False
32,"The design of the Italian submarine fleet was directed by engineer Antonio Negri, who in 1884 appointed engineer Gi",19,False,False
32,The chief designer was engineer Gi...,6,False,False
32,useppe Capponi's,3,False,False
33,"Other deaths included two people killed in a flood in a vehicle, and one died in a collapse during the storm",21,False,False
33,A family died in a freezer-related accident,8,False,False
33,In one case died in a,6,False,False
33,food shortage-related accident.,4,False,False
34,The American scientist John Franklin's Project drift buoys,9,False,False
34,The Soviet hurricane buoys,4,False,False
34,ys to carry instruments,4,False,False
35,"Completed in 1914, HMS Cornwallis was a light cruiser of the Royal Navy. Displacement  ",14,False,True
35,"1,850 tons",3,False,False
35,"1,850 tons and was armed with...",7,False,False
36,"The design was done by German-American architect Henry F. Farnsworth, who was noted for the design of the complex in the style of Art Deco",26,False,False
36,"by architect Henry Augustus von Gallgall, designed by noted architect Henry Augustus von Gallall",14,False,False
36,"of the period,",3,False,False
37,"Following the successful breakout in January 1943 the Corps was relieved from captivity and returned to combat duties . However later that year , ",22,False,False
37,"In June later ,",3,False,False
37,"By the end of the war ,",6,False,False
37,the Canadian Corps was again ordered to surrender,8,False,False
37,the Battle of the Bulge ended with casualties.,8,False,False
38,India's highest run scorer in T20,7,False,False
38,"T20 T20 cricket,",3,False,False
38,World champion in Twenty20 T20,5,False,False
39,Best Animated Short,3,False,False
39,"While the category was removed from the Academy Awards beginning in 2002, though",13,False,False
39,the Academy did reintroduce the category.,6,False,False
39,"though the category was reintroduced, though",6,False,False
39,"However, the Academy did reintroduce the category, though",8,False,False
39,the award was renamed,4,False,False
39,it continued to offer non-animated entries.,7,False,False
40,The atomic mass and other physical properties of europium are given below. The atomic mass of europium,17,False,True
40,Properties of europium,3,True,True
40,Some properties of europium,4,True,True
40,in its solid state are:,5,False,False
40,include the following:,3,False,False
40,"atoms are given below,",4,False,False
41,The sentence 'It is a chemical process about United States . Its context is about ... ' is given a summary of the passage 'Context'.,22,False,False
41,The text : It was a narrative about ... And the passage : ...,10,False,False
41,What is the intent?,4,False,False
41,The passage contains the following attributes:,6,False,False
41,This passage describes,3,False,False
42,Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game,27,False,True
42,the view of the game,5,False,True
42,the accumulated stages will form the view of the game,10,False,True
43,His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book,28,False,False
43,the comic book comic book,5,False,False
43,his participation in the comic strip and the graphic novel comic book,12,False,False
43,comic book series.,3,False,False
44,The Mayor of New York is seen causing trouble by throwing a party and nearly getting killed by a falling object from the top of,25,False,True
44,"the Empire State Building,",4,False,False
44,when he climbs up the top of,7,False,True
44,He throws himself off the top of,7,False,True
44,the Empire State Building,4,False,False
44,his office building,3,False,False
45,The 'Open Source' panel appeared at TED 2008,8,False,False
45,The conference was held at IFLA 20,7,False,False
45,"10, a conference on the findings.",6,False,False
46,"Her father was a Hawaiian missionary named James A. Wilcox, a American pioneer",13,False,False
46,a American pioneer,3,False,False
46,her husband was a Scottish immigrant pioneer,7,False,False
46,who converted to Mormonism.,4,False,False
47,After leaving Raw he returned to SmackDown and briefly appeared on Sm,12,False,False
47,During his time on Raw he also appeared on SmackDown and later on Sm...,14,False,True
47,"ackdown and his career, where he faced financial difficulties.",9,False,False
48,"Haji Ali Mosque is an Indian Muslim pilgrimage site located in Mumbai, India. The structure is a historic island mosque known as Elephanta Caves in",25,False,False
48,a historic island called Elephanta Caves in,7,False,False
48,the Thane district of India,5,False,False
48,the Indian state of Mumbai.,5,False,False
49,The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who,20,False,True
49,two FBI agents Fox Mulder and Dana Scully who,9,False,True
49,investigate mysterious cases,3,False,False
49,are partners in investigating paranormal phenomena,6,False,False
49,work together to solve mysteries.,5,False,False
50,Another novel: In the Time of the Butterflies,8,False,True
50,Love in Time,3,False,False
50,In Love in Time,4,False,False
50,Love in the Time of...,5,False,True
50,"Love in the Time of Cholera,",6,False,True
52,During its early formation the 1st Special Unit was organized as the 1st Korean Security Unit,16,False,False
52,In 1935 The 1st Unit,5,False,False
52,had three subordinate units,4,False,False
52,became a military organization with the following equipment.,8,False,False
53,"The city of Muskegon Township is a small industrial city located in the western part of the Lower Peninsula, part of the Grand Rapids metropolitan area of the",28,False,True
53,of the middle part of the,6,False,False
53,a county seat in an industrial area of the,9,False,True
53,Midwestern United States.,3,False,False
54,Another biographer was John Carter,5,False,False
54,of the film industry claimed,5,False,False
54,was a friend who,4,False,False
54,"described him as a homosexual,",5,False,False
55,"In Week 13 , the team 's response was mixed as the Eagles struggled , while the other team 's narrative slowed ",20,False,False
55,when the other ',3,False,False
55,"When the team 's statistics slowed , and he '",8,False,False
55,s's data,3,False,False
55,s had a break,4,False,False
56,The character 'John Smith' 's early life section describes his attendance at the university and his experiences with the organization 'The Order' . ,22,False,False
56,His 'birth year' and other facts about his childhood... John ',10,False,False
56,s second paragraph,3,False,False
57,Resident Evil 4.,3,False,False
57,"While combat is not the primary focus, airborne encounters are present throughout the game. Although air combat encounters are",19,False,False
57,"Although air battles are,",4,False,False
57,"Although bullet collisions do occur, Air battles are",8,False,False
57,"a component of the game, they do occur",8,False,False
57,"present, but not the primary focus.",6,False,False
58,Critical reception towards the character's portrayal received positive feedback,10,False,True
58,Actor's portrayal of Carrie Bradshaw,6,False,False
58,the character of Carrie Bradshaw,5,False,False
58,Taylor Swift's portrayal was,5,False,False
58,the actress's character received mixed reviews,7,False,False
59,"The second route begins in the city of Palm Bay, utilizing the aforementioned tributary named the Indian River...",18,False,False
59,using the aforementioned lake...,4,False,False
59,lake's lake,3,False,False
59,tributary's named lake,4,False,False
59,other named features of the county.,6,False,False
60,The 1776 Battle of Fort Washington is a historical marker for a soldier named Thomas Smith who served in the American,21,False,False
60,during the American,3,False,False
60,War of Independence,3,False,False
60,"Revolutionary War era,",3,False,False
61,"During the 1980s, African Americans had increased representation in the city council. By 1980, about 25% of Washington D.C.'s",21,False,True
61,D.C.'s,3,False,False
61,About 1960's,3,False,False
61,population was black,3,False,False
61,registered voters were black,4,False,False
62,"In his novel, he also draws on a variety of literary influences, including Saul",14,False,True
62,References to: Saul,3,False,False
62,and other Jewish literary figures.,5,False,False
63,In addition the brand also achieved record market share gains and sales growth during the period and the company reached record highs for brand awareness and market share,28,False,False
63,also recorded record profits for the company in sales figures and sales growth and achieved record sales figures and,19,False,False
63,its market position was cemented,5,False,False
63,reached a record market share,5,False,False
63,had a significant revenue.,4,False,False
64,The failure of the Christmas Parliament meant that the Commons were still determined to meet again,16,False,False
64,A Parliament meeting met,4,False,False
64,"When a conference failed, a Parliament meeting",7,False,False
64,in Westminster on 22 November,5,False,False
64,again in January to discuss the crisis,7,False,False
64,at Oxford to draft.,4,False,False
65,"After the group's tours, Destiny's Child's solo albums were also released and the group performed the songs from The Destiny's Child album",26,False,True
65,both sides of Destiny's Child's career...and a concert for Destiny,13,False,True
65,Child's Fan Club,4,False,False
65,Child's Own Dreams,4,False,False
65,s Child's collective retirement.,5,False,False
66,"While the Chinese origin of the deity is noted as combining both elements, scholars say the concept developed in Japan by the 18th century, but",25,False,False
66,"although he states that the idea came from China to Japan, and some scholars claim... but",16,False,True
66,the specific details were not adopted,6,False,False
66,the other aspects were added later,6,False,False
66,his account differs from original.,5,False,False
67,"Its taxonomic classification includes multiple names and definitions, with the species being named after the genus 'Lithobates' and related terms. Its taxonomic history dates back...",25,False,False
67,it does not publish multiple taxonomic names or classifications... This taxon's taxonomic history begins with the following classification...,19,False,False
67, The following is...,3,False,False
67,s the name has been reclassified,6,False,False
68,The Aggie Marching Band's roar was heard as 'Hail Aggi,11,False,False
68,The Aggie Spirit,3,False,False
68,The Spirit of Aggi,4,False,False
69,"The Greek language itself uses the following three scripts : the standard Modern Greek alphabet , the Macedonian dialect with its own unique characters , and the Albanian language which has no written form",31,False,False
69,While the latter includes the Turkish language with full written form and the Greek language with reduced characters...,18,False,False
69,The remaining language's written form is...,7,False,False
69,The Slavic dialects' variant counts.,5,False,False
70,This paper examines a documentary about a specific evangelical Protestant boarding school in the 1930s,15,False,False
70,closed Amish school.,3,False,False
70,"The account of a specific instance of a Protestant school,",10,False,False
70,Amish religious institution,3,False,False
70,American evangelical school in Ohio,5,False,False
70,anonymous Christian boarding school's closed community.,7,False,False
71,"The subgenus A. subsecunda was originally placed within the genus but excluded from the main cluster, alongside other species including",20,False,True
71,it also includes A. subsecunda along with,7,False,False
71,other species of A. subsecunda,5,False,False
72,While his batting form was questioned England's new spin bowler Scott Borthwick introduced young spin spinner,17,False,False
72,Young left handed spin spinner,5,False,False
72,He replaced former England's left handed spinner,8,False,False
72,Tim Bresnan as his spin bowling partner.,7,False,False
73,The passage states that AI is a positive trait for humanity and its growth... The passage also mentions some historical context about the term 'AI' and its usage patterns.,29,False,False
73,The passage states... And the second paragraph discusses the history and goals of AI...,14,False,False
73,The third claim is:,4,False,False
73,This passage has been used to argue...,7,False,False
74,"The album was released in 2001 and received mixed reviews upon its release, which was met with",17,False,True
74,The album received generally positive reception.,6,False,False
74,The album received mixed reviews that met with,8,False,False
74,positive critical acclaim,3,False,False
74,wide critical praise,3,False,False
74,a generally favorable reception and commercial success.,7,False,False
75,Lòt la: Temblble,4,False,False
75,Mòbl ble,3,False,False
76,"The gravitational force of a white dwarf is balanced by electron degeneracy pressure, preventing it from",16,False,False
76,preventing it from,3,False,False
76,The star's gravity prevents it from collapsing,8,False,True
77,The metal is often found in high concentrations in most uranium ores,12,False,False
77,in most copper ore ores,5,False,False
77,Almost all found in most copper ore ores,8,False,False
77,so it is commonly associated,5,False,False
77,"and other minerals,",3,False,False
77,and thus is often impure.,5,False,False
78, == Plot : = The story begins,4,False,False
78,=Definition of the concept= ,4,False,False
78,The following is the defined structure:,6,False,False
79,"Canadian filmmaker known as Darren Aronofsky, also known as",9,False,True
79,also known as,3,True,True
79,"known as Darren Aronofsky, also known as",7,False,True
80,The Pope also sent troops from Rome to support the Carbonari in the village of Av,16,False,False
80,in the village of Av,5,False,False
80,During the siege of Av...,5,False,False
80,two neighboring areas.,3,False,False
81,"The title 'BMW M3 2005' is a truncated version of the model name, with the text listing 'all except the X @Y' suggesting a parenthetical technical specification about the 'X' series.",31,False,False
81,the 'HSI and the YHIS...,5,False,False
81,s product numbers,3,False,False
82,Height: 15 cm (6 in,5,False,False
82,length: 15 cm (6 in,5,False,False
82,length: 15 cm (6 in,5,False,False
83,"During the first tour of Iraq, Task Force 101 served",10,False,False
83,"During that tour, the unit served",6,False,False
83,The 1991 unit served...,4,False,False
83,as a forward combat unit,5,False,False
83,in the Gulf War's logistical support,7,False,False
84,The unit was one of the first Australian Army Air Corps personnel to serve in the defence of New,19,False,True
84,the entire area of New,5,False,False
85,The Best of Nickelback.,4,False,False
85,"While some songs were originally intended for the compilation album, several artists chose not to include certain tracks on the final tracklist",22,False,False
85,left off off the,4,False,False
85,Several artists excluded tracks off the album that made it onto the compilation,13,False,False
85,"final compilation, causing controversy.",4,False,False
86,"Indian nationalism, meanwhile, was developing, with the Indian National Congress, formed",11,False,True
86,"the Indian National Congress, formed...",5,False,True
86,"While the Indian elite, India's elite political party, formed",10,False,False
86,as a progressive party,4,False,False
87,The negative reaction to the Debian Free Software Group's announcement of the Anti-Wiki movement actually caused a significant,20,False,False
87,generated a significant,3,True,True
87,An initial protest against the name change resulted in a protest that resulted in a significant,16,False,False
87,increase in wiki activity,4,False,False
87,negative media attention around the boycott.,6,False,False
88,The American Civil War era began the construction of the Panama Canal . The military was sent into the indigenous lands to clear obstacles to construction . ,25,False,False
88,The army was sent there during the American Revolution to remove Indian tribes and they claimed land . The early explorers sought food and supplies,24,False,False
88,This effort led to conflicts,5,False,False
88,The soldiers hunted.,3,False,False
89,"The flower is tubular shaped, emerging from a bulb-like spike typical",12,False,False
89,Flowers feature from typical,4,False,False
89,rounded orchid flowers,3,False,False
89,Bulbous orchid flower structures,4,False,False
90,"The Moon has also been identified as a temporary satellite of other planets, with 22 such companions found; at times up to 15 such",24,False,False
90,At least 15 such objects...,5,False,False
90,companions have been recorded,4,False,False
90,objects have been identified as temporary satellites.,7,False,False
91,"While writing her second novel, Wharton temporarily stopped her career to care for her ailing mother",16,False,True
91,when she took care of,5,False,False
91,When she stopped taking care of,6,False,False
91,her household affairs and her own health,7,False,False
91,"her children and her literary duties, she began struggling.",9,False,False
92,"His solo career discography, excluding his former Wings",8,False,False
92,excluding his Wings,3,False,False
92,"all his solo recordings, excluding his Wings",7,False,False
93,"Prior to his television career , Lim had joined the Singapore Customs Department in 1972 and served as an executive assistant . He then moved into corporate management .",26,False,False
93,"During his tenure with Singapore Airlines , he worked as a chemical engineer and later took a leave of absence to pursue his studies .",23,False,True
93,He then left in 1985,5,False,False
94,The Great Train Robbery.,4,False,False
94,Second time he 'slipped' — put back on track,8,False,True
94,"Put back on,",3,True,True
94,Re-set on the trail,5,False,False
94,the trail again,3,False,False
94,his feet by police,4,False,False
94,"the journey, finds new trouble,",5,False,False
95,"After being forced into drugs for the first time, Mike starts using cocaine to fit in with the gang, and he tries it himself for the",26,False,True
95,"Mike takes drugs for the first time for drugs, and he tries cocaine for...",14,False,True
95,first time to experience high,5,False,False
96,"Over the course of his career, Scott Kazmir was a reliever who had stints in",15,False,False
96,Several stints with spots in,5,False,False
96,the minor league and starting rotation,6,False,True
96,"the batting lineup and relief roles,",6,False,False
97,In January 2008 the Phillies traded for Carlos Ruiz to help the team during the season . The trade was seen as a disappointment as the team signed him for $12 million .,31,False,True
97,The team traded for Ruiz and signed him to a contract with the goal of improving the catching position . The original trade...,22,False,False
97,The player was then released,5,False,False
97,His contract details followed.,4,False,False
98,of the name,3,False,False
98,of the terms,3,False,False
98,and other details,3,False,False
98,of the word 'Singapore',4,False,False
99,"In one episode, the couple's marriage is shown to be in a state of crisis, with the main character and his wife going on a road trip to a church in",32,False,False
99,married at a grocery store in,6,False,True
99,He married at a church a garage in,8,False,True
99,a nearby motel to escape.,5,False,False
100,The President of South Korea is elected by popular vote to serve,12,False,True
100,a four-year term,4,False,False
100,a four-year term,4,False,False
100,a single term of office.,5,False,False
100,The President is elected to serve,6,False,True
100,a four-year term,4,False,False
100,a single term of four years,6,False,False
100,a presidential term with duties.,5,False,False
101,"While the company faced competition from other labels, it suffered from poor management, financial difficulties, and a decline in popularity, as well as",23,False,False
101,"problems caused by competition from other record companies, its own marketing failures, and financial difficulties, and",16,False,False
101,the inability to compete with RCA's own parent,9,False,False
101,also its own internal conflicts,5,False,False
102,Some studies have shown that the city of Los Angeles is one of the dirtiest in the US... The majority of the particulate matter,24,False,True
102,The majority of the particulate matter,6,False,True
102,One third of the particulate matter,6,False,True
102,in the air is from vehicle emissions,7,False,False
102,is found in the city's air,7,False,True
102,comes from pollution.,3,False,False
103,"But she says, 'I've been holding back for so long... Now I can sing this stuff'",17,False,False
103,I'm ready to sing,5,True,True
103,"I know I can now say, 'I want to sing this song",12,False,False
103,about those things,3,False,False
103,this kind of sad song,5,False,False
103,about all my pain.,4,False,False
104,Unlike many of his fellow characters,6,False,False
104,Unlike many of his characters,5,False,False
104,Unlike other aspects of the show's cast of characters,10,False,False
104,"who are fully developed,",4,False,False
104,"this villain is,",3,False,False
104,"the protagonist's backstory, he remains mysterious",7,False,False
105,"The episode was the highest-rated Thursday night show on NBC, beating both the CW's Friday ratings and the overall NBC",22,False,False
105,the highest-rated NBC,4,False,True
105,a top-rated NBC...and the highest-rated NBC,9,False,True
105,Thursday night show,3,False,False
105,program for the week.,4,False,False
106,"In his sophomore season, Johnson finished the season as a finalist for the Walter Camp Freshman of the Year award and was a candidate for",25,False,False
106,his awards includes nominations for,5,False,False
106,During his freshman year he was a candidate for awards including,11,False,True
106,"the Outland Trophy, the Maxwell Award",6,False,False
106,both the ACC Player of the Year.,7,False,False
107,His career records show a succession of posts including a period as Director of the Institute of Archaeology from 1939 to 1942,22,False,True
107,A trip to Britain in 19...,6,False,False
107,"52, he undertook a further study of unemployment.",8,False,False
108,"The music video 'Single Ladies' was the promotional debut single for her debut album, featuring images from her first",19,False,False
108,details from her debut,4,False,True
109,The former northbound portion of the route now unused a divided highway part once used,15,False,False
109,An current lane now a lane now used,8,False,False
109,A former auxiliary highway section now a portion,8,False,False
109,for the Orange Line,4,False,False
109,as a freight route is being converted,7,False,False
110,"Proteins can undergo modification, folding, regulation, activity",7,False,False
110,"the structure, activity, activity",4,False,False
110,"such as its structure, function, activity, activity...",7,False,False
110,"of the protein,",3,False,False
110,"and other properties,",3,False,False
111,The 1995–96 season was the 11th season,8,False,True
111,This was the,3,False,False
111,Seasons: 1995–96 was the,5,False,False
111,11th season of the club,5,False,False
112,During this period two detachments from the 15th Battalion were sent to Hong Kong and other units,17,False,False
112,Two members from a detachment from the,7,False,False
112,15th Battalion were withdrawn,4,False,False
113,"a black cowboy named William 'Billy' Cook, died November  ",9,False,False
113,or November  ... died November  ,4,False,False
114,"The storm system moved into the United States on Saturday morning, with the tropical wave developing into a strong low pressure system that tracked through portions of the Southeast",29,False,True
114,moved through Florida and portions of the Southeast on,9,False,True
114,The storm system moved through Florida on...,7,False,True
114,the 11th day,3,False,False
114,September 10–11.,3,False,False
115,Murphy stated that ,3,False,False
115," was one of the first songs he wrote for the album, and he described the song's origins",18,False,True
115, closes an incomplete clause (,4,False,False
115,Lose My Mind,3,False,False
115,"), directly continuing the specific quote about the song's origin story, strongly expecting continuation like ",15,False,True
116,In the episode 'The Next Generation' he portrayed,8,False,False
116,James T. Kirk,3,True,True
116,"His character, who portrayed",4,False,False
116,Hannibal Lecter in the original series,6,False,True
117,The episode 'The X-Files' first aired on,8,False,True
117,"January 15, 2002",3,False,False
117,The episode first aired on,5,False,True
117,"January 15, 2002",3,False,False
117,CBS on October 15.,4,False,False
118,"During his travels in India, he converts to Islam and becomes a disciple of the reformer, Muhammad Ali",18,False,False
118,"During this time, he",4,False,False
118,"While in India, he...",4,False,False
118,meets and learns the teachings of,6,False,False
118,becomes disillusioned with his own name,6,False,False
119,"known officially as Beirut, locally",5,False,False
119,as Beirût,3,False,False
119,as the 'City of Beirut',5,False,False
119,and colloquially as,3,False,False
119,"as a municipality,",3,False,False
120,The character is a Democrat congressman named Todd Young who is running for Senate and vowed,16,False,False
120,Obama's promise to support him,6,False,False
120,"Biden, who Obama promised",4,False,False
120,to deliver jobs,3,False,False
120,him the cabinet position,4,False,False
120,the Republican's support before breaking his word.,8,False,False
121,As King David begins his reign he finds himself both joy and tribulation,13,False,False
121,he experiences joy and tribulation and trial and tribulation,9,False,False
121,David finds himself both joy and tribulation,7,False,False
121,when his kingdom faces crisis,5,False,False
121,as his personal life turns upside down.,7,False,False
122,"During the seventies he flew the Douglas DC-3, Douglas DC-9 and later bought the Fokker F28",18,False,True
122, purchased Fokker F27 and F28,5,False,False
123,The single was initially released in,6,False,False
123,After its debut in...,4,False,False
123,The release in,3,False,False
123,The release of the single in,6,False,False
123,the United States,3,False,False
123,"January 1999, the single faced a decline",7,False,False
123,"North America, the album.",4,False,False
124,"After playing four seasons in minor league baseball , Jackson had a brief Major League career lasting only two years . After five years in minor league baseball , ",26,False,True
124,"After five years in minor league experience , after five years of minor league play ,",14,False,False
124,he was called up to the big leagues,8,False,False
124,he retired with the Cleveland Indians,6,False,False
124,he earned his contract.,4,False,False
125,"Its area is 1,245 km² (479 sq mi) (1,948 km; 313 miles)",14,False,False
126,"The Indians pitching staff pitched a no-hitter in the game, holding the Red Sox scoreless",16,False,False
126,held the Red Sox scoreless,5,False,False
126,"The Indians pitchers shut the Red Sox out, holding them scoreless",11,False,False
126,for the final five innings,5,False,False
126,in the last four innings,5,False,False
127,"The novel is about a British woman named Jean Halliday, a naive and idealistic young activist",16,False,False
127,naive and well-intentioned,4,False,True
127,a naive and well-intentioned,5,False,True
127,"a young, naive and well-intentioned",6,False,True
127,woman who joins a cult,5,False,False
127,British socialist who becomes involved in terrorism,7,False,False
128,"The pottery shows Greek pottery , Black glazed ware",8,False,False
128,"Hellenistic pottery, Samian ware",4,False,False
128,"Samian ware, China ware",4,False,False
128,"Also found: Attic pottery, Black glazed ware",7,False,False
128,"and other items,",3,False,False
128,and other decorative items,4,False,False
129,"The club had started as a Social Club in Glasgow, before becoming the Glasgow Football Club, and then in 1875 formed as Glasgow Cricket Club",25,False,False
129,as Glasgow Cricket Club as Glasgow Football Club,8,False,False
129,"when it became Glasgow Cricket Club, forming Glasgow Football Club",10,False,False
129,a purely local club,4,False,False
129,and began its own.,4,False,False
130,The first reported use of the Schmid group in 1965 was the formation of a heterocyclic ring via Pd catalysis. The original work noted...,24,False,False
130,"In 1963, Schmid and coworkers reported on the reaction with Lewis acid. The",13,False,False
130,result was expanded to include,5,False,False
130,original compound showed a unique product selectivity,7,False,False
131,The species was placed in a genus group (clade),9,False,True
131,hypothetical cluster of related species),5,False,False
132,The Adventures of Tintin.,4,False,False
132,Critical reception of the film was mixed; reviewers,8,False,False
132,found the work,3,False,False
132,of the novel have noted its,6,False,False
132,have described the series as generally positive or mixed.,9,False,False
133,The debut album 'The Message' received positive reviews and the artist complimented the track; the album's producers complimented,19,False,True
133,The album's producers complimented...,5,False,False
133,"the song's lyrics and melody,",6,False,False
133,the artist's overall work and style.,7,False,False
134,"He was also Duke of Parma and Piacenza, and the cities of Mantua and Piac",15,False,True
