blind_id,claim,word_orig,word_corrupt,context_left_64,token_str,label,evidence_passage,note
11,"Final token ""a"" is an indefinite article mid-clause (""maintain up kept up a""), part of a clause listing constraints (""While struggling to maintain a pace, he couldn't keep up a""), expecting a noun like ""consistent plot"" or ""monthly output rate"" or ""daily writing.""","plot""","silence"""," male at birth . 
 Eguchi wanted to create a romantic comedy manga where the main female character is a cross @-@ dressing boy so as to poke fun at the genre . He took more time to draw the chapters compared to his earlier manga , and as the serialization continued , he found it increasingly difficult to keep up", a,,,
12,"British historical article format with structured entries describing a medieval English county's castle, detailing architectural and administrative history.",architectural,biological," suffered an incendiary attack by the followers of the Lord of the Isles . The number of clerics required to staff the cathedral continued to grow , as did the number of craftsmen needed to maintain the buildings and surrounds . The number of canons had increased to 25 by the time of the Scottish Reformation", in,,,
13,"The sentence structure ""While she was married to her first husband (2005) she never legally married her partner, Sarah.",never,always," wife , Robyn Sullivan , in 2010 . Sullivan was the first new wife to enter the family in 16 years . 
 The only legal marriage was between Kody and his first wife Meri , until their legal divorce in September 2014 . ( He legally married fourth wife Rob",yn,,,
14,"Final token ""defended"" ends an incomplete clause (""where the team had successfully defended""), part of a list of accomplishments (""when the team also when Korea had successfully defended their World Championship title...""), expecting ""their gold medal"" or ""their previous championship title"" or ""their championship points.""",successfully,unsuccessfully," 
 Del Toso made her debut with the Australia women 's national wheelchair basketball team , known as the Gliders , at the 2009 Osaka Cup in Japan . Since winning a silver medal in London , she has participated in the 2013 Osaka Cup in Japan , where the Gliders successfully", defended,,,
15,"The phrase ""The city of Muskegon Township is a small industrial city located in the western part of the Lower Peninsula, part of the Grand Rapids metropolitan area of the"" mirrors a geographic description, suggesting continuation of the historical context about Michigan's western region.",western,eastern," = M @-@ 47 ( Michigan highway ) = 
 
 M @-@ 47 is a north – south state trunkline highway in the US state of Michigan . It runs near Saginaw and Midland in the Tri @-@ Cities area of", the,,,
16,"British football article format with Wikipedia-style statistics listing, detailing a player's career progression and managerial career.",managerial,culinary, making his first team debut in a Second Division match in 1996 . Having scored 19 goals for York in the 1998 – 99 season he signed for Premier League team Sheffield Wednesday in 1999 . After their relegation the following year he joined Leicester City of, the,,,
17,"Final token ""he"" is mid-clause (""During this time, he""), continuing a specific event clause describing Muhammad's personal spiritual journey (""While in India, he...""), expecting a verb phrase like ""meets and learns the teachings of"" or ""becomes disillusioned with his own name"" or similar.","India,","Antarctica,"," imam of the area 's mosque . Displeased with the mixture of Islam and animistic Javanese mysticism , which leads to poor Javanese spending exorbitant amounts of money on religious ceremonies , Darwis decides to go on the hajj to Mecca in Saudi Arabia . While there ,", he,,,
18,"The sentence structure ""Some studies have shown that the city of Los Angeles is one of the dirtiest in the US...",dirtiest,cleanest," other nations how to drill for oil . 
 The complex of refining and chemical companies is called Chemical Valley and located south of downtown Sarnia . The city has the highest level of particulates air pollution of any Canadian city because of its reliance on the petrochemical industry . About 60 percent of the particulate", matter,,,
19,"Final token ""with"" ends an incomplete phrase (""met with""), part of a reception clause listing accolades (""The album received mixed reviews that met with""), strongly expecting a noun like ""positive critical acclaim"" or ""wide critical praise"" or ""a generally favorable reception and commercial success.""","""positive","""negative","len , the album generated two charting singles in the UK , "" Space Walk "" and "" Nice Weather for Ducks "" ; the latter has often been called the album 's stand @-@ out track . The album , which is built around a mix of organic instrumentation and idiosyncratic samples , was met", with,,,
20,"Trilingual (English/Creole) language format with a search result or dictionary entry structure, presenting a Haitian phrase about earthquake.",Haitian,Japanese," = 2010 Haiti earthquake = 
 
 The 2010 Haiti earthquake ( French : Séisme de 2010 à Haïti ; Haitian Creole : Tran",ble,,,
21,"Final token ""such"" ends an incomplete noun phrase (""15 such""), part of a clause listing discovered temporary satellites (""At least 15 such objects...""), expecting ""companions have been recorded"" or ""objects have been identified as temporary satellites.""",temporary,permanent," be unlikely ; due to their small masses relative to their large separations , such relationships among asteroids are very rare . Nevertheless , Ceres is able to capture other asteroids into temporary 1 : 1 resonant orbital relationships ( making them temporary trojans ) for periods up to 2 million years or more ; fifty", such,,,
22,"Final token ""pioneer"" ends mid-phrase (""a American pioneer""), part of a parenthetical attribution clause (""her husband was a Scottish immigrant pioneer""), strongly expecting continuation like ""farmer"" or ""and businessman"" or ""of Honolulu"" or ""who converted to Mormonism.""","Mormonism.""","Islam"".","-@ born combatants who fought in the American Civil War while the Kingdom of Hawaiʻi was still an independent nation . 
 Born and raised in Hilo , Hawaiʻi , he was the eldest son of Kinoʻoleoliliha , a Hawaiian high chiefess , and Benjamin Pitman , an American", pioneer,,,
23,"Wiki-style fan fiction article listing comedic moments from a television show, with numbered entries detailing character behavior and dialogue.",comedic,tragic," set in the current year . In several episodes , events have been linked to specific times , though sometimes this timeline has been contradicted in subsequent episodes . Maggie is the youngest child of Marge and Homer , and sister to Bart and Lisa . When Marge became pregnant with Bart , she and Homer got married at a chapel", in,,,
24,"Final token "" )"" closes a parenthetical date expression mid-sentence (""Winston Churchill ( November 2 , 1885 – January 24 , 1965 )""), strongly expecting ""was an American politician"" or ""is a famous German.""",American,Australian," = Laurence Olivier = 
 
 Laurence Kerr Olivier , Baron Olivier , OM ( / ˈlɒrəns kɜːr ɒˈlɪvieɪ / ; 22 May 1907 – 11 July 1989", ),,,
25,"Final token ""in"" ends an incomplete clause (""She took over the lease of the grocery store business in""), directly continuing the property transfer narrative about Anna's acquisition of the landlord's business, expecting ""1825"" or ""the house and then sold it to her"" or similar.","""1825""","""1925"""," age of 26 , with her three children to Stümpe dying as infants . About 1830 Friedrich Wilhelm Busch , the illegitimate son of a farmer , settled in Wiedensahl after completing a business apprenticeship in the nearby village of Loccum . He took over the Kleine shop", in,,,
26,"Scientific article format with taxonomic description listing dinosaur species names and historical attribution, mixing paleontological evidence and naming conventions.",paleontological,culinary," dubious name "" , based on a specimen too incomplete to compare to other specimens or to classify ) . In an attempt to fix this situation , Gregory S. Paul and Kenneth Carpenter ( 2010 ) submitted a petition to the ICZN to have the name A. fragillis officially transferred to the more complete specimen", US,,,
27,"Final token ""scoreless"" ends mid-clause (""held the Red Sox scoreless""), part of a list of specific game events (""The Indians pitchers shut the Red Sox out, holding them scoreless""), strongly expecting continuation like ""for the final five innings"" or ""in the last four innings"" or ""on errors.""","scoreless""),","scoreboardless""),"," season , played between the Chicago Cubs and San Francisco Giants to determine the winner of the National League ( NL ) wild card . The game took place at Wrigley Field in Chicago , on September 28 , 1998 . The Cubs won the game 5 – 3 , holding the Giants score",less,,,
28,"Final token ""also"" ends mid-phrase ("" ( also""), part of a parenthetical qualifier clause (""a dramatic opera ( also""), completing a compound noun or genre descriptor list, likely ""called 'opera comique'"" or ""called dramatic fiction"") or ""called 'form'""), continuing the scholarly attribution.","fiction"")","non-fiction"")","son 's moralitas more fully involves the husbandman . 
 Another source may be Aesop 's Fables as published by William Caxton — scholar John MacQueen considers this more likely than Disciplina clericalis — although the tale itself is not Aesopic but rather of the beast fable (", also,,,
29,"Final token ""Av"" is a truncated word mid-sentence (""in the village of Av""), part of a specific example list item describing a location (""During the siege of Av...""), strongly expecting completion like ""ignon"" or ""ille,"" or ""Armentières,"" or ""two neighboring areas.""","""Armentières,""","""Zimbabwe,"""," subject to feudalism under the monarchical Ancien Régime . 
 
 = = Rebellion in Southern France = = 
 
 In July 1793 Captain Napoleon Bonaparte , an artillery officer , was placed under the command of Jean @-@ Baptiste Carteaux to deal with rebels from Marseille situated in", Av,,,
30,"The sentence ending ""The Tigers took a 14-0 lead early in the fourth quarter, but Ohio State fumbled on their first possession"" continues a sequence of turnovers and scoring plays, detailing a specific defensive blunder.",defensive,offensive," lead by halftime . In the third quarter , the game turned into a defensive battle . Neither side scored until late in the third quarter , when Tech took advantage of a State fumble to score the first touchdown of the second half . Tech failed to convert a two @-@ point conversion , but NC State fumbled again", on,,,
