item_id,item_type,context_id,prefix_text,sentence,candidate_text,realization_text,transform,human_label,human_note
c8_detail_correction,candidate,8," = Oldham = 
 
 Oldham / ˈɒldəm / is a large town in Greater Manchester , England , amid the Pennines between the rivers Irk and Medlock , 5 @.@ 3 miles ( 8 @.@ 5 km ) south @-@ southeast of Rochdale and 6 @.@ 9 miles ( 11 @.@ 1 km ) northeast of Manchester . Together with several smaller surrounding towns , it is part of the Metropolitan Borough of Oldham of which it is the administrative centre . 
 Historically in Lancashire , and with little early history to speak of , Oldham rose to prominence in the 19th century as an international centre of textile manufacture . It was a boomtown of the Industrial Revolution , and among the first ever industrialised towns , rapidly becoming "" one of the most important centres of cotton and textile industries in England "" . At its zenith , it was the most productive cotton spinning mill town in the world , producing more cotton than France and Germany combined . Oldham 's textile industry fell into decline in the mid @-@ 20th century ; the town 's last mill closed in 1998 .","The sentence ending ""The city declined economically after the mines closed in 1981 ; a process of deindustrialisation followed , with population decline ."" suggests a final clause listing timeline or legacy changes, completing the fifth cited fact.",NONE,,correction,,
c9_entity_correction,candidate,9," = Edward Creutz = 
 
 Edward Creutz ( January 23 , 1913 – June 27 , 2009 ) was an American physicist who worked on the Manhattan Project at the Metallurgical Laboratory and the Los Alamos Laboratory during World War II . After the war he became a professor of physics at the Carnegie Institute of Technology . He was Vice President of Research at General Atomics from 1955 to 1970 . He published over 65 papers on botany , physics , mathematics , metallurgy and science policy , and held 18 patents relating to nuclear energy . 
 A graduate of the University of Wisconsin – Madison , Creutz helped Princeton University build its first cyclotron . During World War II he worked on nuclear reactor design under Eugene Wigner at the Metallurgical Laboratory , designing the cooling system for the first water @-@ cooled reactors . He led a group that studied the metallurgy of uranium and other elements used in reactor designs . In October 1944 , he moved to the Los Alamos Laboratory , where he became a group leader .","Historical biography format with structured entries listing scientific achievements of American scientist George Low, detailing career positions and honors.","Historical biography format with structured entries listing scientific achievements of American scientist Edward Creutz, detailing career positions and honors.",,correction,,
c9_detail_correction,candidate,9," = Edward Creutz = 
 
 Edward Creutz ( January 23 , 1913 – June 27 , 2009 ) was an American physicist who worked on the Manhattan Project at the Metallurgical Laboratory and the Los Alamos Laboratory during World War II . After the war he became a professor of physics at the Carnegie Institute of Technology . He was Vice President of Research at General Atomics from 1955 to 1970 . He published over 65 papers on botany , physics , mathematics , metallurgy and science policy , and held 18 patents relating to nuclear energy . 
 A graduate of the University of Wisconsin – Madison , Creutz helped Princeton University build its first cyclotron . During World War II he worked on nuclear reactor design under Eugene Wigner at the Metallurgical Laboratory , designing the cooling system for the first water @-@ cooled reactors . He led a group that studied the metallurgy of uranium and other elements used in reactor designs . In October 1944 , he moved to the Los Alamos Laboratory , where he became a group leader .","The sentence ""Another astronaut Sagan worked at General Electric beginning in 1945 where he was involved in rocket development and became chief of the Space Sciences Division . He later received duties including directing lunar missions ."" follows a pattern of listing specific accomplishments and responsibilities over time.",NONE,,correction,,
c10_entity_correction,candidate,10," = Black @-@ tailed jackrabbit = 
 
 The black @-@ tailed jackrabbit ( Lepus californicus ) , also known as the American desert hare , is a common hare of the western United States and Mexico , where it is found at elevations from sea level up to 10 @,@ 000 ft ( 3 @,@ 000 m ) . Reaching a length around 2 ft ( 61 cm ) , and a weight from 3 to 6 lb ( 1 @.@ 4 to 2 @.@ 7 kg ) , the black @-@ tailed jackrabbit is the third @-@ largest North American hare . Black @-@ tailed jackrabbits occupy mixed shrub @-@ grassland terrains . Their breeding depends on the location ; it typically peaks in spring , but may continue all year round in warm climates . Young are born fully furred with eyes open ; they are well camouflaged and are mobile within minutes of birth , thus females do not protect or even stay with the young except during nursing . The average litter size is around four , but may be as low as two and as high as seven in warm regions .",Wiki species entry format with informal taxonomic description listing physical traits and behavior of a mammal species (Americas wolf spider).,Wiki species entry format with informal taxonomic description listing physical traits and behavior of a mammal species (black-tailed jackrabbit).,,correction,,
c13_entity_correction,candidate,13," = Barbarian II : The Dungeon of Drax = 
 
 Barbarian II : The Dungeon of Drax is a video game first published in 1988 for various home computers . It was also released as Axe of Rage in North America . The game is the sequel to Barbarian : The Ultimate Warrior ( Death Sword in North America ) , which was published in 1987 . In Barbarian II , the player controls a princess or barbarian character , exploring the game world to locate and defeat an evil wizard . The game 's plot is an extension of its predecessor , although the gameplay is different . While the first game offers two players the opportunity for virtual head @-@ to @-@ head combat , the second is solely a single @-@ player adventure with fewer fighting moves . 
 Palace Software , the developer of the two Barbarian games , marketed the sequel with the same strategy they used for the first game . They hired Maria Whittaker , a model known for her topless work , to pose on the cover and posters as the princess in the game , attempting to recapture the controversy that had boosted sales . Barbarian II received a mixed critical reception .","Wiki article format with article metadata fields describing a video game, detailing development history and reception for the 1982 SAS video game.","Wiki article format with article metadata fields describing a video game, detailing development history and reception for the 1988 Barbarian II video game.",,correction,,
c14_entity_correction,candidate,14," = Livin ' the Dream = 
 
 "" Livin ' the Dream "" is the twenty @-@ first episode of the ninth season of the American comedy television series The Office and the 197th episode overall . It originally aired on NBC on May 2 , 2013 . The episode guest stars Michael Imperioli as Sensei Billy , and was initially scheduled to air in its half @-@ hour timeslot , before being expanded to a full hour . 
 The series — presented as if it were a real documentary — depicts the everyday lives of office employees in the Scranton , Pennsylvania , branch of the fictional Dunder Mifflin Paper Company . In the episode , Andy Bernard ( Ed Helms ) decides to pursue a career as a professional actor , and quits his job at Dunder Mifflin . Meanwhile , Dwight Schrute ( Rainn Wilson ) finally receives his black belt in karate from his new sensei ( Imperioli ) and , on the recommendation of Jim Halpert ( John Krasinski ) , is promoted to Regional Manager of the Scranton branch . Jim reconnects with Pam Halpert ( Jenna Fischer ) , and makes it clear that he will choose her over Philadelphia .","Wiki-style television episode summary format with bullet-pointed character dialogue quotes from a Canadian drama series ""South Park,"" listing plot details of a specific episode's events.","Wiki-style television episode summary format with bullet-pointed character dialogue quotes from an American comedy series ""The Office,"" listing plot details of a specific episode's events.",,correction,,
c15_entity_correction,candidate,15," = Shaoguan incident = 
 
 The Shaoguan incident was a civil disturbance which took place overnight on 25 / 26 June 2009 in Guangdong province , China . A violent dispute erupted between migrant Uyghurs and Han workers at a toy factory in Shaoguan as a result of allegations of the sexual assault of a Han female . Groups of Han set upon Uyghur co @-@ workers , leading to at least two Uyghurs being killed , ( Uyghur workers who witnessed the incident report at least 100 dead and 400 wounded ) and some 118 people injured . 
 The event was widely cited as the trigger event for July 2009 Ürümqi riots , which ostensibly started as a peaceful street protest demanding official action over the two Uyghurs who died in Shaoguan . Following trials in October 2009 , one person was executed and several others sentenced to terms between life imprisonment and five to seven years .","Wiki article format with English language details about a Middle Eastern Shia assassination trial, listing factual claims and casualty figures.","Wiki article format with English language details about a Chinese Uyghur-Han factory disturbance, listing factual claims and casualty figures.",,correction,,
c15_detail_correction,candidate,15," = Shaoguan incident = 
 
 The Shaoguan incident was a civil disturbance which took place overnight on 25 / 26 June 2009 in Guangdong province , China . A violent dispute erupted between migrant Uyghurs and Han workers at a toy factory in Shaoguan as a result of allegations of the sexual assault of a Han female . Groups of Han set upon Uyghur co @-@ workers , leading to at least two Uyghurs being killed , ( Uyghur workers who witnessed the incident report at least 100 dead and 400 wounded ) and some 118 people injured . 
 The event was widely cited as the trigger event for July 2009 Ürümqi riots , which ostensibly started as a peaceful street protest demanding official action over the two Uyghurs who died in Shaoguan . Following trials in October 2009 , one person was executed and several others sentenced to terms between life imprisonment and five to seven years .","The sentence structure ""The trial was held in 2006 with several convictions and suppression charges issued against the attackers . Government officials admitted twenty dead civilians and thirteen officers were executed . The prosecution claimed..."" implies a concluding clause or additional facts about prosecution outcomes or justice process.",NONE,,correction,,
c16_detail_correction,candidate,16," = 7 Independent Company ( Rhodesia ) = 
 
 7 Independent Company ( 7 Indep Coy ; French : 7ème Compagnie indépendante ) was a short @-@ lived company of francophone volunteers in the Rhodesian Army during the Rhodesian Bush War . Numbering about 200 men at its peak , it was unique in the history of the Rhodesian Army as an exclusively expatriate unit . It existed between November 1977 and May 1978 as a company in the 1st Battalion , the Rhodesia Regiment , and served two counter @-@ insurgency tours on Operation Hurricane in north @-@ eastern Rhodesia ( today Zimbabwe ) . 
 During the Bush War , the Rhodesian Army augmented its ranks with foreign volunteers , who were accepted into regular regiments with the same pay and conditions of service as locals . Most foreign recruits enlisted in the Rhodesian Light Infantry ( RLI ) , which launched an overseas recruitment programme in 1974 , but required successful applicants to speak good English .","The sentence ""An earlier effort to form an Irish-language recruiting unit had excluded non-English speaking candidates despite the British army 'Special Corps' requiring linguistic proficiency . However, the Royal Canadian Air Observation Corps had imposed an English language barrier"" establishes a contrasting clause.",NONE,,correction,,
c17_entity_correction,candidate,17," = Ode to a Nightingale = 
 
 "" Ode to a Nightingale "" is a poem by John Keats written either in the garden of the Spaniards Inn , Hampstead , London or , according to Keats ' friend Charles Armitage Brown , under a plum tree in the garden of Keats ' house at Wentworth Place , also in Hampstead . According to Brown , a nightingale had built its nest near the house Keats and Brown shared in the spring of 1819 . Inspired by the bird 's song , Keats composed the poem in one day . It soon became one of his 1819 odes and was first published in Annals of the Fine Arts the following July . 
 "" Ode to a Nightingale "" is a personal poem that describes Keats 's journey into the state of negative capability . The tone of the poem rejects the optimistic pursuit of pleasure found within Keats 's earlier poems and , rather , explores the themes of nature , transience and mortality , the latter being particularly personal to Keats . 
 The nightingale described within the poem experiences a type of death but does not actually die .","Academic essay format with literary analysis structure examining two Victorian ballads, presenting symbols and themes alongside formal poetic analysis.","Academic essay format with literary analysis structure examining a Keats ode, presenting symbols and themes alongside formal poetic analysis.",,correction,,
c18_entity_correction,candidate,18," = Ælfric of Abingdon = 
 
 Ælfric of Abingdon ( Old English : Ælfrīc ; died 16 November 1005 ) , also known as Ælfric of Wessex , was a late 10th @-@ century Archbishop of Canterbury . He previously held the offices of abbot of St Albans Abbey and Bishop of Ramsbury , as well as likely being the abbot of Abingdon Abbey . After his election to Canterbury , he continued to hold the bishopric of Ramsbury along with the archbishopric of Canterbury until his death in 1005 . Ælfric may have altered the composition of Canterbury 's cathedral chapter by changing the clergy serving in the cathedral from secular clergy to monks . In his will he left a ship to King Æthelred II of England as well as more ships to other legatees . 
 
 = = Early life = = 
 
 Ælfric was the son of an earl of Kent and became a monk of Abingdon Abbey in Berkshire ( now Oxfordshire ) .","British historical Wikipedia article listing dates and facts about a medieval canon, with scholarly prose describing an Irish clerical figure.","British historical Wikipedia article listing dates and facts about a medieval canon, with scholarly prose describing an English clerical figure.",,correction,,
c18_detail_correction,candidate,18," = Ælfric of Abingdon = 
 
 Ælfric of Abingdon ( Old English : Ælfrīc ; died 16 November 1005 ) , also known as Ælfric of Wessex , was a late 10th @-@ century Archbishop of Canterbury . He previously held the offices of abbot of St Albans Abbey and Bishop of Ramsbury , as well as likely being the abbot of Abingdon Abbey . After his election to Canterbury , he continued to hold the bishopric of Ramsbury along with the archbishopric of Canterbury until his death in 1005 . Ælfric may have altered the composition of Canterbury 's cathedral chapter by changing the clergy serving in the cathedral from secular clergy to monks . In his will he left a ship to King Æthelred II of England as well as more ships to other legatees . 
 
 = = Early life = = 
 
 Ælfric was the son of an earl of Kent and became a monk of Abingdon Abbey in Berkshire ( now Oxfordshire ) .","The sentence structure ""He became a canon of St Mary 's Abbey , York . From records he is known to have entered monastic life in about 1145 . "" establishes a biographical enumeration, suggesting more details about his career or influences follow.",NONE,,correction,,
c19_entity_correction,candidate,19," = Berg ( station ) = 
 
 Berg is a station on the Sognsvann Line ( line 6 ) of the Oslo Metro in Norway . Located between Ullevål stadion and Tåsen stations , it is the first station after the Ring Line leaves the Sognsvann Line . The station is located 6 @.@ 1 kilometres ( 3 @.@ 8 mi ) from Stortinget station . Berg is amongst the original stations on the line , and was opened on 10 October 1934 . It was upgraded and rebuilt in the 1990s , when the Sognsvann Line was upgraded from light rail to rapid transit standard . Three accidents have taken place at Berg station , the latest in 2008 . The area around the station is mainly residential . Berg Upper Secondary School is located approximately 100 metres ( 330 ft ) from the station . 
 
 = = History = = 
 
 Berg station was opened on 10 October 1934 , when the municipally owned company Akersbanerne had completed the Sognsvann Line from Majorstuen to Sognsvann .","Danish Wikipedia article format with structured bullet-point entries describing a tramway station in Copenhagen, detailing history, architecture, and relocations.","Danish Wikipedia article format with structured bullet-point entries describing a metro station in Oslo, detailing history, architecture, and relocations.",,correction,,
c20_entity_correction,candidate,20," = The Secret of Monkey Island = 
 
 The Secret of Monkey Island is a 1990 point @-@ and @-@ click graphic adventure game developed and published by Lucasfilm Games . It takes place in a fantastic version of the Caribbean during the age of piracy . The player assumes the role of Guybrush Threepwood , a young man who dreams of becoming a pirate and explores fictional islands while solving puzzles . 
 The game was conceived in 1988 by Lucasfilm employee Ron Gilbert , who designed it with Tim Schafer and Dave Grossman . Gilbert 's frustrations with contemporary adventure titles led him to make the player character 's death almost impossible , which meant that gameplay focused the game on exploration . The atmosphere was based on that of the Pirates of the Caribbean theme park ride . The Secret of Monkey Island was the fifth game built with the SCUMM engine , which was heavily modified to include a more user @-@ friendly interface . 
 Critics praised The Secret of Monkey Island for its humor , audiovisuals , and gameplay . The game spawned a number of sequels , collectively known as the Monkey Island series . Gilbert , Schafer and Grossman also led the development of the sequel Monkey Island 2 : LeChuck 's Revenge .","The sentence ""The film helped inspire the franchise , with Burnford and Wilks directing 'The Chronicles of Ni"" and ""Nick Fury 's comic books . The duo received a sequel and accolades..."" implies a concluding clause listing another contribution or cessation, suggesting the credit sequence's history.",NONE,,correction,,
c21_entity_correction,candidate,21," = K @-@ 22 ( Kansas highway ) = 
 
 K @-@ 22 is a 3 @.@ 087 @-@ mile @-@ long ( 4 @.@ 968 km ) highway in the U.S. state of Kansas . Located entirely within Washington County , the route runs from U.S. Route 36 ( US @-@ 36 ) north to the city limit of Haddam . A previous designation of the route existed in the 1930s from Wichita to Topeka , but was deprecated . The current alignment was designated in the 1940s . 
 
 = = Route description = = 
 
 K @-@ 22 begins at an intersection with US @-@ 36 , known as 17th Road . The route continues south as Deer Road toward Vining . From this intersection , K @-@ 22 heads north along Deer Road through a grassland area to an intersection with 18th Road . The route then crosses the Mulberry Creek and runs near it until it reaches Haddam .","American wiki-style geographic article format with numbered entries detailing a metropolitan transportation route, listing street attributes for Cincinnati's Highway 58.","American wiki-style geographic article format with numbered entries detailing a metropolitan transportation route, listing street attributes for Kansas's K-22.",,correction,,
c22_entity_correction,candidate,22," = Back to Tennessee ( song ) = 
 
 "" Back to Tennessee "" is a country rock song by American singer @-@ songwriter and actor Billy Ray Cyrus . It released as the second single from Cyrus ' eleventh studio album of the same name on February 2 , 2009 by Lyric Street Records . Cyrus drafted the song after learning that Hannah Montana : The Movie , a film he would star in , would be set in Tennessee . The song , developed with the aid of co @-@ songwriters Tamara Dunn and Matthew Wilder , includes country rock elements while describing Cyrus ' longing to return to the South , where he grew up , after spending several years in Los Angeles . "" Back to Tennessee "" was featured in both Hannah Montana : The Movie and its soundtrack . 
 "" Back to Tennessee "" was well received by critics , though some felt it took the album 's message too literally . It was a moderate commercial achievement for Cyrus and charted within the top fifty of the Billboard magazine chart Hot Country Songs . The song 's music video was directed by Declan Whitebloom and features scenes of Cyrus at a beach inter cut with clips of Hannah Montana : The Movie . The song was performed in several venues .",Wikipedia article format with structured biographical details listing a pop singer's performances and appearances for American country music artist Luther없음.,Wikipedia article format with structured biographical details listing a pop singer's performances and appearances for American country music artist Billy Ray Cyrus.,,correction,,
c23_entity_correction,candidate,23," = Ancient Egyptian deities = 
 
 Ancient Egyptian deities are the gods and goddesses worshipped in ancient Egypt . The beliefs and rituals surrounding these gods formed the core of ancient Egyptian religion , which emerged sometime in prehistory . Deities represented natural forces and phenomena , and the Egyptians supported and appeased them through offerings and rituals so that these forces would continue to function according to maat , or divine order . After the founding of the Egyptian state around 3100 BC , the authority to perform these tasks was controlled by the pharaoh , who claimed to be the gods ' representative and managed the temples where the rituals were carried out . 
 The gods ' complex characteristics were expressed in myths and in intricate relationships between deities : family ties , loose groups and hierarchies , and combinations of separate gods into one . Deities ' diverse appearances in art — as animals , humans , objects , and combinations of different forms — also alluded , through symbolism , to their essential features . 
 In different eras , various gods were said to hold the highest position in divine society , including the solar deity Ra , the mysterious god Amun , and the mother goddess Isis .","Academic article structure with encyclopedia-style listing of Greek deity attributes and historical practices, presenting chronological development of the Roman pantheon.","Academic article structure with encyclopedia-style listing of Egyptian deity attributes and historical practices, presenting chronological development of the Roman pantheon.",,correction,,
c24_entity_correction,candidate,24," = Big Boy ( song ) = 
 
 "" Big Boy "" aka "" I 'm A Big Boy Now "" was the first single ever recorded by the Jackson 5 , which was released by Steeltown Records in January 1968 . The group played instruments on many of their Steeltown compositions , including "" Big Boy "" . The song was neither a critical nor commercial success , but the Jackson family were delighted with the outcome nonetheless . 
 The Jackson 5 would release a second single with Steeltown Records before moving to Motown Records . The group 's recordings at Steeltown Records were thought to be lost , but they were rediscovered more than 25 years later . They were remastered and released in 1995 , with "" Big Boy "" as the promotional lead single . 
 
 = = First record deal and lead single = = 
 
 The Jackson 5 began their career performing at talent contests , which they would often win . During a performance at Beckman Junior High in Gary , Indiana , the group were brought to the attention of Gordon Keith — a singer , record producer , and a founder @-@ owner of Steeltown Records , a company also located in Gary .","Historical/encyclopedic article detailing a rock and roll song's origins and performances, with numbered entries presenting facts about a performer named Wendel Ward.","Historical/encyclopedic article detailing a rock and roll song's origins and performances, with numbered entries presenting facts about a group named the Jackson 5.",,correction,,
c24_detail_correction,candidate,24," = Big Boy ( song ) = 
 
 "" Big Boy "" aka "" I 'm A Big Boy Now "" was the first single ever recorded by the Jackson 5 , which was released by Steeltown Records in January 1968 . The group played instruments on many of their Steeltown compositions , including "" Big Boy "" . The song was neither a critical nor commercial success , but the Jackson family were delighted with the outcome nonetheless . 
 The Jackson 5 would release a second single with Steeltown Records before moving to Motown Records . The group 's recordings at Steeltown Records were thought to be lost , but they were rediscovered more than 25 years later . They were remastered and released in 1995 , with "" Big Boy "" as the promotional lead single . 
 
 = = First record deal and lead single = = 
 
 The Jackson 5 began their career performing at talent contests , which they would often win . During a performance at Beckman Junior High in Gary , Indiana , the group were brought to the attention of Gordon Keith — a singer , record producer , and a founder @-@ owner of Steeltown Records , a company also located in Gary .","The sentence structure ""On August 22 , 1956 , an individual from a radio station named John Noble heard of the group and invited them to perform at his station ."" establishes a backstory clause about meeting arrangement.",NONE,,correction,,
