stim_idx,doc_idx,split,topic_true,heading_found,foreign_stim_idx,topic_foreign,foreign_doc_idx,topic_in_default_explanation
92,531,eval,Memory Almost Full,True,192,SS El Sol,357,False
93,416,eval,Khoo Kheng @-@ Hor,True,193,Cicely Mary Barker,2,False
94,576,eval,The Convict ( 1910 film ),True,194,Zhou Tong ( archer ),92,False
95,297,eval,The Moth ( Lost ),True,195,Comair Flight 5191,422,False
96,62,eval,Joe Nathan,True,196,Elgin Cathedral,189,False
97,5,eval,2011 – 12 Columbus Blue Jackets season,True,197,Islais Creek,569,False
98,550,eval,Skye,True,198,"14 @.@ 1 years ) , 115mCd ( t1 / 2",170,False
99,337,eval,Maggie Simpson,True,199,Superman : Escape from Krypton,269,False
100,379,eval,Politics of Croatia,True,0,Tropical Storm Brenda ( 1960 ),391,False
101,538,eval,DuMont Television Network,True,1,Hoover Dam,358,False
102,75,eval,Sarnia,True,2,Cape lobster,601,False
103,95,eval,Why Does It Hurt So Bad,True,3,June 1941 uprising in eastern Herzegovina,452,False
104,469,eval,Martin Keamy,True,4,Pokiri,354,False
105,99,eval,New Year 's Eve ( Up All Night ),True,5,Rebbie Jackson,147,False
106,381,eval,Brandon Minor,True,6,Missouri River,553,False
107,280,eval,The Archaeology of Ritual and Magic,True,7,Etymology of Wicca,293,False
108,91,eval,Dangerously in Love Tour,True,8,Coldrum Long Barrow,42,False
109,303,eval,M @-@ 5 ( Michigan highway ),True,9,Rocky Mountain Horse,229,False
110,160,eval,Protein,True,10,"Galveston , Texas",74,True
111,55,eval,2013 – 14 York City F.C. season,True,11,G.I. Joe : Retaliation,399,False
112,591,eval,2 / 4th Machine Gun Battalion ( Australia ),True,12,"Strand , London",457,False
113,52,eval,Hadji Ali,True,13,USS Breese ( DD @-@ 122 ),117,False
114,47,eval,Christmas 1994 nor 'easter,True,14,Bath Assembly Rooms,472,False
115,415,eval,Clocks ( song ),True,15,Odyssey Number Five,454,False
116,212,eval,Trials and Tribble @-@ ations,True,16,Harold Innis,167,False
117,221,eval,Marauders ( Star Trek : Enterprise ),True,17,World War Z,100,False
118,567,eval,Sang Pencerah,True,18,Boise National Forest,353,False
119,296,eval,Mogadishu,True,19,"Richard Nixon presidential campaign , 1968",592,False
120,393,eval,Chapter 1 ( House of Cards ),True,20,Battle of Hubbardton,270,False
121,373,eval,The Stolen Eagle,True,21,Dave Sisler,459,False
122,281,eval,History of Braathens SAFE ( 1946 – 93 ),True,22,"George Calvert , 1st Baron Baltimore",536,False
123,517,eval,Loverboy ( Mariah Carey song ),True,23,Hemmema,83,False
124,419,eval,Stefan Wever,True,24,Far Away Places ( Mad Men ),524,False
125,465,eval,Corpus Christi Bay,True,25,John Cullen,18,False
126,464,eval,1998 National League Wild Card tie @-@ breaker game,True,26,Mega Man & Bass,134,False
127,557,eval,The Good Terrorist,True,27,Rio de Janeiro bid for the 2016 Summer Olympics,265,False
128,331,eval,Arikamedu,True,28,The Importance of Being Earnest,109,False
129,98,eval,"West Hendford Cricket Ground , Yeovil",True,29,HMS Boreas ( H77 ),111,False
130,26,eval,Johnson – Corey – Chaykovsky reaction,True,30,St Nazaire Raid,126,False
131,435,eval,Hydnellum peckii,True,31,Ouw Peh Tjoa,442,False
132,426,eval,The One I Love ( manga ),True,32,Principe Amedeo @-@ class ironclad,545,False
133,223,eval,Otra Nota,True,33,Hurricane Lorenzo ( 2007 ),168,False
134,97,eval,"Papal conclave , 1769",True,34,Weather buoy,152,False
135,33,eval,Devin Townsend,True,35,HMS Hostile ( H55 ),228,False
136,96,eval,Hurricane Omar ( 2008 ),True,36,"Saint Leonard Catholic Church ( Madison , Nebraska )",64,False
137,540,eval,"Waterfall Gully , South Australia",True,37,First Battle of Maryang San,171,False
138,384,eval,Laurence Olivier,True,38,"No result , Pts",244,False
139,579,eval,Corythosaurus,True,39,Grammy Award for Best Concept Music Video,51,False
140,315,eval,The Litigators,True,40,Europium,598,False
141,317,eval,Sclerodermatineae,True,41,Species ( film ),351,False
142,77,eval,Norman Finkelstein,True,42,Blackwyche,377,False
143,105,eval,Frederick Reines,True,43,Liu Kang,512,False
144,216,eval,Mycena galericulata,True,44,Monty Can 't Buy Me Love,554,False
145,359,eval,Tropical Storm Abby ( 1964 ),True,45,Truth in Numbers ?,202,False
146,623,eval,Perry the Platypus,True,46,Henry Hoʻolulu Pitman,493,False
147,289,eval,Battle of Merville Gun Battery,True,47,Gregory Helms,436,False
148,475,eval,Road to the North Pole,True,48,Elephanta Caves,32,False
149,376,eval,M @-@ 108 ( Michigan highway ),True,49,Irresistible ( The X @-@ Files ),606,False
150,530,eval,T30 Howitzer Motor Carriage,True,50,The General in His Labyrinth,611,False
151,346,eval,Richard Cresswell,True,51,Subtropical Storm Alpha ( 1972 ),571,False
152,172,eval,Ulysses ( poem ),True,52,766th Independent Infantry Regiment ( North Korea ),154,False
153,617,eval,Wilhelm Busch,True,53,M @-@ 47 ( Michigan highway ),575,False
154,348,eval,Xenon,True,54,Stanley Green,316,False
155,184,eval,1986 Peach Bowl,True,55,2007 Hawaii Bowl,395,False
156,458,eval,President Evil,True,56,Andrew Johnston ( singer ),214,False
157,501,eval,Yo @-@ Yo ( Nicola Roberts song ),True,57,Jane 's Attack Squadron,309,False
158,23,eval,SMS Zrínyi,True,58,Rachel Green,107,False
159,490,eval,Sweet Love ( Chris Brown song ),True,59,New York State Route 38,437,False
160,603,eval,Development of Fez,True,60,Old Baltimore Pike,133,False
161,58,eval,Species of Allosaurus,True,61,"Baltimore mayoral election , 1999",330,False
162,264,eval,My Boo ( Usher and Alicia Keys song ),True,62,Illinois ( Sufjan Stevens album ),215,False
163,529,eval,Jin – Song Wars,True,63,NoitulovE,311,False
164,486,eval,Mitsuyo Maeda,True,64,Simon de Montfort 's Parliament,431,False
165,85,eval,Leanne Del Toso,True,65,Cater 2 U,505,False
166,498,eval,Directed acyclic graph,True,66,Kitsune,487,True
167,424,eval,Adams River ( British Columbia ),True,67,Geopyxis carbonaria,24,False
168,205,eval,Stop ! ! Hibari @-@ kun !,True,68,Texas A & M Singing Cadets,248,False
169,263,eval,Kedok Ketawa,True,69,Georgian scripts,595,False
170,282,eval,Gerard ( archbishop of York ),True,70,God 's Choice,329,False
171,21,eval,South of Heaven,True,71,Inocybe praetervisa,513,False
172,448,eval,Blackburn Firecrest,True,72,"No result , Pts",238,False
173,474,eval,Tropical Storm Olaf ( 1997 ),True,73,First @-@ move advantage in chess,104,False
174,155,eval,Sister Wives,True,74,Lost Horizons ( Lemon Jelly album ),115,False
175,125,eval,Ireland,True,75,2010 Haiti earthquake,129,False
176,429,eval,James Robert Baker,True,76,Star,622,False
177,273,eval,Rob Howard,True,77,Cadmium,169,False
178,61,eval,"The Fox , the Wolf and the Husbandman",True,78,Vitamin D ( Glee ),87,False
179,382,eval,Boy @-@ Scoutz ' n the Hood,True,79,Paul Thomas Anderson,60,False
180,122,eval,M @-@ 122 ( Michigan highway ),True,80,Le souper de Beaucaire,528,False
181,535,eval,Diamond stingray,True,81,AIL Storm,149,False
182,362,eval,E. W. Hornung,True,82,Fieldfare,207,False
183,81,eval,Yamaha NS @-@ 10,True,83,2nd Battalion 9th Marines,497,False
184,140,eval,Florida State Road 878,True,84,Central Area Command ( RAAF ),69,False
185,226,eval,Qedarite,True,85,The Food Album,173,False
186,461,eval,Kyra ( Charmed ),True,86,Independence Day ( India ),425,False
187,70,eval,Corn crake,True,87,Project Chanology,413,False
188,451,eval,Battle of Binh Gia,True,88,Draining and development of the Everglades,537,False
189,230,eval,Somerset County Cricket Club in 2009,True,89,Banksia violacea,272,False
190,504,eval,Erving Goffman,True,90,10 @.@ 6 ° compared to 7 ° for Mercury and 17 ° for Pluto ) and moderately eccentric ( e,549,True
191,45,eval,West End Girls,True,91,Gertrude Barrows Bennett,219,False
192,357,eval,SS El Sol,True,92,Memory Almost Full,531,False
193,2,eval,Cicely Mary Barker,True,93,Khoo Kheng @-@ Hor,416,False
194,92,eval,Zhou Tong ( archer ),True,94,The Convict ( 1910 film ),576,False
195,422,eval,Comair Flight 5191,True,95,The Moth ( Lost ),297,False
196,189,eval,Elgin Cathedral,True,96,Joe Nathan,62,False
197,569,eval,Islais Creek,True,97,2011 – 12 Columbus Blue Jackets season,5,False
198,170,eval,"14 @.@ 1 years ) , 115mCd ( t1 / 2",True,98,Skye,550,False
199,269,eval,Superman : Escape from Krypton,True,99,Maggie Simpson,337,False
