stim_idx,doc_idx,pos,split,token_str,token_type,seq_len,entropy_nats,top1_prob,top1_id,top1_str,top5_str,top5_prob,next_actual_id,next_actual_str,next_actual_prob,next_actual_rank,top1_matches_actual,error
30,126,432,pilot, of,word_initial,512,0.7587460875511169,0.7352622747421265,2009, All,"["" All"", "" all"", "" Them"", "" them"", "" the""]","[0.73526, 0.21066, 0.03661, 0.01526, 0.00067]",2009, All,0.7352622747421265,1,True,
31,442,365,pilot, The,word_initial,512,2.536816120147705,0.38552820682525635,25265, snake,"["" snake"", "" white"", "" priest"", "" black"", "" next""]","[0.38553, 0.24892, 0.06294, 0.05218, 0.04063]",41863, priests,0.01919431798160076,6,False,
32,545,450,pilot, Gi,word_initial,512,0.4540977478027344,0.9159618020057678,92003,useppe,"[""useppe"", ""ac"", ""rol"", ""org"", ""amb""]","[0.91596, 0.03552, 0.01678, 0.01307, 0.00617]",92003,useppe,0.9159618020057678,1,True,
33,168,303,pilot, a,word_initial,512,2.9224278926849365,0.2237372100353241,26183, mud,"["" mud"", "" landslide"", "" cave"", "" car"", "" vehicle""]","[0.22374, 0.19745, 0.1357, 0.11976, 0.03888]",95702, landslide,0.19744738936424255,2,False,
34,152,435,pilot,o,word_piece,512,4.544137482298538e-05,0.9999971389770508,1047,ys,"[""ys"", ""ats"", ""ies"", ""yst"", ""ays""]","[1.0, 0.0, 0.0, 0.0, 0.0]",1047,ys,0.9999971389770508,1,True,
35,228,202,pilot, ,punctuation,512,1.0943089723587036,0.49572044610977173,16,1,"[""1"", ""2"", ""3"", ""8"", ""4""]","[0.49572, 0.38607, 0.08614, 0.00908, 0.00624]",16,1,0.49572044610977173,1,True,
36,64,225,pilot,all,word_piece,512,1.365152359008789,0.5475308895111084,659, .,"["" ."", "" ,"", "" ("", "" and"", "" .\n""]","[0.54753, 0.22824, 0.10782, 0.0741, 0.00885]",659, .,0.5475308895111084,1,True,
37,171,372,pilot," ,",punctuation,512,2.430962324142456,0.465893030166626,279, the,"["" the"", "" on"", "" in"", "" a"", "" Operation""]","[0.46589, 0.17139, 0.04613, 0.04071, 0.01923]",279, the,0.465893030166626,1,True,
38,244,52,pilot,2,word_piece,512,6.668844889645698e-07,1.0,15,0,"[""0"", ""1"", ""O"", "" \n"", "" ""]","[1.0, 0.0, 0.0, 0.0, 0.0]",15,0,1.0,1,True,
39,51,279,pilot, though,word_initial,512,3.080897808074951,0.405274361371994,279, the,"["" the"", "" it"", "" Best"", "" a"", "" in""]","[0.40527, 0.11611, 0.05485, 0.04547, 0.04013]",279, the,0.405274361371994,1,True,
40,598,225,eval,ium,word_piece,327,1.4529850482940674,0.5131252408027649,525, are,"["" are"", "" metal"", "" include"", "" :"", "" in""]","[0.51313, 0.31123, 0.03717, 0.03717, 0.0199]",525, are,0.5131252408027649,1,True,
41,351,142,eval," 
",punctuation,512,2.383472442626953,0.3440355062484741,3838,What,"[""What"", ""Do"", ""You"", ""In"", ""Output""]","[0.34404, 0.18415, 0.18415, 0.04374, 0.0386]",576, The,2.419146039756015e-05,260,False,
42,377,372,eval, game,word_initial,512,1.9166477918624878,0.49652019143104553,1879, world,"["" world"", "" area"", "" '"", "" when"", "" once""]","[0.49652, 0.12554, 0.12554, 0.04076, 0.04076]",364, ',0.12553995847702026,2,False,
43,512,266,eval, book,word_initial,512,0.8250468373298645,0.8883256912231445,4013, series,"["" series"", "" min"", "" ,"", "" ."", "" spin""]","[0.88833, 0.01528, 0.00637, 0.00637, 0.00599]",76665, adaptations,0.0014216788113117218,19,False,
44,554,393,eval, of,word_initial,512,1.139962077140808,0.7733356952667236,279, the,"["" the"", "" a"", "" his"", "" Springfield"", "" Kr""]","[0.77334, 0.06348, 0.05963, 0.03398, 0.01605]",264, a,0.06347926706075668,2,False,
45,202,178,eval,0,word_piece,512,0.12094758450984955,0.9740098118782043,16,1,"[""1"", ""0"", ""2"", "" "", "" -""]","[0.97401, 0.02596, 1e-05, 0.0, 0.0]",16,1,0.9740098118782043,1,True,
46,493,146,eval, pioneer,word_initial,512,3.138413667678833,0.2466432750225067,323, and,"["" and"", "" who"", "" ."", "" of"", "" merchant""]","[0.24664, 0.11651, 0.09073, 0.07066, 0.05503]",8227, sett,0.04286017268896103,7,False,
47,436,370,eval, Sm,word_initial,512,0.0002889754541683942,0.999980092048645,473,ack,"[""ack"", ""ac"", ""acked"", ""ak"", ""acks""]","[0.99998, 0.0, 0.0, 0.0, 0.0]",473,ack,0.999980092048645,1,True,
48,32,40,eval, in,word_initial,512,0.8085936307907104,0.6619076132774353,279, the,"["" the"", "" Mumbai"", "" Maharashtra"", "" Mah"", "" Bombay""]","[0.66191, 0.31266, 0.0107, 0.00446, 0.00145]",34712, Mumbai,0.3126630187034607,2,False,
49,606,203,eval, who,word_initial,512,0.17041854560375214,0.9754687547683716,19314, investigate,"["" investigate"", "" work"", "" are"", "" investigates"", "" solve""]","[0.97547, 0.01084, 0.00352, 0.00274, 0.00129]",975, work,0.010836480185389519,2,False,
50,611,214,eval, Time,word_initial,512,0.0006557432352565229,0.9999505281448364,315, of,"["" of"", "" Of"", "" "", "" ,"", ""of""]","[0.99995, 2e-05, 1e-05, 1e-05, 0.0]",315, of,0.9999505281448364,1,True,
51,571,172,eval,ological,word_piece,512,1.5931264162063599,0.3687428832054138,21517, Summary,"["" Summary"", "" History"", "" history"", "" summary"", "" Discussion""]","[0.36874, 0.25343, 0.17418, 0.15371, 0.0208]",3840, history,0.17418181896209717,3,False,
52,154,408,eval, Unit,word_initial,512,1.4152908325195312,0.7088471055030823,572, was,"["" was"", "" consisted"", "" had"", "" ("", "" '""]","[0.70885, 0.09593, 0.04532, 0.03999, 0.01667]",572, was,0.7088471055030823,1,True,
53,575,55,eval, the,word_initial,512,1.254785418510437,0.5004655718803406,1584, state,"["" state"", "" Lower"", "" Thumb"", "" central"", "" lower""]","[0.50047, 0.38976, 0.03199, 0.01511, 0.01177]",27536, Lower,0.3897629678249359,2,False,
54,316,348,eval, Carter,word_initial,512,1.5541678667068481,0.7458299398422241,1154," ,","["" ,"", "" of"", "" ("", "" and"", "" '""]","[0.74583, 0.03713, 0.03277, 0.02892, 0.02717]",13914, writes,0.000513373059220612,34,False,
55,395,300,eval, ',punctuation,512,0.0022126410622149706,0.9998475313186646,82,s,"[""s"", ""d"", ""ve"", "" #"", ""ll""]","[0.99985, 3e-05, 2e-05, 1e-05, 1e-05]",82,s,0.9998475313186646,1,True,
56,214,442,eval, ',punctuation,512,0.005064080469310284,0.9996567964553833,82,s,"[""s"", "" became"", "" s"", ""d"", "" grew""]","[0.99966, 4e-05, 3e-05, 2e-05, 2e-05]",82,s,0.9996567964553833,1,True,
57,309,459,eval, are,word_initial,512,2.347626209259033,0.2692330479621887,3204, possible,"["" possible"", "" a"", "" included"", "" available"", "" present""]","[0.26923, 0.18504, 0.14411, 0.09905, 0.08741]",3204, possible,0.2692330479621887,1,True,
58,107,365,eval, towards,word_initial,512,1.1735230684280396,0.5733717083930969,279, the,"["" the"", "" Rachel"", "" An"", "" Jennifer"", "" her""]","[0.57337, 0.18615, 0.18615, 0.04153, 0.00562]",31432, Rachel,0.1861465573310852,2,False,
59,437,396,eval, aforementioned,word_initial,512,1.6282777786254883,0.6712231040000916,64405, creek,"["" creek"", "" branch"", "" trib"", "" O"", "" lake""]","[0.67122, 0.12416, 0.02297, 0.02297, 0.01904]",506, O,0.02296799048781395,3,False,
60,133,298,eval, American,word_initial,512,0.3820071816444397,0.8946942687034607,66579, Revolutionary,"["" Revolutionary"", "" Revolution"", "" Civil"", "" War"", "" revolutionary""]","[0.89469, 0.0943, 0.00774, 0.00251, 0.00023]",66579, Revolutionary,0.8946942687034607,1,True,
61,330,510,eval,s,word_piece,512,1.4649159908294678,0.6189698576927185,7042, population,"["" population"", "" residents"", "" registered"", "" voters"", "" electorate""]","[0.61897, 0.1565, 0.05081, 0.05081, 0.03957]",9681, registered,0.0508081428706646,3,False,
62,215,485,eval, Saul,word_initial,512,0.08770552277565002,0.989667534828186,425, B,"["" B"", "" Stein"", "" Bass"", "" Al"", "" Bell""]","[0.98967, 0.00458, 0.00158, 0.00058, 0.00051]",425, B,0.989667534828186,1,True,
63,311,325,eval, and,word_initial,512,4.461923122406006,0.09471162408590317,1181, its,"["" its"", "" was"", "" the"", "" had"", "" market""]","[0.09471, 0.09471, 0.08358, 0.04474, 0.03948]",6116, became,0.0271353330463171,9,False,
64,431,461,eval, met,word_initial,512,1.3895195722579956,0.46823373436927795,304, in,"["" in"", "" at"", "" on"", "" again"", "" the""]","[0.46823, 0.284, 0.15201, 0.06337, 0.00589]",304, in,0.46823373436927795,1,True,
65,505,463,eval, Destiny,word_initial,512,0.07814061641693115,0.9903867244720459,364, ',"["" '"", "" F"", ""'s"", "" "", "" :""]","[0.99039, 0.0038, 0.0018, 0.0009, 0.0008]",364, ',0.9903867244720459,1,True,
66,487,457,eval, but,word_initial,512,3.708322048187256,0.20597341656684875,279, the,"["" the"", "" that"", "" he"", "" these"", "" she""]","[0.20597, 0.20597, 0.04892, 0.0381, 0.02967]",1340, she,0.029673287644982338,5,False,
67,24,392,eval,1,word_piece,512,0.2918754518032074,0.9148362874984741,23,8,"[""8"", ""9"", ""7"", ""6"", "" ""]","[0.91484, 0.08509, 4e-05, 2e-05, 0.0]",24,9,0.08509302139282227,2,False,
68,248,40,eval,gi,word_piece,512,0.0010782397584989667,0.99991774559021,18123,eland,"[""eland"", ""edom"", ""el"", ""emy"", "" nation""]","[0.99992, 3e-05, 1e-05, 1e-05, 1e-05]",18123,eland,0.99991774559021,1,True,
69,595,331,eval, .,punctuation,512,2.909104108810425,0.26459550857543945,576, The,"["" The"", "" S"", "" \n"", "" \n\n"", "" In""]","[0.2646, 0.18185, 0.18185, 0.05904, 0.0521]",576, The,0.26459550857543945,1,True,
70,329,268,eval, an,word_initial,512,1.588242530822754,0.48890864849090576,18657, Illinois,"["" Illinois"", "" unnamed"", "" "", "" evangelical"", "" American""]","[0.48891, 0.29654, 0.05839, 0.05839, 0.02758]",18657, Illinois,0.48890864849090576,1,True,
71,513,394,eval, with,word_initial,512,2.6275594234466553,0.37125593423843384,1008, other,"["" other"", "" several"", "" I"", "" the"", "" In""]","[0.37126, 0.16474, 0.0731, 0.06451, 0.05024]",358, I,0.073104627430439,3,False,
72,238,219,eval, spinner,word_initial,512,4.831153869628906,0.06353077292442322,7607, Jack,"["" Jack"", "" Ryan"", "" Tom"", "" Sam"", "" James""]","[0.06353, 0.05968, 0.05267, 0.03001, 0.03001]",7487, Max,0.0008513128850609064,120,False,
73,104,251,eval," 
",punctuation,512,4.192230701446533,0.13292917609214783,576, The,"["" The"", "" In"", "" What"", "" \n\n"", "" Given""]","[0.13293, 0.10353, 0.06684, 0.06279, 0.05541]",4329, Some,0.03577740117907524,6,False,
74,115,113,eval, with,word_initial,512,2.9642763137817383,0.23990920186042786,9023, critical,"["" critical"", "" generally"", "" positive"", "" mixed"", "" a""]","[0.23991, 0.12841, 0.11333, 0.10001, 0.10001]",13771, largely,0.03246818110346794,6,False,
75,129,40,eval,ble,word_piece,512,1.758276343345642,0.7662817239761353,264, a,"["" a"", "" nan"", "" sou"", "" "", "" yo""]","[0.76628, 0.04061, 0.01802, 0.01239, 0.00906]",1515,man,0.0008428636938333511,37,False,
76,622,484,eval, from,word_initial,512,0.20612435042858124,0.9593889117240906,71518, collapsing,"["" collapsing"", "" further"", "" collapse"", "" coll"", ""坍""]","[0.95939, 0.02897, 0.00941, 0.0006, 0.00028]",71518, collapsing,0.9593889117240906,1,True,
77,169,189,eval, ores,word_initial,512,1.1904951333999634,0.5879597663879395,323, and,"["" and"", "" ,"", "" ."", "" ;"", "" (""]","[0.58796, 0.2163, 0.11578, 0.06197, 0.00653]",323, and,0.5879597663879395,1,True,
78,87,315,eval, =,punctuation,512,0.06664697825908661,0.9919118881225586,284, =,"["" ="", "" =\n"", "" The"", "" \n"", "" \n \n""]","[0.99191, 0.00358, 0.00116, 0.00096, 0.00052]",284, =,0.9919118881225586,1,True,
79,60,24,eval, as,word_initial,512,0.9385846257209778,0.855753481388092,393, P,"["" P"", "" PT"", "" Paul"", "" Tony"", "" T""]","[0.85575, 0.03532, 0.01299, 0.01147, 0.01077]",393, P,0.855753481388092,1,True,
80,528,430,eval, Av,word_initial,512,0.02182043343782425,0.9980878233909607,61699,ignon,"[""ignon"", ""ign"", ""r"", ""iles"", ""i""]","[0.99809, 0.00067, 0.0003, 5e-05, 5e-05]",61699,ignon,0.9980878233909607,1,True,
81,149,218,eval, @,punctuation,512,0.0030776176135987043,0.9996799230575562,12,-,"[""-"", "" -"", ""\\-"", "" "", "",-""]","[0.99968, 0.0003, 1e-05, 0.0, 0.0]",12,-,0.9996799230575562,1,True,
82,207,224,eval, in,word_initial,512,0.02209608070552349,0.9972820281982422,873, ),"["" )"", ""."", "")"", "" ."", "".)""]","[0.99728, 0.00193, 0.00033, 0.00012, 0.00011]",873, ),0.9972820281982422,1,True,
83,497,130,eval, served,word_initial,512,1.549921989440918,0.4421021342277527,438, as,"["" as"", "" in"", "" with"", "" under"", "" on""]","[0.4421, 0.34431, 0.11178, 0.01714, 0.01513]",438, as,0.4421021342277527,1,True,
84,69,54,eval, New,word_initial,512,0.016495952382683754,0.9980225563049316,4882, South,"["" South"", "" Guinea"", "" Zealand"", "" south"", ""South""]","[0.99802, 0.0015, 0.00016, 8e-05, 7e-05]",4882, South,0.9980225563049316,1,True,
85,173,155,eval, the,word_initial,512,0.5974832773208618,0.8714507222175598,8017, album,"["" album"", "" compilation"", "" final"", "" release"", "" record""]","[0.87145, 0.07153, 0.01809, 0.01243, 0.00854]",3255, record,0.008543401025235653,5,False,
86,425,387,eval, formed,word_initial,512,0.24083489179611206,0.959275484085083,304, in,"["" in"", "" by"", "" on"", "" to"", "" as""]","[0.95928, 0.02256, 0.00646, 0.00305, 0.0021]",304, in,0.959275484085083,1,True,
87,413,474,eval, significant,word_initial,512,1.716650366783142,0.5539160370826721,47056, backlash,"["" backlash"", "" amount"", "" increase"", "" number"", "" response""]","[0.55392, 0.23091, 0.08495, 0.01673, 0.00895]",3311, amount,0.23090657591819763,2,False,
88,537,73,eval, .,punctuation,512,4.08516263961792,0.19099511206150055,576, The,"["" The"", "" In"", "" This"", "" However"", "" After""]","[0.191, 0.11584, 0.04829, 0.04537, 0.04262]",12969, Those,0.0006078954902477562,116,False,
89,272,377,eval, typical,word_initial,512,3.8678550720214844,0.20700235664844513,13959, banks,"["" banks"", "" Banks"", "" yellow"", "" cone"", "" golden""]","[0.207, 0.18268, 0.08629, 0.04076, 0.03597]",37766, Banks,0.1826789379119873,2,False,
90,549,476,eval, such,word_initial,512,2.167982578277588,0.33161547780036926,6171, objects,"["" objects"", "" asteroids"", "" temporary"", "" tro"", "" reson""]","[0.33162, 0.25826, 0.12199, 0.09501, 0.05085]",6171, objects,0.33161547780036926,1,True,
91,219,496,eval, of,word_initial,512,0.04757719486951828,0.9948154091835022,1059, her,"["" her"", "" the"", "" both"", "" a"", "" herself""]","[0.99482, 0.00103, 0.00091, 0.0008, 0.00071]",1059, her,0.9948154091835022,1,True,
92,531,23,eval, Wings,word_initial,512,2.2687408924102783,0.3313552737236023,2550, output,"["" output"", "" work"", "" material"", "" and"", "" albums""]","[0.33136, 0.22774, 0.17736, 0.04484, 0.03492]",569, @,5.775449452016801e-08,8643,False,
93,416,444,eval, .,punctuation,512,2.8696203231811523,0.37692931294441223,758, In,"["" In"", "" He"", "" Kh"", "" After"", "" During""]","[0.37693, 0.10799, 0.07901, 0.04229, 0.03506]",715," 
",0.0040584770031273365,25,False,
94,576,502,eval, on,word_initial,512,1.965761423110962,0.5387152433395386,279, the,"["" the"", "" track"", "" trail"", "" his"", "" road""]","[0.53872, 0.19818, 0.07291, 0.03039, 0.02224]",279, the,0.5387152433395386,1,True,
95,297,490,eval, the,word_initial,512,0.04048888012766838,0.9950457811355591,1156, first,"["" first"", "" very"", "" next"", "" fist"", "" second""]","[0.99505, 0.00317, 0.00033, 0.00023, 0.00018]",1156, first,0.9950457811355591,1,True,
96,62,89,eval, in,word_initial,512,0.29179900884628296,0.9553833603858948,279, the,"["" the"", "" their"", "" relief"", "" starting"", "" both""]","[0.95538, 0.01983, 0.00937, 0.00237, 0.00163]",279, the,0.9553833603858948,1,True,
97,5,498,eval, .,punctuation,512,3.177055835723877,0.27245643734931946,24563, Carter,"["" Carter"", "" The"", "" This"", "" In"", "" Jeff""]","[0.27246, 0.21219, 0.05711, 0.04735, 0.03687]",576, The,0.21218928694725037,2,False,
98,550,457,eval,ymology,word_piece,512,0.9751981496810913,0.6970856189727783,284, =,"["" ="", "" of"", "" and"", "" :"", "":""]","[0.69709, 0.15554, 0.12114, 0.00532, 0.00415]",284, =,0.6970856189727783,1,True,
99,337,423,eval, in,word_initial,512,4.527798652648926,0.32365140318870544,52424, Springfield,"["" Springfield"", "" the"", "" a"", "" Santa"", "" Las""]","[0.32365, 0.07222, 0.01826, 0.01826, 0.01715]",15755, Las,0.017152899876236916,5,False,
100,379,254,eval, serve,word_initial,512,0.22097404301166534,0.963945209980011,264, a,"["" a"", "" five"", "" as"", "" for"", "" ""]","[0.96395, 0.01375, 0.01213, 0.00239, 0.00211]",264, a,0.963945209980011,1,True,
101,538,131,eval, and,word_initial,512,0.6954081058502197,0.9069049954414368,553, by,"["" by"", "" the"", "" also"", "" a"", "" ultimately""]","[0.9069, 0.01377, 0.00574, 0.00539, 0.00476]",1496, even,0.00036697465111501515,32,False,
102,75,413,eval, matter,word_initial,512,2.0288679599761963,0.44198256731033325,304, in,"["" in"", "" is"", "" comes"", "" that"", "" (""]","[0.44198, 0.20878, 0.1626, 0.02493, 0.01942]",1154," ,",0.00382389803417027,14,False,
103,95,474,eval, sing,word_initial,512,1.6044440269470215,0.460409939289093,911, about,"["" about"", "" it"", "" this"", "" that"", "" the""]","[0.46041, 0.27925, 0.11641, 0.06231, 0.02023]",537, not,2.8570448193931952e-05,85,False,
104,469,148,eval, characters,word_initial,512,1.5631734132766724,0.6893309354782104,1154," ,","["" ,"", "" that"", "" who"", "" with"", "" from""]","[0.68933, 0.09329, 0.04993, 0.02082, 0.01431]",879, who,0.04993496462702751,3,False,
105,99,283,eval, NBC,word_initial,512,1.5631064176559448,0.6136959195137024,1473, show,"["" show"", "" program"", "" prim"", "" comedy"", "" episode""]","[0.6137, 0.13693, 0.06468, 0.03923, 0.02696]",2025, program,0.1369340717792511,2,False,
106,381,235,eval, for,word_initial,512,0.7533829808235168,0.8640279769897461,279, the,"["" the"", "" both"", "" several"", "" two"", "" Walter""]","[0.86403, 0.06259, 0.01397, 0.01088, 0.0096]",279, the,0.8640279769897461,1,True,
107,280,477,eval,9,word_piece,512,0.6757218837738037,0.7641422152519226,20,5,"[""5"", ""6"", ""7"", ""8"", ""4""]","[0.76414, 0.19321, 0.03804, 0.00354, 0.00079]",20,5,0.7641422152519226,1,True,
108,91,36,eval, debut,word_initial,512,1.2194268703460693,0.36380118131637573,8017, album,"["" album"", "" studio"", "" solo"", "" self"", "" full""]","[0.3638, 0.3638, 0.25004, 0.01169, 0.0043]",13529, solo,0.25003665685653687,3,False,
109,303,379,eval, used,word_initial,512,1.2978155612945557,0.3958549499511719,369, for,"["" for"", "" as"", "" by"", "" to"", "" in""]","[0.39585, 0.34934, 0.21189, 0.02233, 0.00498]",553, by,0.21188589930534363,3,False,
110,160,320,eval, activity,word_initial,512,0.5697596669197083,0.8136385083198547,1154," ,","["" ,"", "","", "" and"", "" or"", "" of""]","[0.81364, 0.16021, 0.02168, 0.00427, 7e-05]",1154," ,",0.8136385083198547,1,True,
111,55,30,eval, the,word_initial,512,0.9519456624984741,0.7413548231124878,220, ,"["" "", "" club"", "" first"", "" York"", "" second""]","[0.74135, 0.18744, 0.01539, 0.01198, 0.00824]",220, ,0.7413548231124878,1,True,
112,591,372,eval, the,word_initial,512,0.9206724762916565,0.588740348815918,220, ,"["" "", "" battalion"", "" unit"", "" machine"", "" same""]","[0.58874, 0.35709, 0.04265, 0.00187, 0.00089]",90416, battalion,0.3570890724658966,2,False,
