row,idx,sentence_no,k,stratum,is_last,sentence,random_row,same_row,d_norm,cos_dhat_hhat,proj,cos_z,cos_zc,n_atomic_mapped,ref_quoted_token_ok,complete,own_persist_claim,own_jaccard_expl,own_parse_ok,own_cjk,own_format_break,own_cos_new,own_cos_hprime_h,own_quoted_token_ok,own_n_tokens,own_skipped,own_n_atomic_true_persist,own_n_atomic_true,own_n_atomic_false_persist,own_n_atomic_false,own_n_atomic_unsupported_persist,own_n_atomic_unsupported,random_persist_claim,random_jaccard_expl,random_parse_ok,random_cjk,random_format_break,random_cos_new,random_cos_hprime_h,random_quoted_token_ok,random_n_tokens,random_skipped,random_n_atomic_true_persist,random_n_atomic_true,random_n_atomic_false_persist,random_n_atomic_false,random_n_atomic_unsupported_persist,random_n_atomic_unsupported,same_persist_claim,same_jaccard_expl,same_parse_ok,same_cjk,same_format_break,same_cos_new,same_cos_hprime_h,same_quoted_token_ok,same_n_tokens,same_skipped,same_n_atomic_true_persist,same_n_atomic_true,same_n_atomic_false_persist,same_n_atomic_false,same_n_atomic_unsupported_persist,same_n_atomic_unsupported
53,5,3,3,positive_control_last,True,"Final token ""to"" ends an incomplete numerical comparison clause (""from an average count of 1,450 per litre, decreasing from... to""), immediately requiring a numeric value or range like ""a mean of 150"" or ""zero during the monitoring period,"" completing the trend.",33,52,102.08675384521484,0.5646399259567261,0.5646399259567261,0.9466821579800019,0.7849180272945778,4,True,True,0.4888888888888889,0.47959183673469385,1.0,0.0,0.0,0.9022038205713762,0.9583269300535171,1.0,145,False,2,2,0,1,0,1,0.46808510638297873,0.5698924731182796,1.0,0.0,0.0,0.950002429171637,0.9551378855693547,1.0,144,False,2,2,1,1,0,1,0.4883720930232558,0.5052631578947369,1.0,0.0,0.0,0.9267830464839134,0.9543680298277637,1.0,146,False,2,2,0,1,0,1
31,3,1,3,non-last,False,"Scientific journal article format with academic metadata and abstracts, mixing scholarly content about ecology and citation metrics with a second item about publication bias.",73,32,38.383480072021484,0.2305295616388321,0.2305295616388321,0.9432012090612775,0.9128811072175105,7,True,True,0.21212121212121213,0.39080459770114945,1.0,0.0,0.0,0.881423706513501,0.9541783971068308,1.0,141,False,1,5,0,2,0,0,0.4827586206896552,0.6,1.0,0.0,0.0,0.9401052078217104,0.9560204765766357,1.0,140,False,4,5,0,2,0,0,0.4375,0.49411764705882355,1.0,0.0,0.0,0.9253337797073417,0.9566040556111448,1.0,140,False,4,5,2,2,0,0
63,6,3,3,positive_control_last,True,"Final token ""after"" is mid-word (""the cold afterglow after""), part of a parallel noun phrase structure (""the observed GRB optical afterglow's delayed decay""), expecting ""glow flux"" or ""afterglow light curve"" or ""glow decay is detected.""",53,62,123.89297485351562,0.4505496323108673,0.4505496323108673,0.9237379227184127,0.6639572306839462,5,True,True,0.43243243243243246,0.5125,1.0,0.0,0.0,0.9263052896626185,0.9552427222586816,1.0,143,False,1,1,0,2,0,2,0.47058823529411764,0.5316455696202531,1.0,0.0,0.0,0.918441089170277,0.9555867092311072,1.0,143,False,1,1,0,2,1,2,0.4864864864864865,0.3723404255319149,1.0,0.0,0.0,0.9083498728239606,0.9544534047238953,1.0,147,False,1,1,0,2,1,2
32,3,2,3,non-last,False,"The phrase ""Gender bias in citation counts of"" suggests a citation analysis or academic paper metadata study, likely a journal or country ranking study, implying a third item or data visualization about international research output or publication quality.",11,31,27.415836334228516,0.05550574138760567,0.05550574138760567,0.9432012090612775,0.9439146137811575,5,True,True,0.3023255813953488,0.49411764705882355,1.0,0.0,0.0,0.9253337797073417,0.9566040556111448,1.0,140,False,0,2,0,1,0,2,0.4418604651162791,0.5662650602409639,1.0,0.0,0.0,0.9373056627530746,0.9592696363929849,1.0,142,False,1,2,1,1,0,2,0.3333333333333333,0.39080459770114945,1.0,0.0,0.0,0.881423706513501,0.9541783971068308,1.0,141,False,0,2,0,1,0,2
74,7,4,4,positive_control_last,True,"Final token ""electrolytes"" ends mid-clause (""release of corrosive electrolutes""), part of a parenthetical example listing consequences (""The presence of leaked electrolytes""), strongly expecting continuation like ""and smoke,"" ""into the vehicle"" or ""and other materials, and fire"" or similar.",23,73,61.90098571777344,0.4147091805934906,0.4147091805934906,0.8984201505886318,0.8681592356058603,4,False,True,0.3541666666666667,0.4205607476635514,1.0,0.0,0.0,0.8284311958031819,0.9546768292381693,0.0,143,False,1,2,0,1,0,1,0.4883720930232558,0.5520833333333334,1.0,0.0,0.0,0.8831607767889715,0.957917838151608,0.0,145,False,2,2,0,1,0,1,0.4878048780487805,0.4,1.0,0.0,0.0,0.8217524971605396,0.9545996276881995,0.0,146,False,0,2,0,1,0,1
41,4,1,3,non-last,False,"Student blog post written in informal tone with personal perspective on Indian culture and service, detailing a high school student's involvement with the Jewish community's charity event.",62,42,49.18564224243164,0.1903103142976761,0.1903103142976761,0.9200446926568321,0.8867040522976292,9,True,True,0.225,0.3425925925925926,1.0,0.0,0.0,0.8929207396537391,0.9545206645933654,1.0,146,False,1,5,0,1,0,3,0.4411764705882353,0.45454545454545453,1.0,0.0,0.0,0.9213150115974107,0.9548238309628847,1.0,146,False,2,5,0,1,1,3,0.24324324324324326,0.308411214953271,1.0,0.0,0.0,0.9200328520791996,0.9553237800368917,1.0,144,False,0,5,0,1,0,3
42,4,2,3,non-last,False,"The sentence structure ""Her passion for the event has grown over the years and the annual"" signals a second piece of information about the fundraising event's purpose or the charity's chosen charity, likely referencing the charity fair's fundraising event.",2,41,21.606266021728516,0.12746098637580872,0.12746098637580872,0.9200446926568321,0.9225136182909612,2,True,True,0.18867924528301888,0.308411214953271,1.0,0.0,0.0,0.9200328520791996,0.9553237800368917,1.0,144,False,0,0,0,1,0,1,0.23076923076923078,0.3619047619047619,1.0,0.0,0.0,0.9206937973223694,0.9567095744877209,1.0,147,False,0,0,0,1,0,1,0.4090909090909091,0.3425925925925926,1.0,0.0,0.0,0.8929207396537391,0.9545206645933654,1.0,146,False,0,0,1,1,0,1
51,5,1,3,non-last,False,"Australian environmental/technical report format with scientific data presented in a structured abstract format, detailing water quality monitoring results for a dairy farm.",61,52,31.638954162597656,0.1795741468667984,0.1795741468667984,0.9466821579800019,0.9417854989939576,5,True,True,0.2,0.35294117647058826,1.0,0.0,0.0,0.925706381802514,0.9546354223615723,1.0,143,False,0,3,0,1,0,1,0.3448275862068966,0.39805825242718446,1.0,0.0,0.0,0.9462656103629322,0.95882904819801,1.0,142,False,0,3,1,1,1,1,0.75,0.5052631578947369,1.0,0.0,0.0,0.9267830464839134,0.9543680298277637,1.0,146,False,2,3,1,1,1,1
52,5,2,3,non-last,False,"The sentence structure ""The mean E. coli levels prior to the implementation of the BMP program had increased from a high level, however following the implementation the levels had reduced from"" establishes a numerical comparison showing pre/post reduction data, with a specific range expected.",32,51,40.42732238769531,0.3882765471935272,0.3882765471935272,0.9466821579800019,0.9261756808691266,6,True,True,0.2653061224489796,0.5052631578947369,1.0,0.0,0.0,0.9267830464839134,0.9543680298277637,1.0,146,False,0,2,0,3,0,1,0.30612244897959184,0.5154639175257731,1.0,0.0,0.0,0.9304427034104127,0.9553057884621867,0.0,147,False,1,2,1,3,0,1,0.40425531914893614,0.35294117647058826,1.0,0.0,0.0,0.925706381802514,0.9546354223615723,1.0,143,False,0,2,1,3,0,1
61,6,1,3,non-last,False,"Scientific paper abstract format with LaTeX formatting, discussing GRB jet models using numerical simulations and observational constraints on GRB afterglow emission.",42,62,21.241750717163086,0.09626388549804688,0.09626388549804688,0.9237379227184127,0.9171853311668121,6,True,True,0.21428571428571427,0.29545454545454547,1.0,0.0,0.0,0.8942624501412068,0.9558342310279647,1.0,147,False,0,4,0,1,0,1,0.48148148148148145,0.38144329896907214,1.0,0.0,0.0,0.9151127301877048,0.9558506705624995,1.0,147,False,3,4,0,1,0,1,0.5384615384615384,0.3723404255319149,1.0,0.0,0.0,0.9083498728239606,0.9544534047238953,1.0,147,False,4,4,0,1,0,1
62,6,2,3,non-last,False,"The phrase ""Thus the model predicts the time-dependent polarization of the progenitor's cold dust during the GRB optical afterglow"" implies a concluding question about the afterglow light curve, strongly suggesting ""afterglow flux"" or similar term.",1,61,25.428085327148438,0.19706642627716064,0.19706642627716064,0.9237379227184127,0.9169201134645217,4,True,True,0.14583333333333334,0.3723404255319149,1.0,0.0,0.0,0.9083498728239606,0.9544534047238953,1.0,147,False,0,1,0,2,0,1,0.2608695652173913,0.42168674698795183,1.0,0.0,0.0,0.9098454678991452,0.959006775469274,1.0,145,False,0,1,0,2,0,1,0.23809523809523808,0.29545454545454547,1.0,0.0,0.0,0.8942624501412068,0.9558342310279647,1.0,147,False,0,1,0,2,0,1
71,7,1,4,non-last,False,Technical corporate news release format with U.S.,51,72,14.849736213684082,0.05380978807806969,0.05380978807806969,0.8984201505886318,0.8940959013989469,2,False,True,0.09090909090909091,0.4444444444444444,1.0,0.0,0.0,0.8495376751262593,0.9566385002720662,0.0,142,False,0,1,0,0,0,1,0.16666666666666666,0.4117647058823529,1.0,0.0,0.0,0.8799323550251869,0.95595645319697,0.0,148,False,1,1,0,0,0,1,0.125,0.33962264150943394,1.0,0.0,0.0,0.8388932611387896,0.9545761089640192,0.0,144,False,0,1,0,0,0,1
72,7,2,4,non-last,False,"government safety announcement describing a Boeing aircraft event, establishing factual details about autonomous vehicle testing.",22,73,25.349119186401367,0.18501156568527222,0.18501156568527222,0.8984201505886318,0.8896337983535735,3,False,True,0.09375,0.33962264150943394,1.0,0.0,0.0,0.8388932611387896,0.9545761089640192,0.0,144,False,0,2,0,1,0,0,0.38461538461538464,0.49019607843137253,1.0,0.0,0.0,0.8852437063212346,0.9601668935282314,0.0,146,False,0,2,1,1,0,0,0.13333333333333333,0.4,1.0,0.0,0.0,0.8217524971605396,0.9545996276881995,0.0,146,False,1,2,0,1,0,0
73,7,3,4,non-last,False,"The sentence structure ""The incidents also resulted in the release of heated electrolytic fluids"" lists a specific observed failure symptom (""release of corrosive liquids""), continuing a description of physical damage or chemical hazards from the battery cell rupture.",31,71,44.83868408203125,0.4087684452533722,0.4087684452533722,0.8984201505886318,0.8653885974227435,4,False,True,0.3,0.4,1.0,0.0,0.0,0.8217524971605396,0.9545996276881995,0.0,146,False,1,2,0,1,0,1,0.27450980392156865,0.46875,1.0,0.0,0.0,0.8821945683587604,0.9589045766014406,0.0,146,False,1,2,0,1,0,1,0.37777777777777777,0.4444444444444444,1.0,0.0,0.0,0.8495376751262593,0.9566385002720662,0.0,142,False,1,2,1,1,0,1
