pair_id,template_id,noun,entity_a,entity_b,context_a,context_b,dist_to_end,cos_ha_hb,mentions_own_a,mentions_own_b,C2_M,error,p1_prefix,p1_n_tok_a,p1_n_tok_b,p1_lp_a_given_ha,p1_lp_b_given_ha,p1_lp_a_given_hb,p1_lp_b_given_hb,p1_lp_a_given_h0,p1_lp_b_given_h0,p1_D_a,p1_D_b,p1_D_0,p1_D_a_pt,p1_D_b_pt,p1_D_0_pt,p1_donor,p1_donor_pt,p1_D_a_cen,p1_D_b_cen,p2_prefix,p2_n_tok_a,p2_n_tok_b,p2_lp_a_given_ha,p2_lp_b_given_ha,p2_lp_a_given_hb,p2_lp_b_given_hb,p2_lp_a_given_h0,p2_lp_b_given_h0,p2_D_a,p2_D_b,p2_D_0,p2_D_a_pt,p2_D_b_pt,p2_D_0_pt,p2_donor,p2_donor_pt,p2_D_a_cen,p2_D_b_cen
10,2,time,March,April,The meeting has been moved to March. Everyone should bring the printed report and arrive at the,The meeting has been moved to April. Everyone should bring the printed report and arrive at the,12,0.9987925013670932,True,False,0.000134070992063,,"<explanation>
The time mentioned in the passage is",1,1,-13.114697456359863,-12.239697456359863,-13.043972969055176,-12.168972969055176,-14.6693754196167,-15.3568754196167,-0.875,-0.875,0.6875,-0.875,-0.875,0.6875,0.0,0.0,-1.5625,-1.5625,"<explanation>
The passage mentions the time",1,1,-15.055524826049805,-14.524274826049805,-14.861786842346191,-14.393036842346191,-16.95391082763672,-16.92266082763672,-0.53125,-0.46875,-0.03125,-0.53125,-0.46875,-0.03125,-0.0625,-0.0625,-0.5,-0.4375
11,2,time,noon,dusk,The meeting has been moved to noon. Everyone should bring the printed report and arrive at the,The meeting has been moved to dusk. Everyone should bring the printed report and arrive at the,12,0.9643304454353846,False,False,0.0273320784549363,,"<explanation>
The time mentioned in the passage is",1,1,-14.331136703491211,-19.40926170349121,-15.388498306274414,-18.154123306274414,-16.216249465942383,-20.806093215942383,5.078125,2.765625,4.58984375,5.078125,2.765625,4.58984375,2.3125,2.3125,0.48828125,-1.82421875,"<explanation>
The passage mentions the time",1,1,-13.927875518798828,-19.927875518798828,-14.393716812133789,-18.88590431213379,-17.11797332763672,-20.14141082763672,6.0,4.4921875,3.0234375,6.0,4.4921875,3.0234375,1.5078125,1.5078125,2.9765625,1.46875
12,3,instrument,violin,guitar,She plays the violin in the school orchestra. After every rehearsal the students pack up their things and,She plays the guitar in the school orchestra. After every rehearsal the students pack up their things and,16,0.989752245319943,False,False,0.0010667975400894,,"<explanation>
The instrument mentioned in the passage is",1,1,-23.723644256591797,-20.262706756591797,-23.721975326538086,-20.421194076538086,-22.096054077148438,-19.105331420898438,-3.4609375,-3.30078125,-2.99072265625,-3.4609375,-3.30078125,-2.99072265625,-0.16015625,-0.16015625,-0.47021484375,-0.31005859375,"<explanation>
The passage mentions the instrument",1,1,-17.216182708740234,-15.77904987335205,-17.533954620361328,-16.160907745361328,-15.048718452453613,-13.869030952453613,-1.4371328353881836,-1.373046875,-1.1796875,-1.4371328353881836,-1.373046875,-1.1796875,-0.0640859603881836,-0.0640859603881836,-0.2574453353881836,-0.193359375
13,3,instrument,flute,horn,She plays the flute in the school orchestra. After every rehearsal the students pack up their things and,She plays the horn in the school orchestra. After every rehearsal the students pack up their things and,16,0.9917014362870196,False,False,0.0018671509598395,,"<explanation>
The instrument mentioned in the passage is",1,1,-22.055267333984375,-23.025970458984375,-21.536270141601562,-22.339004516601562,-22.705429077148438,-21.783554077148438,0.970703125,0.802734375,-0.921875,0.970703125,0.802734375,-0.921875,0.16796875,0.16796875,1.892578125,1.724609375,"<explanation>
The passage mentions the instrument",1,1,-18.278600692749023,-18.833288192749023,-17.599645614624023,-18.263708114624023,-17.14246940612793,-17.67371940612793,0.5546875,0.6640625,0.53125,0.5546875,0.6640625,0.53125,-0.109375,-0.109375,0.0234375,0.1328125
14,3,instrument,piano,drums,She plays the piano in the school orchestra. After every rehearsal the students pack up their things and,She plays the drums in the school orchestra. After every rehearsal the students pack up their things and,16,0.9734134352281848,False,False,0.0144277098029054,,"<explanation>
The instrument mentioned in the passage is",1,1,-20.394596099853516,-23.439517974853516,-20.897968292236328,-23.726093292236328,-20.471054077148438,-22.533554077148438,3.044921875,2.828125,2.0625,3.044921875,2.828125,2.0625,0.216796875,0.216796875,0.982421875,0.765625,"<explanation>
The passage mentions the instrument",1,1,-15.495736122131348,-19.16761016845703,-16.651830673217773,-20.089330673217773,-15.837780952453613,-18.82996940612793,3.6718740463256836,3.4375,2.9921884536743164,3.6718740463256836,3.4375,2.9921884536743164,0.2343740463256836,0.2343740463256836,0.6796855926513672,0.4453115463256836
15,3,instrument,trumpet,organ,She plays the trumpet in the school orchestra. After every rehearsal the students pack up their things and,She plays the organ in the school orchestra. After every rehearsal the students pack up their things and,16,0.9530334225105672,False,False,0.0213570102239811,,"<explanation>
The instrument mentioned in the passage is",1,1,-23.909543991088867,-19.503293991088867,-23.422658920288086,-19.356252670288086,-22.033554077148438,-18.482772827148438,-4.40625,-4.06640625,-3.55078125,-4.40625,-4.06640625,-3.55078125,-0.33984375,-0.33984375,-0.85546875,-0.515625,"<explanation>
The passage mentions the instrument",1,1,-19.702756881713867,-17.239866256713867,-19.974050521850586,-18.119558334350586,-16.73621940612793,-15.650280952453613,-2.462890625,-1.8544921875,-1.0859384536743164,-2.462890625,-1.8544921875,-1.0859384536743164,-0.6083984375,-0.6083984375,-1.3769521713256836,-0.7685537338256836
16,4,metal,gold,iron,The ring was made of pure gold. The jeweller placed it carefully in a small box on the,The ring was made of pure iron. The jeweller placed it carefully in a small box on the,14,0.9664257389073708,True,False,0.0148185765295102,,"<explanation>
The metal mentioned in the passage is",1,1,-14.714329719543457,-17.04245376586914,-14.010957717895508,-16.557832717895508,-17.26695442199707,-18.16148567199707,2.3281240463256836,2.546875,0.89453125,2.3281240463256836,2.546875,0.89453125,-0.2187509536743164,-0.2187509536743164,1.4335927963256836,1.65234375,"<explanation>
The passage mentions the metal",1,1,-7.8599395751953125,-10.422439575195312,-9.381390571594238,-11.100140571594238,-9.411520957946777,-6.505270481109619,2.5625,1.71875,-2.906250476837158,2.5625,1.71875,-2.906250476837158,0.84375,0.84375,5.468750476837158,4.625000476837158
17,4,metal,silver,copper,The ring was made of pure silver. The jeweller placed it carefully in a small box on the,The ring was made of pure copper. The jeweller placed it carefully in a small box on the,14,0.9429283528930954,False,False,0.0307309845930812,,"<explanation>
The metal mentioned in the passage is",1,1,-16.44822120666504,-17.44822120666504,-17.062219619750977,-17.624719619750977,-19.38414192199707,-18.89000129699707,1.0,0.5625,-0.494140625,1.0,0.5625,-0.494140625,0.4375,0.4375,1.494140625,1.056640625,"<explanation>
The passage mentions the metal",1,1,-8.649967193603516,-10.743717193603516,-9.38488483428955,-11.04113483428955,-10.536520957946777,-7.661520481109619,2.09375,1.65625,-2.875000476837158,2.09375,1.65625,-2.875000476837158,0.4375,0.4375,4.968750476837158,4.531250476837158
18,4,metal,platinum,bronze,The ring was made of pure platinum. The jeweller placed it carefully in a small box on the,The ring was made of pure bronze. The jeweller placed it carefully in a small box on the,14,0.9647957545104292,False,False,0.0066657823501482,,"<explanation>
The metal mentioned in the passage is",1,1,-18.48723030090332,-18.25285530090332,-19.60070037841797,-17.92125701904297,-20.36070442199707,-17.70445442199707,-0.234375,-1.679443359375,-2.65625,-0.234375,-1.679443359375,-2.65625,1.445068359375,1.445068359375,2.421875,0.976806640625,"<explanation>
The passage mentions the metal",1,1,-10.451070785522461,-11.263570785522461,-11.794057846069336,-10.294057846069336,-10.255270957946777,-9.630270957946777,0.8125,-1.5,-0.625,0.8125,-1.5,-0.625,2.3125,2.3125,1.4375,-0.875
19,4,metal,steel,brass,The ring was made of pure steel. The jeweller placed it carefully in a small box on the,The ring was made of pure brass. The jeweller placed it carefully in a small box on the,14,0.98281150608528,False,False,0.004850449565704,,"<explanation>
The metal mentioned in the passage is",1,1,-17.168212890625,-15.176025390625,-17.790794372558594,-15.845481872558594,-16.38414192199707,-19.65757942199707,-1.9921875,-1.9453125,3.2734375,-1.9921875,-1.9453125,3.2734375,-0.046875,-0.046875,-5.265625,-5.21875,"<explanation>
The passage mentions the metal",1,1,-12.35736083984375,-13.26361083984375,-12.691056251525879,-13.362931251525879,-7.880270481109619,-14.255270957946777,0.90625,0.671875,6.375000476837158,0.90625,0.671875,6.375000476837158,0.234375,0.234375,-5.468750476837158,-5.703125476837158
20,5,city,London,Tokyo,The story is set in London during the winter. The main character wakes up early and looks out of the,The story is set in Tokyo during the winter. The main character wakes up early and looks out of the,16,0.9845215966695514,False,False,0.0135350945428547,,"<explanation>
The city mentioned in the passage is",1,1,-14.648966789245605,-17.94974708557129,-18.158790588378906,-12.088478088378906,-17.137104034423828,-17.340229034423828,3.3007802963256836,-6.0703125,0.203125,3.3007802963256836,-6.0703125,0.203125,9.371092796325684,9.371092796325684,3.0976552963256836,-6.2734375,"<explanation>
The passage mentions the city",1,1,-9.298637390136719,-13.017387390136719,-12.24846076965332,-7.62346076965332,-12.02354907989502,-10.32042407989502,3.71875,-4.625,-1.703125,3.71875,-4.625,-1.703125,8.34375,8.34375,5.421875,-2.921875
21,5,city,Moscow,Cairo,The story is set in Moscow during the winter. The main character wakes up early and looks out of the,The story is set in Cairo during the winter. The main character wakes up early and looks out of the,16,0.9802319266049128,False,False,0.026061980932343,,"<explanation>
The city mentioned in the passage is",1,1,-10.181912422180176,-18.687772750854492,-18.628620147705078,-12.184772491455078,-18.812885284423828,-18.867572784423828,8.505860328674316,-6.44384765625,0.0546875,8.505860328674316,-6.44384765625,0.0546875,14.949707984924316,14.949707984924316,8.451172828674316,-6.49853515625,"<explanation>
The passage mentions the city",1,1,-9.262242317199707,-19.16849136352539,-14.553715705871582,-14.131840705871582,-13.67979907989502,-15.83214282989502,9.906249046325684,-0.421875,2.15234375,9.906249046325684,-0.421875,2.15234375,10.328124046325684,10.328124046325684,7.753905296325684,-2.57421875
22,5,city,Boston,Denver,The story is set in Boston during the winter. The main character wakes up early and looks out of the,The story is set in Denver during the winter. The main character wakes up early and looks out of the,16,0.9950423686453324,False,False,0.0038575570882892,,"<explanation>
The city mentioned in the passage is",1,1,-18.59202766418457,-19.55101203918457,-18.31606674194336,-18.27700424194336,-16.215229034423828,-21.527729034423828,0.958984375,-0.0390625,5.3125,0.958984375,-0.0390625,5.3125,0.998046875,0.998046875,-4.353515625,-5.3515625,"<explanation>
The passage mentions the city",1,1,-14.443541526794434,-16.714048385620117,-14.190088272094727,-15.631494522094727,-11.78917407989502,-14.66026782989502,2.2705068588256836,1.44140625,2.87109375,2.2705068588256836,1.44140625,2.87109375,0.8291006088256836,0.8291006088256836,-0.6005868911743164,-1.4296875
23,5,city,Sydney,Dublin,The story is set in Sydney during the winter. The main character wakes up early and looks out of the,The story is set in Dublin during the winter. The main character wakes up early and looks out of the,16,0.9816807808549384,False,False,0.0186917487767583,,"<explanation>
The city mentioned in the passage is",1,1,-17.944828033447266,-15.698735237121582,-18.37300682067871,-12.009724617004395,-18.264057159423828,-15.730854034423828,-2.2460927963256836,-6.363282203674316,-2.533203125,-2.2460927963256836,-6.363282203674316,-2.533203125,4.117189407348633,4.117189407348633,0.2871103286743164,-3.8300790786743164,"<explanation>
The passage mentions the city",1,1,-13.564004898071289,-12.220254898071289,-15.530155181884766,-11.389530181884766,-13.42198657989502,-11.10167407989502,-1.34375,-4.140625,-2.3203125,-1.34375,-4.140625,-2.3203125,2.796875,2.796875,0.9765625,-1.8203125
24,6,illness,asthma,diabetes,The patient was diagnosed with asthma last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with diabetes last year. The doctor explained the treatment plan and asked the family to,15,0.9891701155793045,False,False,0.0069007602307642,,"<explanation>
The illness mentioned in the passage is",1,1,-17.1540470123291,-15.091547012329102,-16.92525291442871,-14.112752914428711,-18.3505859375,-16.685546875,-2.0625,-2.8125,-1.6650390625,-2.0625,-2.8125,-1.6650390625,0.75,0.75,-0.3974609375,-1.1474609375,"<explanation>
The passage mentions the illness",1,1,-13.045236587524414,-14.013986587524414,-14.11821460723877,-13.58696460723877,-15.486024856567383,-13.347352981567383,0.96875,-0.53125,-2.138671875,0.96875,-0.53125,-2.138671875,1.5,1.5,3.107421875,1.607421875
25,6,illness,cancer,arthritis,The patient was diagnosed with cancer last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with arthritis last year. The doctor explained the treatment plan and asked the family to,15,0.9542524383140076,False,False,0.0585196718629675,,"<explanation>
The illness mentioned in the passage is",1,1,-12.065216064453125,-18.112091064453125,-14.003952026367188,-17.628952026367188,-15.177734375,-18.583984375,6.046875,3.625,3.40625,6.046875,3.625,3.40625,2.421875,2.421875,2.640625,0.21875,"<explanation>
The passage mentions the illness",1,1,-13.315397262573242,-18.362272262573242,-14.472043991088867,-16.909543991088867,-11.566102981567383,-14.487977981567383,5.046875,2.4375,2.921875,5.046875,2.4375,2.921875,2.609375,2.609375,2.125,-0.484375
26,6,illness,malaria,pneumonia,The patient was diagnosed with malaria last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with pneumonia last year. The doctor explained the treatment plan and asked the family to,15,0.9891751107929418,False,False,0.0085865985003766,,"<explanation>
The illness mentioned in the passage is",1,1,-14.644733428955078,-14.113483428955078,-15.69127082824707,-14.22252082824707,-17.029296875,-16.951171875,-0.53125,-1.46875,-0.078125,-0.53125,-1.46875,-0.078125,0.9375,0.9375,-0.453125,-1.390625,"<explanation>
The passage mentions the illness",1,1,-14.572628021240234,-13.322628021240234,-16.362445831298828,-14.237445831298828,-13.909852981567383,-12.909852981567383,-1.25,-2.125,-1.0,-1.25,-2.125,-1.0,0.875,0.875,-0.25,-1.125
27,6,illness,measles,influenza,The patient was diagnosed with measles last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with influenza last year. The doctor explained the treatment plan and asked the family to,15,0.983486160606969,False,False,0.0049897037159883,,"<explanation>
The illness mentioned in the passage is",1,1,-15.709898948669434,-15.022398948669434,-16.159095764160156,-15.002845764160156,-16.998046875,-17.216796875,-0.6875,-1.15625,0.21875,-0.6875,-1.15625,0.21875,0.46875,0.46875,-0.90625,-1.375,"<explanation>
The passage mentions the illness",1,1,-14.821066856384277,-14.727316856384277,-15.56983470916748,-14.72608470916748,-14.214540481567383,-13.425477981567383,-0.09375,-0.84375,-0.7890625,-0.09375,-0.84375,-0.7890625,0.75,0.75,0.6953125,-0.0546875
28,7,profession,teacher,plumber,He has worked as a teacher for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a plumber for twenty years. Every morning he leaves the house before sunrise and drives to the,17,0.8214886508987689,True,False,0.117799392963374,,"<explanation>
The profession mentioned in the passage is",1,1,-14.60634994506836,-21.02822494506836,-17.68027687072754,-16.91465187072754,-19.00713348388672,-17.74834442138672,6.421875,-0.765625,-1.2587890625,6.421875,-0.765625,-1.2587890625,7.1875,7.1875,7.6806640625,0.4931640625,"<explanation>
The passage mentions the profession",1,1,-13.921833038330078,-23.542926788330078,-18.3995361328125,-18.8057861328125,-17.547557830810547,-18.344432830810547,9.62109375,0.40625,0.796875,9.62109375,0.40625,0.796875,9.21484375,9.21484375,8.82421875,-0.390625
29,7,profession,lawyer,farmer,He has worked as a lawyer for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a farmer for twenty years. Every morning he leaves the house before sunrise and drives to the,17,0.879212890466964,True,True,0.0837532538865249,,"<explanation>
The profession mentioned in the passage is",1,1,-18.960147857666016,-19.022647857666016,-20.661975860595703,-17.255725860595703,-16.62432098388672,-16.69463348388672,0.0625,-3.40625,0.0703125,0.0625,-3.40625,0.0703125,3.46875,3.46875,-0.0078125,-3.4765625,"<explanation>
The passage mentions the profession",1,1,-19.297149658203125,-20.234649658203125,-21.746936798095703,-17.840686798095703,-14.91865062713623,-16.735057830810547,0.9375,-3.90625,1.8164072036743164,0.9375,-3.90625,1.8164072036743164,4.84375,4.84375,-0.8789072036743164,-5.722657203674316
30,7,profession,nurse,baker,He has worked as a nurse for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a baker for twenty years. Every morning he leaves the house before sunrise and drives to the,17,0.8792943780354706,False,False,0.0694161332711723,,"<explanation>
The profession mentioned in the passage is",1,1,-20.089866638183594,-20.042991638183594,-20.517087936401367,-20.907712936401367,-19.63994598388672,-20.95244598388672,-0.046875,0.390625,1.3125,-0.046875,0.390625,1.3125,-0.4375,-0.4375,-1.359375,-0.921875,"<explanation>
The passage mentions the profession",1,1,-18.61610984802246,-22.70595359802246,-20.013673782348633,-22.966798782348633,-17.320995330810547,-20.360057830810547,4.08984375,2.953125,3.0390625,4.08984375,2.953125,3.0390625,1.13671875,1.13671875,1.05078125,-0.0859375
31,7,profession,pilot,chef,He has worked as a pilot for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a chef for twenty years. Every morning he leaves the house before sunrise and drives to the,17,0.8646881613919761,True,True,0.0639372076201056,,"<explanation>
The profession mentioned in the passage is",1,1,-21.18932342529297,-23.87096405029297,-21.38916015625,-19.37353515625,-19.99932098388672,-19.85869598388672,2.681640625,-2.015625,-0.140625,2.681640625,-2.015625,-0.140625,4.697265625,4.697265625,2.822265625,-1.875,"<explanation>
The passage mentions the profession",1,1,-23.15041160583496,-22.46291160583496,-23.265213012695312,-18.905838012695312,-19.547557830810547,-17.953807830810547,-0.6875,-4.359375,-1.59375,-0.6875,-4.359375,-1.59375,3.671875,3.671875,0.90625,-2.765625
32,8,animal,tiger,dolphin,The team's mascot is a tiger. Fans wave flags in the stands and sing loudly whenever the players,The team's mascot is a dolphin. Fans wave flags in the stands and sing loudly whenever the players,14,0.9884228672411408,False,False,0.0075779473892739,,"<explanation>
The animal mentioned in the passage is",1,1,-20.850929260253906,-20.499366760253906,-20.99677276611328,-20.23114776611328,-18.6685848236084,-19.6060848236084,-0.3515625,-0.765625,0.9375,-0.3515625,-0.765625,0.9375,0.4140625,0.4140625,-1.2890625,-1.703125,"<explanation>
The passage mentions the animal",1,1,-15.602882385253906,-16.118507385253906,-15.831441879272461,-16.34706687927246,-13.300508499145508,-15.101289749145508,0.515625,0.515625,1.80078125,0.515625,0.515625,1.80078125,0.0,0.0,-1.28515625,-1.28515625
33,8,animal,bear,eagle,The team's mascot is a bear. Fans wave flags in the stands and sing loudly whenever the players,The team's mascot is a eagle. Fans wave flags in the stands and sing loudly whenever the players,14,0.9889183938006444,False,False,0.0026859487529452,,"<explanation>
The animal mentioned in the passage is",1,1,-19.76863670349121,-20.34676170349121,-19.240209579467773,-19.810522079467773,-19.0123348236084,-20.1295223236084,0.578125,0.5703125,1.1171875,0.578125,0.5703125,1.1171875,0.0078125,0.0078125,-0.5390625,-0.546875,"<explanation>
The passage mentions the animal",1,1,-17.4387149810791,-15.759027481079102,-17.60078239440918,-16.06953239440918,-13.269258499145508,-14.573945999145508,-1.6796875,-1.53125,1.3046875,-1.6796875,-1.53125,1.3046875,-0.1484375,-0.1484375,-2.984375,-2.8359375
