idx,claim_no,sentence_no,row,overlap,tie,mapped,type,truth,claim_text,content_words,n_content_words
2,8,2,22,6,False,True,detail,true,passion for adventure and conservation work,passion adventure conservation work,4
2,9,2,22,7,False,True,theme,true,concluding section listing additional attributes / career highlights,concluding section listing additional attributes career highlights,7
2,10,2,22,2,False,True,theme,true,bio format,format,1
2,11,2,22,5,False,True,detail,true,content: her recent projects and goals,content recent projects goals,4
2,12,3,23,4,False,True,forecast,true,final token is 'has',final token,2
2,13,3,23,4,False,True,forecast,true,final token is mid-sentence,final token mid-sentence,3
2,14,2,22,2,True,True,entity,false,the subject is Hannah,subject hannah,2
2,15,3,23,6,False,True,detail,false,part of a second attribute listing,part second attribute listing,4
2,16,3,23,7,False,True,forecast,unsupported,expects 'a strong connection to' / 'multiple passions including',expects strong connection multiple passions including,6
3,1,1,31,4,False,True,theme,true,scientific journal article format,scientific journal article format,4
3,2,1,31,2,False,True,detail,false,with abstracts,abstracts,1
3,3,1,31,2,True,True,theme,true,academic metadata,academic metadata,2
3,4,1,31,4,False,True,theme,true,scholarly content about ecology,scholarly content ecology,3
3,5,1,31,2,False,True,theme,true,citation metrics,citation metrics,2
3,6,1,31,5,True,True,detail,true,an item about publication / citation bias,item publication citation bias,4
3,7,1,31,2,True,True,detail,false,that item is the second item,item second,2
3,8,2,32,8,False,True,detail,false,the phrase is 'Gender bias in citation counts of',phrase gender bias citation counts,5
3,9,2,32,3,False,True,detail,true,'citation counts of',citation counts,2
3,10,2,32,7,False,True,theme,true,suggests a citation analysis / academic metadata study,suggests citation analysis academic metadata study,6
3,11,2,32,5,False,True,detail,unsupported,journal or country ranking study,journal country ranking study,4
3,12,2,32,10,False,True,detail,unsupported,implies a third item or data visualization about international research output,implies third item data visualization international research output,8
3,13,3,33,3,False,True,forecast,true,final token is 'of',final token,2
3,14,3,33,7,False,True,forecast,true,ends the incomplete noun phrase 'citation rates of',ends incomplete noun phrase citation rates,6
3,15,3,33,6,False,True,theme,true,part of a citation study title,part citation study title,4
3,16,3,33,5,False,True,forecast,unsupported,expects 'scientific papers' / 'developing country journals',expects scientific papers developing country journals,6
4,1,1,41,2,False,True,theme,true,blog post / bylined article,blog post bylined article,4
4,2,1,41,3,False,True,detail,unsupported,written by a student,written student,2
4,3,1,41,2,False,True,theme,true,informal tone,informal tone,2
4,4,1,41,2,False,True,theme,unsupported,personal perspective,personal perspective,2
4,5,1,41,3,False,True,theme,true,on Indian culture,indian culture,2
4,6,1,41,2,False,True,theme,true,and service / volunteering,service volunteering,2
4,7,1,41,5,False,True,detail,unsupported,a high school student's involvement,high school student's involvement,4
4,8,1,41,5,False,True,entity,false,the Jewish community's charity event,jewish community's charity event,4
4,9,1,41,3,True,True,detail,true,a charity event,charity event,2
4,10,2,42,9,False,True,detail,false,'Her passion for the event has grown over the years',passion event grown years,4
4,11,2,42,7,False,True,theme,unsupported,signals information about the fundraising event's purpose,signals information fundraising event's purpose,5
4,12,3,43,2,False,True,detail,false,'charity fair',charity fair,2
4,13,3,43,4,False,True,forecast,true,final token is 'annual',final token annual,3
4,14,3,43,3,False,True,forecast,true,mid-phrase 'the annual',mid-phrase annual,2
4,15,3,43,8,False,True,detail,false,directly continuing the sentence about the student's fundraising event,directly continuing sentence student's fundraising event,6
4,16,3,43,5,False,True,forecast,unsupported,expects 'Charity Fair' / 'India Day competition',expects charity fair india competition,5
5,1,1,51,1,False,True,entity,unsupported,Australian,australian,1
5,2,1,51,2,False,True,theme,true,environmental / technical report format,environmental technical report format,4
5,3,1,51,7,False,True,theme,true,scientific data in a structured abstract format,scientific data structured abstract format,5
5,4,1,51,4,False,True,theme,true,water quality monitoring results,water quality monitoring results,4
5,5,1,51,4,False,True,entity,false,for a dairy farm,dairy farm,2
5,6,2,52,3,False,True,detail,false,E. coli levels,coli levels,2
5,7,2,52,3,False,True,detail,false,'the BMP program',program,1
5,8,2,52,5,False,True,detail,true,levels reduced following the implementation,levels reduced following implementation,4
5,9,2,52,2,False,True,detail,false,'mean' levels,mean levels,2
5,10,2,52,3,False,True,theme,true,numerical pre/post comparison,numerical post comparison,3
5,11,2,52,4,False,True,forecast,unsupported,a specific range is expected next,specific range expected next,4
5,12,3,53,3,False,True,forecast,true,final token is 'to',final token,2
5,13,3,53,6,False,True,forecast,true,ends an incomplete numerical comparison clause,ends incomplete numerical comparison clause,5
5,14,3,53,8,False,True,detail,false,"'from an average count of 1,450 per litre'",average count litre,3
5,15,3,53,7,False,True,forecast,unsupported,requires a numeric value next ('a mean of 150' / 'zero'),requires numeric value next mean zero,6
6,1,1,61,4,False,True,theme,true,scientific paper abstract format,scientific paper abstract format,4
6,2,1,61,2,False,True,detail,unsupported,LaTeX formatting,latex formatting,2
6,3,1,61,4,False,True,theme,true,discussing GRB jet models,discussing models,2
6,4,1,61,3,False,True,detail,false,using numerical simulations,using numerical simulations,3
6,5,1,61,2,False,True,detail,true,observational constraints,observational constraints,2
6,6,1,61,4,False,True,theme,true,on GRB afterglow emission,afterglow emission,2
6,7,2,62,5,False,True,detail,false,the model predicts time-dependent polarization,model predicts time-dependent polarization,4
6,8,2,62,5,False,True,detail,false,of the progenitor's cold dust,progenitor's cold dust,3
6,9,2,62,6,False,True,theme,true,concluding statement about the afterglow light curve,concluding statement afterglow light curve,5
6,10,2,62,4,False,True,forecast,unsupported,suggests the term 'afterglow flux',suggests term afterglow flux,4
6,11,3,63,4,False,True,forecast,true,final token is 'after',final token,2
6,12,3,63,4,False,True,forecast,unsupported,final token is mid-word (after|glow),final token mid-word glow,4
6,13,3,63,4,False,True,detail,false,preceding text reads 'the cold afterglow after',preceding text reads cold afterglow,5
6,14,3,63,8,False,True,detail,false,contains the phrase 'the observed GRB optical afterglow's delayed decay',contains phrase observed optical afterglow's delayed decay,7
6,15,3,63,8,False,True,forecast,unsupported,expects 'glow flux' / 'afterglow light curve' / 'glow decay is detected',expects glow flux afterglow light curve decay detected,8
7,1,1,71,3,False,True,theme,true,news release format,news release format,3
7,2,1,71,1,False,True,detail,unsupported,corporate,corporate,1
7,3,2,72,3,False,True,theme,true,U.S. government safety announcement,government safety announcement,3
7,4,2,72,5,False,True,entity,true,describing a Boeing aircraft event,describing boeing aircraft event,4
7,5,2,72,6,False,True,detail,false,factual details about autonomous vehicle testing,factual details autonomous vehicle testing,5
7,6,3,73,8,False,True,detail,true,the incidents resulted in the release of electrolytic fluids,incidents resulted release electrolytic fluids,5
7,7,3,73,4,False,True,detail,false,the fluids were 'heated' / 'corrosive',fluids heated corrosive,3
7,8,3,73,5,False,True,detail,true,chemical hazards from the battery,chemical hazards battery,3
7,9,3,73,3,False,True,detail,unsupported,battery cell rupture,battery cell rupture,3
7,10,4,74,3,False,True,forecast,true,final token is 'electrolytes',final token electrolytes,3
7,11,4,74,2,False,True,forecast,true,ends mid-clause,ends mid-clause,2
7,12,4,74,6,False,True,detail,false,part of a parenthetical example listing,part parenthetical example listing,4
7,13,4,74,6,False,True,forecast,unsupported,expects 'and smoke' / 'into the vehicle' / 'and fire',expects smoke vehicle fire,4
