stim_idx,doc_idx,pos,pos2,token_str,context_left_64,context_right_16,seq_len,doc_tokens
10,74,153,420,on," estimate ) , is the county seat and second @-@ largest municipality of Galveston County . It is located within Houston – The Woodlands – Sugar Land metropolitan area . 
 Named after Bernardo de Gálvez y Madrid , Count of Gálvez ( born in Málaga , Spain ) , Galvest", 's first European settlements on the island were constructed around 1816,512,11187
11,399,348,17, and," General Joseph Colton , to overthrow the Cobra Commander and his allies . 
 Originally slated for release in June 2012 , the film was delayed in order to convert to 3D and boost interest in international markets . It was released in North America on March 28 , 2013 ,"," received generally negative reviews , but was a box office success , grossing over $",512,5545
12,457,211,441, and," historically important mansions being built between the Strand and the river . These included Essex House , Arundel House , Somerset House , Savoy Palace , Durham House and Cecil House . The aristocracy moved to the West End over the 17th century , following which the Strand became well known for coffee shops , restaurants", taverns . The street was a centre point for theatre and music hall during the,512,5067
13,117,290,32,1," destroyers built by the United States Navy between 1917 and 1919 . She , along with ten of her sisters , were constructed at Newport News Shipbuilding shipyards in Newport News , Virginia using specifications and detail designs drawn up by Bath Iron Works . 
 She had a standard displacement of "," @,@ 213 tonnes ( 1 @,@ 194",512,2201
14,472,395,377, the," by the Society for the Protection of Ancient Buildings and restored . They were bombed and burnt out during the Second World War , with restoration undertaken by Sir Albert Richardson before reopening in 1963 . They are now owned by the National Trust and operated by Bath and North East Somerset Council for public functions . The basement of"," building provides a home to the Fashion Museum . 
 
 = = History = = 
 
",512,2478
15,454,435,103, way," be similar to their previous album , Internationalist , while frontman Bernard Fanning said in September 2000 that the lyrics on the album , like those on "" Waiting for the Sun "" , were his "" most personal and direct yet "" . Fanning said his lyrics were based on the "" obstacles in the"," of being in a relationship , especially in our work situation "" . 
 Powderfinger",512,2516
16,167,60,444," ,"," = Harold Innis = 
 
 Harold Adams Innis ( / ˈɪnɪs / ; November 5 , 1894 – November 8 , 1952 ) was a Canadian professor of political economy at the University of Toronto and the author of seminal works on media"," communication theory , and Canadian economic history . Despite his dense and difficult prose , Inn",512,7689
17,100,26,284, ap," = World War Z = 
 
 World War Z : An Oral History of the Zombie War ( 2006 ) is an",ocalyptic horror novel by Max Brooks . The novel is a collection of individual accounts narr,512,3961
18,353,55,164, as," = Boise National Forest = 
 
 Boise National Forest is a federally protected area covering 2 @,@ 203 @,@ 703 acres ( 8 @,@ 918 @.@ 07 km2 ) of the U.S. state of Idaho"," part of the national forest system . Created on July 1 , 19",512,6418
19,592,254,225, support," Republican National Convention , where he named Governor Spiro Agnew of Maryland as his running mate . 
 In the general election , Nixon emphasized "" law and order , "" positioning himself as the champion of what he called the "" silent majority . "" Running well ahead of his opponent , incumbent Vice President Hubert Humphrey , his"," slipped in the polls following his refusal to partake in presidential debates , and following",512,6253
20,270,216,30," ,"," American retreat from Fort Ticonderoga began late on July 5 after British cannons were seen on top of high ground , Mount Defiance ( aka Rattlesnake Mountain and Sugar Loaf Hill ) that commanded the fort . The bulk of General Arthur St. Clair 's army retreated through Hubbardton to Castleton"," while the rear guard , commanded by Seth Warner , stopped at Hubbardton to rest",512,2243
21,459,18,77, ," = Dave Sisler = 
 
 David Michael Sisler ( October 16 ,","1931 – January 9 , 2011 ) was",512,3814
22,536,20,348, Baltimore," = George Calvert , 1st Baron Baltimore = 
 
 George Calvert , 1st Baron", ( 1579 – 15 April 1632,512,6985
23,83,276,337, heavy," core of the Swedish archipelago fleets until the mid @-@ 18th century . Compared to galleys , the hemmema had a deeper draft and was slower under oars , but offered superior accommodation for the crew , carried more stores , was more seaworthy and had roughly ten times as many", guns . It could be propelled by either sails or oars but was still smaller,512,3180
24,524,143,321, the," 22 , 2012 . 
 The episode takes place almost entirely over a single day , telling three stories in a non @-@ linear narrative . Peggy becomes alienated after separate fights with her boyfriend Abe and a client . Roger and Jane take LSD with a group of intellectuals , altering how they see", world and allowing them to speak honestly about their marriage . Don and Megan leave the,512,3138
25,18,394,206, was," is one of six children of Barry and Loretta Cullen . His father and uncles Brian and Ray all played in the NHL , and while Cullen and his three brothers all played as well , their father never pressured them , preferring that they enjoy the game . 
 He idolized his elder brother Terry , who", considered a top NHL prospect until Terry 's career was ended when he suffered a,512,2817
26,134,244,510, between," in order to create an army for robotic dominance over humans . Having learned of the threat , Mega Man 's rival Bass decides to take matters into his own hands . The game is an action @-@ platformer where the player advances by defeating bosses and acquiring their signature weapons . Mega Man & Bass lets the player choose"," either of its title characters , each of which plays differently from the other . 
",512,3096
27,265,415,502, IOC,"s first bid that proceeded to the Candidature phase , after three failed attempts to host the Games in 1936 , 2004 and 2012 . The lengthy and intensive bidding process was concluded with the election of Rio de Janeiro as the host city during the 121st"," Session , held in Copenhagen , Denmark , on October 2 , 20",512,7217
28,109,204,356,ess," modern consensus that it was the culmination of Wilde 's artistic career so far . Its high farce and witty dialogue have helped make The Importance of Being Earnest Wilde 's most enduringly popular play . 
 The successful opening night marked the climax of Wilde 's career but also heralded his downfall . The Marqu"," of Queensberry , whose son Lord Alfred Douglas was Wilde 's lover , planned",512,9311
29,111,487,338, mi,"-@ drum boilers . Boreas carried a maximum of 390 long tons ( 400 t ) of fuel oil that gave her a range of 4 @,@ 800 nautical miles ( 8 @,@ 900 km ; 5 @,@ 500", ) at 15 knots ( 28 km / h ; 1,512,2077
30,126,432,357, of," raid when Campbeltown exploded . To recognise their bravery , 89 decorations were awarded to members of the raiding party , including five Victoria Crosses . After the war , St Nazaire was one of 38 battle honours awarded to the Commandos ; the operation has since become known as The Greatest Raid"," All within military circles . 
 
 = = Background = = 
 
 St Nazaire is",512,8540
31,442,365,208, The," convince him otherwise . He falls further in love with her , and their marriage is a happy one . After several months he is accosted by a priest , Hoat Hae Sian Soe , who then leads an attempt to kill the snake @-@ woman . She escapes , pursued by the priests . 
"," priests catch the snake and prepare to kill her , but are stopped by the goddess",512,1171
32,545,450,83, Gi,"ates already under construction were converted into armored ships , and four more ironclads were ordered from Italian shipyards . The two Principe Amedeo @-@ class ships were the last two of this first generation of Italian ironclads . The design for Principe Amedeo was prepared by Inspector Engineer",useppe De Luca . He had initially planned on using entirely wooden hulls for the,512,1652
33,168,303,373, a," Between Veracruz and neighboring Hidalgo , there were 123 @,@ 320 people affected across 112 municipalities . Overall there were six deaths in the country , one in Veracruz and five in Puebla . In the latter state , a family of three perished in"," landslide . 
 
 = = Meteorological history = = 
 
 The origins of Hurricane Lorenzo",512,1553
34,152,435,276,o," with the development of the seaplane to have an equally long range , would result in regular ocean flights within ten years . "" Starting in 1939 , United States Coast Guard vessels were being used as weather ships to protect transatlantic air commerce . 
 During World War II The German Navy deployed weather bu",ys ( Wetterfunkgerät See — WFS ) at fifteen fixed positions,512,1992
35,228,202,169, ,"abria in July 1940 . The ship was damaged by a mine off Cape Bon in the Strait of Sicily while on passage from Malta to Gibraltar on 23 August 1940 . She was then scuttled by HMS Hero . 
 
 = = Description = = 
 
 Hostile displaced","1 @,@ 350 long tons ( 1 @,@ 3",512,1316
36,64,225,256,all," extended , and the current brick church completed in 1913 . 
 In 1989 , the church , its 1912 rectory , and the rectory 's garage were listed in the National Register of Historic Places , as the work of noted Nebraska architect Jacob M. Nachtig"," . A pupil of Thomas Rogers Kimball , Nachtigall designed a number of",512,4862
37,171,372,457," ,"," , with the peace @-@ talks ongoing , these operations proved to be last actions in the war of manoeuvre , which had lasted the previous sixteen months . It was replaced by a static war characterised by fixed defences reminiscent of the Western Front in 1915 – 17 . A month later", the Chinese subsequently re @-@ captured Maryang San from the British during fierce,512,9013
38,244,52,479,2," = No result , Pts = 
 Points , NRR = Net run rate . 
 Notes : 
 Team marked ( C ) won the NatWest Pro40 . 
 
 = = = Match logs and statistics = = = 
 
 
 = = Champions League Twenty","0 = = 
 
 By finishing as runners @-@ up in the Twenty2",512,530
39,51,279,193, though," Concept Music Video award being presented alongside the award for Best Performance Music Video . Best Concept Music Video award recipients were the English rock band Genesis for "" Land of Confusion "" and the American singer "" Weird Al "" Yankovic for "" Fat "" . The Academy returned to the previous format in 1990 ,", the categories are now known as Best Short Form Music Video and Best Long Form Music,512,1243
40,598,225,193,ium," − 8 % of all matter in the universe is europium . 
 
 = = Characteristics = = 
 
 
 = = = Physical properties = = = 
 
 Europium is a ductile metal with a hardness similar to that of lead . It crystallizes in a body @-@ centered cubic lattice . Some properties of europ", are strongly influenced by its half @-@ filled electron shell . Europium has,327,327
41,351,142,175," 
"," down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting ."," The film was conceived by Feldman in 1987 , and was",512,4811
42,377,372,310, game," and it will slightly deplete every time the player is hit by an enemy . If Pendragon completely runs out of energy , a large skeletal hand will drag the player off @-@ screen , thus killing him . 
 Various segments of maps are scattered around the galleon , which will form a complete view of the", 's overworld once all the segments are picked up . Other scattered items in,512,1329
43,512,266,183, book," Shaolin Monks , and being among the eleven series characters representing the franchise in the crossover game Mortal Kombat vs. DC Universe . Liu Kang has extensively featured in alternate Mortal Kombat media and official merchandise , serving as the primary protagonist of the two feature @-@ length films and the Malibu Comics comic"," adaptations , in addition to supporting roles in other media such as the 19",512,5249
44,554,393,210, of," of wealthy Arthur Fortune ( modelled on British entrepreneur Richard Branson ) . Fortune easily charms the crowd and hands out dollar bills to his customers . This embarrasses the unpopular Mr. Burns , who asks Homer to help him be loved by all . 
 As his first activity , Burns has Homer throw silver dollars from the top"," a tall building , which instead of winning him popularity just causes injuries and terrifies",512,1826
45,202,178,457,0," of CBS News , former Encyclopædia Britannica chief Robert McHenry and former Central Intelligence Agency director James Woolsey . The documentary discusses incidents that shed a negative light on Wikipedia , including the Essjay controversy and the Wikipedia biography controversy . 
 The long @-@ delayed film premiered at Wikimania 2","10 in Gdańsk in July 2010 , and was screened at",512,2493
46,493,146,128, pioneer,"-@ born combatants who fought in the American Civil War while the Kingdom of Hawaiʻi was still an independent nation . 
 Born and raised in Hilo , Hawaiʻi , he was the eldest son of Kinoʻoleoliliha , a Hawaiian high chiefess , and Benjamin Pitman , an American", settler from Massachusetts . Through his father 's business success in the whaling,512,4353
47,436,370,325, Sm," name . He once again won the Cruiserweight Championship in early 2006 , and held it for over a year , becoming the longest reigning Cruiserweight Champion and the longest reigning champion of any kind in SmackDown history . After being out of action for over a year after neck fusion surgery Helms returned to","ackDown in September 2008 , referring to himself as Hurricane Hel",512,6109
48,32,40,57, in," = Elephanta Caves = 
 
 Elephanta caves are a network of sculpted caves located on Elephanta Island , or Gharapuri ( literally "" the city of caves "" )"," Mumbai Harbour , 10 kilometres ( 6 @.@ 2 mi )",512,8296
49,606,203,428, who," mythology . The episode was viewed by 8 @.@ 8 million people upon its first broadcast , and received positive reviews , with much praise to Chinlund 's performance as the antagonist . 
 The show centers on FBI special agents Fox Mulder ( David Duchovny ) and Dana Scully ( Gillian Anderson )"," work on cases linked to the paranormal , called X @-@ Files . In",512,2420
50,611,214,406, Time," Libertador , García Márquez depicts a pathetic protagonist , a prematurely aged man who is physically ill and mentally exhausted . The story explores the labyrinth of Bolívar 's life through the narrative of his memories . 
 Following the success of others of his works such as One Hundred Years of Solitude and Love in the"," of Cholera , García Márquez decided to write about the "" Great",512,8480
51,571,172,134,ological," Savannah , and it finally dissipated in the northeast Gulf of Mexico on May 29 . It produced wave action and moderate rainfall along the coast . Damage totaled over $ 100 @,@ 000 ( 1972 USD ) , and there were two associated deaths . 
 
 = = Meteor"," history = = 
 
 Throughout May 1972 , a series of weak",512,1266
52,154,408,450, Unit," regiment was forced to retreat from the P 'ohang @-@ dong battlefield . It moved north , joining a concentration of other KPA units , before being disbanded and absorbed into the KPA 's 12th Division . 
 
 = = Organization = = 
 
 Upon creation , the 766th"," was designed to vary in size , consisting of a number of smaller units capable of",512,3810
53,575,55,45, the," = M @-@ 47 ( Michigan highway ) = 
 
 M @-@ 47 is a north – south state trunkline highway in the US state of Michigan . It runs near Saginaw and Midland in the Tri @-@ Cities area of", Lower Peninsula . The highway runs through suburban and agricultural areas to connect the two cities,512,1925
54,316,348,182, Carter," Biography . 
 
 = = Early life = = 
 
 Green was born in Harringay , north London , the youngest of four sons of Richard Green , a clerk for a bottle stopper manufacturer , and his wife , May . He attended Wood Green School before joining the Royal Navy in 1938 . 
 Philip", writes in the Oxford Dictionary of National Biography that Green 's time with the Navy,512,1620
55,395,300,90, ',"007 season , while East Carolina averaged 31 . That expectation turned out to be justified as East Carolina took a 31 – 14 lead in the first half . The Broncos fought back in the second half , however , tying the score at 38 late in the fourth quarter after East Carolina","s Chris Johnson fumbled the ball , allowing Bronco defender Marty Tadman",512,5939
56,214,442,239, '," , in the north of England , where he attended Trinity School . Johnston tried out for Carlisle Cathedral Choir at the age of six at the recommendation of Kim Harris , a teacher at his primary school . He was auditioned by the choirmaster Jeremy Suter and accepted into the choir at the age of seven . Johnston","s mother , who had no previous association with the cathedral , described her feelings of",512,2270
57,309,459,410, are," II ; and players may control fifteen German and Allied planes from the era , including the Focke @-@ Wulf Fw 190 , Supermarine Spitfire , Junkers Ju 88 , Avro Lancaster and Consolidated B @-@ 24 Liberator . Although dogfights"," possible , the game places a heavy focus on air @-@ to @-",512,3724
58,107,365,130, towards," member on the sketch comedy show Saturday Night Live . After acquiring the role and before Friends aired , Aniston was temporarily at risk of being recast because she had also been involved with another sitcom , Muddling Through , at the time , which was ultimately canceled and allowed Aniston to remain on Friends . 
 Critical reception"," Rachel has remained consistently positive throughout Friends ' decade @-@ long run , with",512,9492
59,437,396,41, aforementioned," along a routing east of the lake . 
 NY 38 passes along or near waterbodies for much of its length . From its southern end in Owego to the town of Harford , the route parallels Owego Creek or a branch of said creek . Between Groton and Mentz , it runs along the", Owasco Lake and its inlet ( south of the lake ) and outlet (,512,4301
60,133,298,216, American," state line through wooded residential areas as a two @-@ lane undivided road , intersecting Otts Chapel Road before passing south of Iron Hill Park . Old Baltimore Pike crosses DE 896 and enters rural areas . Here , the roadway passes Cooch 's Bridge , a historic battle site of the", Revolutionary War . It then crosses Norfolk Southern 's Delmarva Secondary railroad line,512,772
61,330,510,114,s," Theodore McKeldin , who served as mayor from 1943 through 1947 and from 1963 through 1967 , was one of the first political leaders to work with African American community leaders . By 1999 , 63 % of Baltimore '", registered,512,3700
62,215,485,61, Saul,"@ state project in 2003 with the album Michigan and chose to focus on Illinois with this recording because "" it wasn 't a great leap "" , and he liked the state because he considered it the "" center of gravity "" for the American Midwest . Before creating the album , Stevens read literature by Illinois authors"," Bellow and Carl Sandburg , and studied immigration records and history books for the",512,5157
63,311,325,303, and,"6 . The impact of the campaign was such that during a period in which the UK beer market experienced a substantial decline in revenue , Guinness reported that its year @-@ on @-@ year earnings within the region had noticeably increased . At the same time , Guinness achieved its highest @-@ ever volume and value shares", became the market leader within the region . This was attributed in no small part to,512,3526
64,431,461,164, met,"état . Henry , fearful that he was about to be arrested and imprisoned , agreed to abandon his policy of personal rule and instead govern through a council of 24 barons and churchmen , half chosen by the King and half by the barons . 
 The pressure for reform continued to grow unabated and a parliament"," in June . The term "" parliament "" had first appeared in the 12",512,2318
65,505,463,349, Destiny," member singing at a separate set and later a choreographed dance during the chorus . To further promote "" Cater 2 U "" , Destiny 's Child performed the song during several televised appearances and at the 2005 BET Awards . In addition , "" Cater 2 U "" was added to the set list of", 's Child 's final tour Destiny Fulfilled ... and Lovin ' It,512,4815
66,487,457,114, but," . The nine @-@ tailed foxes came to be adapted as a motif from Chinese mythology to Japanese mythology . 
 Smyers ( 1999 ) notes that the idea of the fox as seductress and the connection of the fox myths to Buddhism were introduced into Japanese folklore through similar Chinese stories ,"," she maintains that some fox stories contain elements unique to Japan . 
 
 = = =",512,5299
67,24,392,483,1," genus Geopyxis , giving the species its current name . Pustularia carbonaria , published by Heinrich Rehm in 1884 , is a synonym of G. carbonaria . Louis @-@ Joseph Grélet proposed the variety Geopyxis carbonaria var. sessilis in ","937 , referring to forms producing fruitbodies without a stalk , but",512,1838
68,248,40,197,gi," = Texas A & M Singing Cadets = 
 
 The Texas A & M Singing Cadets are a male choral group at Texas A & M University . Nicknamed "" The Voice of Ag","eland "" , the Singing Cadets have been touring for 109",512,1704
69,595,331,68, .," Mingrelian language uses 36 , 33 of which are current Georgian letters , one obsolete Georgian letter , and two additional letters specific to Mingrelian and Svan . That same obsolete letter , plus a letter borrowed from Greek ( making 35 letters total ) , are used in writing the Laz language"," The fourth Kartvelian language , Svan , is not commonly written , but",512,5477
70,329,268,328, an," the book filled a literary lacuna in scholarly understanding of the rapidly expanding and understudied fundamentalist Christian school . 
 
 = = Summary = = 
 
 God 's Choice : The Total World of a Fundamentalist Christian School is a 1986 book written by Alan Peshkin . It is a profile of"," Illinois Christian fundamentalist school — its policies , practices , and participants . Pesh",512,2497
71,513,394,475, with," the genus Inocybe , I. praetervisa has been placed in the subgenus Inocybe . Mycologist Rolf Singer places the species in the section Marginatae ; mycologist Thom Kuyper considers Marginatae a supersection , and includes I. praetervisa along"," I. abietis , I. calospora and I. godeyi",512,1448
72,238,219,234, spinner," Kent in the semi @-@ final , Somerset were comprehensively beaten by Sussex in the final . 
 After the Indian Premier League 's second season demonstrated the importance of spin bowling in Twenty20 cricket , and due to Somerset 's lack of a front @-@ line spin bowler , Somerset picked young leg", Max Waller to make his Twenty20 debut in their opening match of the,512,1089
73,104,251,489," 
"," in a draw . However , a few notable players have argued that White 's advantage may be sufficient to force a win : Weaver Adams and Vsevolod Rauzer claimed that White is winning after the first move 1.e4 , while Hans Berliner argued that 1.d4 may win for White ."," Some players , including World Champions such as José Raúl Capablanca",512,11406
74,115,113,263, with,"len , the album generated two charting singles in the UK , "" Space Walk "" and "" Nice Weather for Ducks "" ; the latter has often been called the album 's stand @-@ out track . The album , which is built around a mix of organic instrumentation and idiosyncratic samples , was met"," largely positive reviews by music critics , although it was somewhat critiqued due to",512,1740
75,129,40,226,ble," = 2010 Haiti earthquake = 
 
 The 2010 Haiti earthquake ( French : Séisme de 2010 à Haïti ; Haitian Creole : Tran",manntè 12 janvye 2010 nan pe,512,14059
76,622,484,323, from," amounts of heavier elements . When the stellar core is sufficiently dense , hydrogen becomes steadily converted into helium through nuclear fusion , releasing energy in the process . The remainder of the star 's interior carries energy away from the core through a combination of radiative and convective heat transfer processes . The star 's internal pressure prevents it", collapsing further under its own gravity . When the hydrogen fuel at the core is exhausted,512,13197
77,169,189,509, ores,"s crust is between 0 @.@ 1 and 0 @.@ 5 parts per million ( ppm ) . It was discovered in 1817 simultaneously by Stromeyer and Hermann , both in Germany , as an impurity in zinc carbonate . 
 Cadmium occurs as a minor component in most zinc", and is a byproduct of zinc production . Cadmium was used for a long,512,1035
78,87,315,486, =,"ays and Jane Lynch as cheerleading coach Sue Sylvester attracted praise , as did the staging of the musical mash @-@ ups . However , Aly Semigran of MTV and Mandi Bierly of Entertainment Weekly both noted critically that dramatic storylines in the episode dominated over the musical performances . 
 
 = = Plot"," = 
 
 Believing the glee club members are becoming complacent ahead of the",512,1976
79,60,24,244, as," = Paul Thomas Anderson = 
 
 Paul Thomas Anderson ( born June 26 , 1970 ) also known"," P.T. Anderson , is an American film director , screenwriter and producer .",512,4147
80,528,430,391, Av," subject to feudalism under the monarchical Ancien Régime . 
 
 = = Rebellion in Southern France = = 
 
 In July 1793 Captain Napoleon Bonaparte , an artillery officer , was placed under the command of Jean @-@ Baptiste Carteaux to deal with rebels from Marseille situated in","ignon , where army munitions required by the French Army of Italy were being stored",512,1184
81,149,218,262, @," JK has been completed and significant production for both Israeli and foreign customers is under way . 
 
 = = Storm I = = 
 
 The M @-@ 240 Storm MultiMission Vehicle is the first of three Storm generations . A variant of the 1991 Jeep Wrangler YJ and the older CJ","-@ 6 / CJ @-@ 8 wheelbase , it is",512,2380
82,207,224,278, in," parents and leave the nest after a fortnight . There may be two broods in southern parts of the range but only one further north . Migrating birds and wintering birds often form large flocks , often in the company of Redwings . 
 The fieldfare is 25 cm ( 10"," ) long , with a grey crown , neck and rump , a plain brown",512,2568
83,497,130,405, served," Jima during the World War II . The battalion distinguished itself in the defense of Khe Sanh during the Vietnam War , and later participated in an ill fated invasion of Koh Tang Island in Southeast Asia , with the intention of rescuing the crew of the SS Mayaguez . During Operation Desert Storm , the battalion", as the lead battalion for the III Marine Expeditionary Force ( III MEF ),512,4460
84,69,54,221, New," = Central Area Command ( RAAF ) = 
 
 Central Area Command was one of several geographically based commands raised by the Royal Australian Air Force ( RAAF ) during World War II . It was formed in March 1940 , and covered the central portion of"," South Wales . Headquartered at Sydney , Central Area Command was primarily responsible for air",512,833
85,173,155,380, the," The album was begrudgingly released by Yankovic , who felt that the compilation was unnecessary and merely a way for his record label to make money . Several food @-@ related songs that Yankovic had recorded , such as "" Girls Just Want to Have Lunch "" and "" Waffle King "" were left off"," record , although the former was due to personal preference , while the latter was due",512,1643
86,425,387,368, formed," themselves as the dominant force by the 18th century . Following the Rebellion of 1857 , the Government of India Act 1858 led the British Crown to assume direct control of India . In the decades following , civic society gradually emerged across India , most notably the Indian National Congress Party ,", in 1885 . The period after World War I was marked by,512,2650
87,413,474,107, significant," = = 
 
 The Church of Scientology has a history of conflict with groups on the Internet . In 1995 , attorneys for the Church of Scientology attempted to get the newsgroup alt.religion.scientology ( a.r.s. ) removed from Usenet . This attempt backfired and generated a", amount of press for a.r.s. The conflict with a.r.s led the,512,11806
88,537,73,81, .,"ades = 
 
 The history of draining and development of the Everglades dates back to the 19th century . During the Second Seminole War beginning in 1836 , the United States military 's mission was to seek out Seminole people in the Everglades and capture or kill them", Those missions gave the military the opportunity to map land that seemed to frustrate and,512,11091
89,272,377,497, typical,".@ 4 – 0 @.@ 8 in ) long and about 0 @.@ 15 cm ( 0 @.@ 06 in ) wide . New growth occurs in summer , and flowering ranges from November to April with a peak in February , but can be irregular in timing . Flowers arise from"," Banksia "" flower spikes "" , and the inflorescences are made",512,2921
90,549,476,347, such," be unlikely ; due to their small masses relative to their large separations , such relationships among asteroids are very rare . Nevertheless , Ceres is able to capture other asteroids into temporary 1 : 1 resonant orbital relationships ( making them temporary trojans ) for periods up to 2 million years or more ; fifty"," objects have been identified . 
 
 = = = Transits of planets from Ceres",512,4614
91,219,496,448, of," short story at age 17 , a science fiction story titled "" The Curious Experience of Thomas Dunbar "" . She mailed the story to Argosy , then one of the top pulp magazines . The story was accepted and published in the March 1904 issue . 
 Once Bennett began to take care"," her mother , she decided to return to fiction writing as a means of supporting",512,2096
92,531,23,75, Wings," = Memory Almost Full = 
 
 Memory Almost Full is the fourteenth solo studio album by Paul McCartney , discounting his"," @-@ era discography , his orchestral works and his output as the",512,3812
93,416,444,56, .," pre @-@ university education at St. Joseph 's Institution . After completing his studies in 1978 , he worked as a journalist with The Star in Kuala Lumpur until 1980 when he joined Malaysia 's largest sugar refinery , Malayan Sugar Manufacturing Company Berhad , as a personnel manager"," 
 To help him in tackle the numerous challenging tasks he faced in Malayan Sugar",512,2709
94,576,502,426, on," the wagon hot after him ; when the wagon has passed him by , convict comes from behind boulder , crosses road and disappears on other side - but has been seen crossing the road by a small girl who kept out of sight until the convict had disappeared , but who now rushes off to tell of her discovery . Put back"," the trail by the little girl , pursuers",512,1700
95,297,490,194, the,"ies out , and tells Liam that he 's done with the band . Liam says to Charlie that he , Liam , is Drive Shaft , and that nobody knows who the bass player ( Charlie ) is . He goes on to tell Charlie that without the band , Charlie is nothing , which spurs Charlie to use heroin for"," first time . Years later , Charlie visits Liam 's house in Australia and wants",512,2408
96,62,89,272, in," an American professional baseball pitcher for the Chicago Cubs of Major League Baseball ( MLB ) . Nathan started out his baseball career as a shortstop in high school and while at Stony Brook University , but converted to a pitcher after being drafted by the San Francisco Giants . He worked his way through the minor leagues , alternating between spots", the rotation and the bullpen . After a few years of splitting time between the majors,512,5326
97,5,498,198, .,"@ Star forward Jeff Carter on June 23 , 2011 . The deal sent Jakub Voracek , Columbus ' first @-@ round draft choice , the eighth overall , and their third @-@ round pick in the 2011 Draft to the Philadelphia Flyers in exchange for Carter", The trade received a positive response in Columbus from fans and management who,512,3944
98,550,457,206,ymology," The abundant wildlife includes the golden eagle , red deer and Atlantic salmon . The local flora is dominated by heather moor , and there are nationally important invertebrate populations on the surrounding sea bed . Skye has provided the locations for various novels and feature films and is celebrated in poetry and song . 
 
 = = Et"," = = 
 
 The first written references to the island are Roman sources such as the",512,7625
99,337,423,129, in," set in the current year . In several episodes , events have been linked to specific times , though sometimes this timeline has been contradicted in subsequent episodes . Maggie is the youngest child of Marge and Homer , and sister to Bart and Lisa . When Marge became pregnant with Bart , she and Homer got married at a chapel"," Las Vegas . To support his impending family , Homer all but demanded a job at",512,2548
