pair_id,template_id,template,entity_a,entity_b,context_a,context_b,n_tokens,n_diff_tokens,diff_first_pos,dist_to_end,shared_suffix_tokens,final_token,cos_ha_hb,norm_ha,norm_hb,parse_ok_a,parse_ok_b,cjk_a,cjk_b,mentions_own_a,mentions_other_a,mentions_own_b,mentions_other_b,identical_descriptions,error,cos_ha_da,cos_ha_db,cos_hb_db,cos_hb_da,M_a,M_b,M,cos_da_db_pred,cos_ha_da_swapped,swap_delta_a,swap_n_a,cos_hb_db_swapped,swap_delta_b,swap_n_b
10,2,The meeting has been moved to {E}. Everyone should bring the printed report and arrive at the,March,April,The meeting has been moved to March. Everyone should bring the printed report and arrive at the,The meeting has been moved to April. Everyone should bring the printed report and arrive at the,18,1,6,12,11, the,0.9987925013670931,111.47107696533203,111.00650024414062,True,True,False,False,True,False,False,True,False,,0.8819834357333237,0.8804592067879591,0.8808904081411408,0.8822805660944424,0.0015242289453646363,-0.0013901579533015518,0.00013407099206308448,0.9896740537268537,0.8819698867417126,1.3548991611100902e-05,1,,,0
11,2,The meeting has been moved to {E}. Everyone should bring the printed report and arrive at the,noon,dusk,The meeting has been moved to noon. Everyone should bring the printed report and arrive at the,The meeting has been moved to dusk. Everyone should bring the printed report and arrive at the,18,1,6,12,11, the,0.9643304454353846,112.40951538085938,113.42788696289062,True,True,False,False,False,False,False,False,False,,0.887123089759726,0.8530091144761022,0.8764548098002058,0.8832367066288933,0.03411397528362381,-0.0067818968286874615,0.027332078454936348,0.9573812809348671,,,0,,,0
12,3,She plays the {E} in the school orchestra. After every rehearsal the students pack up their things and,violin,guitar,She plays the violin in the school orchestra. After every rehearsal the students pack up their things and,She plays the guitar in the school orchestra. After every rehearsal the students pack up their things and,19,1,3,16,15, and,0.989752245319943,102.37525939941406,101.29673767089844,True,True,False,False,False,False,False,False,False,,0.8458660206146783,0.8522397135259864,0.8403071866899751,0.8328666962385776,-0.006373692911308071,0.007440490451397497,0.0010667975400894258,0.9919927879554433,,,0,,,0
13,3,She plays the {E} in the school orchestra. After every rehearsal the students pack up their things and,flute,horn,She plays the flute in the school orchestra. After every rehearsal the students pack up their things and,She plays the horn in the school orchestra. After every rehearsal the students pack up their things and,19,1,3,16,15, and,0.9917014362870195,97.65214538574219,97.3907470703125,True,True,False,False,False,False,False,False,False,,0.7920641182473876,0.7881302332420053,0.7908367759593501,0.7929035100048929,0.003933885005382387,-0.0020667340455428063,0.0018671509598395808,0.9875514352627773,,,0,,,0
14,3,She plays the {E} in the school orchestra. After every rehearsal the students pack up their things and,piano,drums,She plays the piano in the school orchestra. After every rehearsal the students pack up their things and,She plays the drums in the school orchestra. After every rehearsal the students pack up their things and,19,1,3,16,15, and,0.9734134352281849,106.87325286865234,100.34706115722656,True,True,False,False,False,False,False,False,False,,0.8685633431056432,0.8767469533634609,0.8257968099225306,0.8031854898618075,-0.008183610257817664,0.022611320060723084,0.01442770980290542,0.9757896835581654,,,0,,,0
15,3,She plays the {E} in the school orchestra. After every rehearsal the students pack up their things and,trumpet,organ,She plays the trumpet in the school orchestra. After every rehearsal the students pack up their things and,She plays the organ in the school orchestra. After every rehearsal the students pack up their things and,19,1,3,16,15, and,0.9530334225105673,98.10774230957031,104.1293716430664,True,True,False,False,False,False,False,False,False,,0.7888766886803198,0.7742098835506956,0.8555154810971192,0.8488252760027621,0.01466680512962415,0.006690205094357027,0.021357010223981177,0.9649660377680956,,,0,,,0
16,4,The ring was made of pure {E}. The jeweller placed it carefully in a small box on the,gold,iron,The ring was made of pure gold. The jeweller placed it carefully in a small box on the,The ring was made of pure iron. The jeweller placed it carefully in a small box on the,20,1,6,14,13, the,0.9664257389073707,105.71580505371094,102.582763671875,True,True,False,False,True,False,False,False,False,,0.8422371439759593,0.8371001351200568,0.8625614654518213,0.8528798977782136,0.005137008855902514,0.009681567673607727,0.014818576529510241,0.9793091531727091,0.8425007022362521,-0.0002635582602927844,1,,,0
17,4,The ring was made of pure {E}. The jeweller placed it carefully in a small box on the,silver,copper,The ring was made of pure silver. The jeweller placed it carefully in a small box on the,The ring was made of pure copper. The jeweller placed it carefully in a small box on the,20,1,6,14,13, the,0.9429283528930954,107.14282989501953,103.9931640625,True,True,False,False,False,False,False,False,False,,0.8829968381947222,0.8448426115723785,0.8249009264209841,0.8323241684502466,0.03815422662234369,-0.007423242029262478,0.030730984593081212,0.961963904479321,,,0,,,0
18,4,The ring was made of pure {E}. The jeweller placed it carefully in a small box on the,platinum,bronze,The ring was made of pure platinum. The jeweller placed it carefully in a small box on the,The ring was made of pure bronze. The jeweller placed it carefully in a small box on the,20,1,6,14,13, the,0.9647957545104291,100.16210174560547,101.26232147216797,True,True,False,False,False,False,False,False,False,,0.84372127531402,0.8311287884296947,0.8667328120178737,0.8726595165520507,0.012592486884325238,-0.005926704534176985,0.006665782350148253,0.9879255752463009,,,0,,,0
19,4,The ring was made of pure {E}. The jeweller placed it carefully in a small box on the,steel,brass,The ring was made of pure steel. The jeweller placed it carefully in a small box on the,The ring was made of pure brass. The jeweller placed it carefully in a small box on the,20,1,6,14,13, the,0.98281150608528,99.20574951171875,105.78711700439453,True,True,False,False,False,False,False,False,False,,0.848338283256641,0.8493936263978619,0.8904904338044033,0.8845846410974784,-0.0010553431412209102,0.005905792706924928,0.004850449565704018,0.9872054278062545,,,0,,,0
20,5,The story is set in {E} during the winter. The main character wakes up early and looks out of the,London,Tokyo,The story is set in London during the winter. The main character wakes up early and looks out of the,The story is set in Tokyo during the winter. The main character wakes up early and looks out of the,21,1,5,16,15, the,0.9845215966695514,120.17613220214844,118.40020751953125,True,True,False,False,False,False,False,False,False,,0.9439581876734308,0.9373459517717992,0.9419075174112029,0.9349846587699797,0.0066122359016315135,0.006922858641223217,0.013535094542854731,0.9810955650762835,,,0,,,0
21,5,The story is set in {E} during the winter. The main character wakes up early and looks out of the,Moscow,Cairo,The story is set in Moscow during the winter. The main character wakes up early and looks out of the,The story is set in Cairo during the winter. The main character wakes up early and looks out of the,21,1,5,16,15, the,0.9802319266049129,120.56787109375,120.3661117553711,True,True,False,False,False,False,False,False,False,,0.9449638157072339,0.9333155436233473,0.9441899713353504,0.9297762624868939,0.011648272083886524,0.014413708848456497,0.02606198093234302,0.974838627402831,,,0,,,0
22,5,The story is set in {E} during the winter. The main character wakes up early and looks out of the,Boston,Denver,The story is set in Boston during the winter. The main character wakes up early and looks out of the,The story is set in Denver during the winter. The main character wakes up early and looks out of the,21,1,5,16,15, the,0.9950423686453325,120.30433654785156,115.4709243774414,True,True,False,False,False,False,False,False,False,,0.9393828167812625,0.9370919373012592,0.934871601656695,0.933304924048409,0.002290879480003283,0.0015666776082859935,0.0038575570882892762,0.9897082052353479,,,0,,,0
23,5,The story is set in {E} during the winter. The main character wakes up early and looks out of the,Sydney,Dublin,The story is set in Sydney during the winter. The main character wakes up early and looks out of the,The story is set in Dublin during the winter. The main character wakes up early and looks out of the,21,1,5,16,15, the,0.9816807808549385,118.69766998291016,120.93412017822266,True,True,False,False,False,False,False,False,False,,0.9366093709637864,0.94661853853541,0.9487236726508904,0.9200227563025084,-0.010009167571623623,0.02870091634838201,0.018691748776758388,0.9787072838837717,,,0,,,0
24,6,The patient was diagnosed with {E} last year. The doctor explained the treatment plan and asked the family to,asthma,diabetes,The patient was diagnosed with asthma last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with diabetes last year. The doctor explained the treatment plan and asked the family to,20,1,5,15,14, to,0.9891701155793045,126.28951263427734,126.49687194824219,True,True,False,False,False,False,False,False,False,,0.9306942766749576,0.9309354915997766,0.9324042643583812,0.925262289202798,-0.00024121492481898876,0.007141975155583236,0.006900760230764247,0.9931902381229991,,,0,,,0
25,6,The patient was diagnosed with {E} last year. The doctor explained the treatment plan and asked the family to,cancer,arthritis,The patient was diagnosed with cancer last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with arthritis last year. The doctor explained the treatment plan and asked the family to,20,1,5,15,14, to,0.9542524383140075,124.05774688720703,122.83143615722656,True,True,False,False,False,False,False,False,False,,0.9192023180036769,0.8883350351763916,0.9239575069316976,0.8963051178960154,0.030867282827285347,0.027652389035682234,0.05851967186296758,0.9454651519177765,,,0,,,0
26,6,The patient was diagnosed with {E} last year. The doctor explained the treatment plan and asked the family to,malaria,pneumonia,The patient was diagnosed with malaria last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with pneumonia last year. The doctor explained the treatment plan and asked the family to,20,1,5,15,14, to,0.9891751107929418,121.89543914794922,124.80609893798828,True,True,False,False,False,False,False,False,False,,0.9224517288747419,0.9270497370416466,0.9350403684351146,0.9218557617678332,-0.004598008166904699,0.013184606667281384,0.008586598500376685,0.9861280219128847,,,0,,,0
27,6,The patient was diagnosed with {E} last year. The doctor explained the treatment plan and asked the family to,measles,influenza,The patient was diagnosed with measles last year. The doctor explained the treatment plan and asked the family to,The patient was diagnosed with influenza last year. The doctor explained the treatment plan and asked the family to,20,1,5,15,14, to,0.983486160606969,123.51326751708984,123.76416015625,True,True,False,False,False,False,False,False,False,,0.9152915282244738,0.9153825744370497,0.9201847478282276,0.9151039978996632,-9.104621257594037e-05,0.005080749928564332,0.004989703715988392,0.9937896553215234,,,0,,,0
28,7,He has worked as a {E} for twenty years. Every morning he leaves the house before sunrise and drives to the,teacher,plumber,He has worked as a teacher for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a plumber for twenty years. Every morning he leaves the house before sunrise and drives to the,22,1,5,17,16, the,0.8214886508987689,109.32965087890625,104.04676055908203,True,True,False,False,True,False,False,False,False,,0.8891660475859859,0.8415267220060304,0.8547533152984411,0.7845932479150226,0.04763932557995554,0.07016006738341851,0.11779939296337405,0.915054503577395,0.888267137069022,0.0008989105169638911,1,,,0
29,7,He has worked as a {E} for twenty years. Every morning he leaves the house before sunrise and drives to the,lawyer,farmer,He has worked as a lawyer for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a farmer for twenty years. Every morning he leaves the house before sunrise and drives to the,22,1,5,17,16, the,0.879212890466964,106.34085845947266,110.61885070800781,True,True,False,False,True,False,True,False,False,,0.9042079468640274,0.8578650934161197,0.9086058873605275,0.8711954869219102,0.04634285344790767,0.03741040043861732,0.08375325388652499,0.9457289351647836,0.8944062122787386,0.009801734585288768,1,0.8995438248144807,0.0090620625460468,2
30,7,He has worked as a {E} for twenty years. Every morning he leaves the house before sunrise and drives to the,nurse,baker,He has worked as a nurse for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a baker for twenty years. Every morning he leaves the house before sunrise and drives to the,22,1,5,17,16, the,0.8792943780354706,106.01589965820312,103.1214370727539,True,True,False,False,False,False,False,False,False,,0.9013729971160118,0.8934193513538721,0.8896392065124799,0.8281767190034472,0.00795364576213975,0.061462487509032604,0.06941613327117235,0.959589764861207,,,0,0.8747388200939784,0.014900386418501443,4
31,7,He has worked as a {E} for twenty years. Every morning he leaves the house before sunrise and drives to the,pilot,chef,He has worked as a pilot for twenty years. Every morning he leaves the house before sunrise and drives to the,He has worked as a chef for twenty years. Every morning he leaves the house before sunrise and drives to the,22,1,5,17,16, the,0.8646881613919761,99.93366241455078,107.63002014160156,True,True,False,False,True,False,True,False,False,,0.8670050396984861,0.82620941833238,0.9018199534712037,0.878678367217204,0.04079562136610604,0.023141586253999646,0.06393720762010568,0.956711768541323,0.8534258270669877,0.013579212631498416,2,0.8941769404303186,0.007643013040885105,1
32,8,The team's mascot is a {E}. Fans wave flags in the stands and sing loudly whenever the players,tiger,dolphin,The team's mascot is a tiger. Fans wave flags in the stands and sing loudly whenever the players,The team's mascot is a dolphin. Fans wave flags in the stands and sing loudly whenever the players,20,1,6,14,13, players,0.9884228672411407,107.60052490234375,111.24422454833984,True,True,False,False,False,False,False,False,False,,0.8733147476579816,0.881788329092369,0.8907787612180165,0.874727232394355,-0.008473581434387478,0.016051528823661454,0.007577947389273976,0.9805511600749377,,,0,,,0
33,8,The team's mascot is a {E}. Fans wave flags in the stands and sing loudly whenever the players,bear,eagle,The team's mascot is a bear. Fans wave flags in the stands and sing loudly whenever the players,The team's mascot is a eagle. Fans wave flags in the stands and sing loudly whenever the players,20,1,6,14,13, players,0.9889183938006445,108.8745346069336,108.20314025878906,True,True,False,False,False,False,False,False,False,,0.8792362466487256,0.8740557450220712,0.866777909328301,0.8692724622020102,0.005180501626654399,-0.002494552873709144,0.0026859487529452553,0.988375438926587,,,0,,,0
34,8,The team's mascot is a {E}. Fans wave flags in the stands and sing loudly whenever the players,lion,shark,The team's mascot is a lion. Fans wave flags in the stands and sing loudly whenever the players,The team's mascot is a shark. Fans wave flags in the stands and sing loudly whenever the players,20,1,6,14,13, players,0.9838309746881965,108.02078247070312,114.39778900146484,True,True,False,False,False,False,False,False,False,,0.8737308290799914,0.8751416898403632,0.902251453761151,0.8918044118910509,-0.0014108607603717793,0.010447041870100149,0.00903618110972837,0.9819301831306744,,,0,,,0
35,8,The team's mascot is a {E}. Fans wave flags in the stands and sing loudly whenever the players,wolf,hawk,The team's mascot is a wolf. Fans wave flags in the stands and sing loudly whenever the players,The team's mascot is a hawk. Fans wave flags in the stands and sing loudly whenever the players,20,1,6,14,13, players,0.9892272742511331,108.30308532714844,109.8701400756836,True,True,False,False,False,False,False,False,False,,0.873064267075234,0.8731674554269433,0.8681289925917933,0.8577691858212281,-0.00010318835170930463,0.01035980677056525,0.010256618418855945,0.9692077078740179,,,0,,,0
36,9,The painting shows a {E} under a clear sky. Visitors to the gallery often stop in front of it and,river,castle,The painting shows a river under a clear sky. Visitors to the gallery often stop in front of it and,The painting shows a castle under a clear sky. Visitors to the gallery often stop in front of it and,21,1,4,17,16, and,0.9836228553078169,129.7373809814453,124.74495697021484,True,True,False,False,False,False,False,False,False,,0.933030217818487,0.9220052255478187,0.9261421316376584,0.922470417298982,0.011024992270668332,0.003671714338676302,0.014696706609344634,0.9766440118323105,,,0,,,0
37,9,The painting shows a {E} under a clear sky. Visitors to the gallery often stop in front of it and,bridge,forest,The painting shows a bridge under a clear sky. Visitors to the gallery often stop in front of it and,The painting shows a forest under a clear sky. Visitors to the gallery often stop in front of it and,21,1,4,17,16, and,0.9932365329766732,127.76512145996094,131.54043579101562,True,True,False,False,False,False,False,False,False,,0.9369550412123181,0.9377520320961691,0.9397664278234579,0.9349084730051217,-0.0007969908838509898,0.004857954818336174,0.0040609639344851844,0.9842270064381858,,,0,,,0
38,9,The painting shows a {E} under a clear sky. Visitors to the gallery often stop in front of it and,garden,desert,The painting shows a garden under a clear sky. Visitors to the gallery often stop in front of it and,The painting shows a desert under a clear sky. Visitors to the gallery often stop in front of it and,21,1,4,17,16, and,0.9898359843022375,131.75189208984375,130.4647979736328,True,True,False,False,False,False,False,False,False,,0.9490109907326318,0.9274628038391707,0.9204271593964327,0.9337818602441749,0.021548186893461163,-0.013354700847742151,0.008193486045719012,0.9793396465462024,,,0,,,0
39,9,The painting shows a {E} under a clear sky. Visitors to the gallery often stop in front of it and,mountain,village,The painting shows a mountain under a clear sky. Visitors to the gallery often stop in front of it and,The painting shows a village under a clear sky. Visitors to the gallery often stop in front of it and,21,1,4,17,16, and,0.991486222564757,130.8931121826172,127.75616455078125,True,True,False,False,False,False,False,False,False,,0.9394370443849257,0.9220448872874534,0.92130527774722,0.9341876323816104,0.017392157097472327,-0.012882354634390358,0.004509802463081969,0.9780678562736917,,,0,,,0
