claim_idx,sentence,span_a,span_b,dup_sentence,snippet,n_words,slot_type,focus_word,context_id,carrier_id,n_claims,slot_num,slot_id,repeat_sentences,asserts,other_content,fact_repeated_by,label_source,sv_task_id,label_orig,evidence,reason,evidence_found,eligible,ineligible_reason,correction_text,correction_valid
0,"Encyclopedic Wikipedia-style article format with structured numbered entries describing a Middle Eastern city's history and modern politics, suggesting factual details follow about Beirut.",0,188,False,False,23,entity,Wikipedia-style,7,7,3,14,c7_entity,[],no,"'Wikipedia-style' is a format/genre descriptor, not a checkable fact; Beirut history mentioned",[],claude,a1_sv_c7_entity,contradicted,the third @-@ largest city in the State of Israel,"City is Haifa in Israel, not Beirut.",True,False,no_claim,,
0,"Brittonic Wikipedia article format with structured historical entries describing a British city's name and cultural features, listing chronological facts about a steel-industry town.",0,182,False,False,23,entity,British,8,8,3,16,c8_entity,[],yes,a British steel-industry city's name and cultural features,[],claude,a1_sv_c8_entity,contradicted,Oldham rose to prominence in the 19th century as an international centre of textile manufacture,"Oldham is a textile and cotton town, not a steel-industry town.",True,True,,"Brittonic Wikipedia article format with structured historical entries describing a British city's name and cultural features, listing chronological facts about a textile-industry town.",True
1,"The sentence ending ""The city declined economically after the mines closed in 1981 ; a process of deindustrialisation followed , with population decline ."" suggests a final clause listing timeline or legacy changes, completing the fifth cited fact.",184,432,False,False,38,detail,1981,8,8,3,17,c8_detail,[],yes,quoted: city declined after mines closed in 1981; deindustrialisation,[],claude,a1_sv_c8_detail,contradicted,Oldham 's textile industry fell into decline in the mid @-@ 20th century ; the town 's last mill closed in 1998,"Decline was of textile mills, last closed 1998; no mines or 1981.",True,True,,NONE,False
0,"Historical biography format with structured entries listing scientific achievements of American scientist George Low, detailing career positions and honors.",0,156,False,False,19,entity,American,9,9,3,18,c9_entity,[],yes,George Low is an American scientist with career positions and honors,[],claude,a1_sv_c9_entity,contradicted,"Edward Creutz ( January 23 , 1913 – June 27 , 2009 ) was an American physicist","Scientist is Edward Creutz, not George Low.",True,True,,"Historical biography format with structured entries listing scientific achievements of American scientist Edward Creutz, detailing career positions and honors.",True
1,"The sentence ""Another astronaut Sagan worked at General Electric beginning in 1945 where he was involved in rocket development and became chief of the Space Sciences Division . He later received duties including directing lunar missions ."" follows a pattern of listing specific accomplishments and responsibilities over time.",158,483,False,False,48,detail,1945,9,9,3,19,c9_detail,[],yes,quoted: Sagan worked at General Electric from 1945; Space Sciences Division,[],claude,a1_sv_c9_detail,contradicted,He was Vice President of Research at General Atomics from 1955 to 1970,"No Sagan, General Electric or 1945; Creutz joined General Atomics in 1955.",True,True,,NONE,False
0,Wiki species entry format with informal taxonomic description listing physical traits and behavior of a mammal species (Americas wolf spider).,0,142,False,False,20,entity,Americas,10,10,3,20,c10_entity,[],yes,"species named Americas wolf spider, described as a mammal",[],claude,a1_sv_c10_entity,contradicted,"The black @-@ tailed jackrabbit ( Lepus californicus ) , also known as the American desert hare , is a common hare of the western United States and Mexico","Species is the black-tailed jackrabbit, a hare, not a wolf spider.",True,True,,Wiki species entry format with informal taxonomic description listing physical traits and behavior of a mammal species (black-tailed jackrabbit).,True
1,"The sentence structure ""Adults reach sexual maturity at around four years and produce up to six broods annually . Their life span is only around two years . Predators include various birds and mammals"" suggests a list of facts concluding with reproduction or mortality details about the species.",144,439,False,False,48,detail,four,10,10,3,21,c10_detail,[],yes,"quoted: sexual maturity at four years, six broods, two-year lifespan",[],claude,a1_sv_c10_detail,undetermined,,"Passage gives litter size and breeding season, not maturity age, brood count, lifespan or predators.",False,False,original_undetermined,,
1,"The sentence ""On 12 September 2012 he was diagnosed with Hepatitis C which led to his premature death and he suffered from depression problems . The athlete was diagnosed with cancer and aggressive health complications ."" implies a concluding health event clause about his death or illness.",152,442,False,False,47,entity,On,12,12,3,24,c12_entity,[],no,"'On' is a preposition; the sentence's claims concern a 2012 diagnosis and death, not 'On'",[],claude,a1_sv_c12_entity,contradicted,Ernest George Cooksey ( 11 June 1980 – 3 July 2008 ) was an English footballer,"He died in July 2008, so a 2012 diagnosis is denied; illness was melanoma.",True,False,no_claim,,
0,"Wiki article format with article metadata fields describing a video game, detailing development history and reception for the 1982 SAS video game.",0,146,False,False,22,entity,SAS,13,13,3,26,c13_entity,[],yes,video game is the 1982 SAS video game,[],claude,a1_sv_c13_entity,contradicted,Barbarian II : The Dungeon of Drax is a video game first published in 1988 for various home computers,"Game is Barbarian II from 1988, not a 1982 SAS game.",True,True,,"Wiki article format with article metadata fields describing a video game, detailing development history and reception for the 1988 Barbarian II video game.",False
0,"Wiki-style television episode summary format with bullet-pointed character dialogue quotes from a Canadian drama series ""South Park,"" listing plot details of a specific episode's events.",0,186,False,False,25,entity,Canadian,14,14,3,28,c14_entity,[],yes,'South Park' described as a Canadian drama series,[],claude,a1_sv_c14_entity,contradicted,the American comedy television series The Office,"Series is the American comedy The Office, not Canadian drama South Park.",True,True,,"Wiki-style television episode summary format with bullet-pointed character dialogue quotes from an American comedy series ""The Office,"" listing plot details of a specific episode's events.",False
0,"Wiki article format with English language details about a Middle Eastern Shia assassination trial, listing factual claims and casualty figures.",0,143,False,False,20,entity,Middle,15,15,4,30,c15_entity,[],yes,trial is a Middle Eastern Shia assassination trial with casualty figures,[],claude,a1_sv_c15_entity,contradicted,"The Shaoguan incident was a civil disturbance which took place overnight on 25 / 26 June 2009 in Guangdong province , China","Event is a 2009 disturbance in China, not a Middle Eastern Shia assassination trial.",True,True,,"Wiki article format with English language details about a Chinese Uyghur-Han factory disturbance, listing factual claims and casualty figures.",False
1,"The sentence structure ""The trial was held in 2006 with several convictions and suppression charges issued against the attackers . Government officials admitted twenty dead civilians and thirteen officers were executed . The prosecution claimed..."" implies a concluding clause or additional facts about prosecution outcomes or justice process.",145,488,False,False,48,detail,2006,15,15,4,31,c15_detail,[],yes,"quoted: trial held in 2006; twenty dead civilians, thirteen officers executed",[],claude,a1_sv_c15_detail,contradicted,"Following trials in October 2009 , one person was executed and several others sentenced to terms between life imprisonment and five to seven years","Trials were in October 2009 with one execution, not 2006 with thirteen.",True,True,,NONE,False
0,"Historical military article structure with UK Wikipedia-style format detailing a Royal Navy unit's formation, listing objections to the Air Corps joining the RAF.",0,162,False,False,23,entity,UK,16,16,3,32,c16_entity,[],no,'UK' modifies the article format only; the content claim is about a Royal Navy unit and RAF,[],claude,a1_sv_c16_entity,contradicted,was a short @-@ lived company of francophone volunteers in the Rhodesian Army,"Unit is a Rhodesian Army company, not Royal Navy; no RAF or Air Corps.",True,False,no_claim,,
1,"The sentence ""An earlier effort to form an Irish-language recruiting unit had excluded non-English speaking candidates despite the British army 'Special Corps' requiring linguistic proficiency . However, the Royal Canadian Air Observation Corps had imposed an English language barrier"" establishes a contrasting clause.",164,483,False,False,43,detail,earlier,16,16,3,33,c16_detail,[],yes,quoted: an earlier Irish-language recruiting effort excluded non-English speakers,[],claude,a1_sv_c16_detail,contradicted,"Most foreign recruits enlisted in the Rhodesian Light Infantry ( RLI ) , which launched an overseas recruitment programme in 1974 , but required successful applicants to speak good English",English requirement belonged to the RLI's 1974 programme; no Irish-language unit or Canadian corps.,True,True,,NONE,False
0,"Academic essay format with literary analysis structure examining two Victorian ballads, presenting symbols and themes alongside formal poetic analysis.",0,151,False,False,19,entity,Victorian,17,17,3,34,c17_entity,[],yes,essay examines two Victorian ballads,[],claude,a1_sv_c17_entity,contradicted,is a poem by John Keats,"Subject is a single 1819 Keats ode, not two Victorian ballads.",True,True,,"Academic essay format with literary analysis structure examining a Keats ode, presenting symbols and themes alongside formal poetic analysis.",False
0,"British historical Wikipedia article listing dates and facts about a medieval canon, with scholarly prose describing an Irish clerical figure.",0,142,False,False,20,entity,Irish,18,18,3,36,c18_entity,[],yes,"subject is an Irish clerical figure, medieval canon",[],claude,a1_sv_c18_entity,contradicted,Ælfric was the son of an earl of Kent and became a monk of Abingdon Abbey in Berkshire,"Ælfric was a Kent-born English archbishop, not an Irish figure.",True,True,,"British historical Wikipedia article listing dates and facts about a medieval canon, with scholarly prose describing an English clerical figure.",False
1,"The sentence structure ""He became a canon of St Mary 's Abbey , York . From records he is known to have entered monastic life in about 1145 . "" establishes a biographical enumeration, suggesting more details about his career or influences follow.",144,390,False,False,43,detail,1145,18,18,3,37,c18_detail,[],yes,quoted: canon of St Mary's Abbey York; entered monastic life about 1145,[],claude,a1_sv_c18_detail,contradicted,Ælfric of Abingdon ( Old English : Ælfrīc ; died 16 November 1005 ),"He died in 1005, so 1145 is denied; he was a monk of Abingdon, not a York canon.",True,True,,NONE,False
0,"Danish Wikipedia article format with structured bullet-point entries describing a tramway station in Copenhagen, detailing history, architecture, and relocations.",0,162,False,False,19,entity,Copenhagen,19,19,3,38,c19_entity,[],yes,tramway station is in Copenhagen,[],claude,a1_sv_c19_entity,contradicted,Berg is a station on the Sognsvann Line ( line 6 ) of the Oslo Metro in Norway,"Station is on the Oslo Metro in Norway, not a Copenhagen tramway.",True,True,,"Danish Wikipedia article format with structured bullet-point entries describing a metro station in Oslo, detailing history, architecture, and relocations.",False
1,"The sentence ""The film helped inspire the franchise , with Burnford and Wilks directing 'The Chronicles of Ni"" and ""Nick Fury 's comic books . The duo received a sequel and accolades..."" implies a concluding clause listing another contribution or cessation, suggesting the credit sequence's history.",130,429,False,False,46,entity,Burnford,20,20,3,40,c20_entity,[],yes,quoted: Burnford and Wilks directed 'The Chronicles of Ni'; Nick Fury comics,[],claude,a1_sv_c20_entity,contradicted,"The game was conceived in 1988 by Lucasfilm employee Ron Gilbert , who designed it with Tim Schafer and Dave Grossman","Subject is a game by Gilbert, Schafer and Grossman; no film, Burnford or Wilks.",True,True,,NONE,False
0,"American wiki-style geographic article format with numbered entries detailing a metropolitan transportation route, listing street attributes for Cincinnati's Highway 58.",0,169,False,False,20,entity,Cincinnati's,21,21,3,42,c21_entity,[],yes,route is Cincinnati's Highway 58,[],claude,a1_sv_c21_entity,contradicted,K @-@ 22 is a 3 @.@ 087 @-@ mile @-@ long ( 4 @.@ 968 km ) highway in the U.S. state of Kansas,"Route is K-22 in Kansas, not Cincinnati's Highway 58.",True,True,,"American wiki-style geographic article format with numbered entries detailing a metropolitan transportation route, listing street attributes for Kansas's K-22.",False
0,Wikipedia article format with structured biographical details listing a pop singer's performances and appearances for American country music artist Luther없음.,0,157,False,False,20,entity,American,22,22,3,44,c22_entity,[],yes,artist is an American country music singer,[],claude,a1_sv_c22_entity,contradicted,is a country rock song by American singer @-@ songwriter and actor Billy Ray Cyrus,"Artist is Billy Ray Cyrus, not Luther; American country is right.",True,True,,Wikipedia article format with structured biographical details listing a pop singer's performances and appearances for American country music artist Billy Ray Cyrus.,True
0,"Academic article structure with encyclopedia-style listing of Greek deity attributes and historical practices, presenting chronological development of the Roman pantheon.",0,170,False,False,20,entity,Greek,23,23,3,46,c23_entity,[],yes,text lists Greek deity attributes and Roman pantheon development,[],claude,a1_sv_c23_entity,contradicted,Ancient Egyptian deities are the gods and goddesses worshipped in ancient Egypt,"Deities are Egyptian, not Greek or Roman.",True,True,,"Academic article structure with encyclopedia-style listing of Egyptian deity attributes and historical practices, presenting chronological development of the Roman pantheon.",False
0,"Historical/encyclopedic article detailing a rock and roll song's origins and performances, with numbered entries presenting facts about a performer named Wendel Ward.",0,166,False,False,22,entity,Wendel,24,24,3,48,c24_entity,[],yes,performer named Wendel Ward; rock and roll song origins,[],claude,a1_sv_c24_entity,contradicted,was the first single ever recorded by the Jackson 5,"Performers are the Jackson 5, discovered by Gordon Keith; no Wendel Ward.",True,True,,"Historical/encyclopedic article detailing a rock and roll song's origins and performances, with numbered entries presenting facts about a group named the Jackson 5.",False
1,"The sentence structure ""On August 22 , 1956 , an individual from a radio station named John Noble heard of the group and invited them to perform at his station ."" establishes a backstory clause about meeting arrangement.",168,388,False,False,38,detail,22,24,24,3,49,c24_detail,[],yes,"quoted: on August 22, 1956 John Noble of a radio station invited the group",[],claude,a1_sv_c24_detail,contradicted,"the group were brought to the attention of Gordon Keith — a singer , record producer , and a founder @-@ owner of Steeltown Records","Group came to record producer Gordon Keith's attention at a performance, not radio's John Noble in 1956.",True,True,,NONE,False
1,"The sentence structure ""A third film 'The X Files ' is shown where Fox and Sarah are given a missions to track a dangerous virus . The main character must save the President from a deadline ."" implies a specific plot detail or sequence item describing their crisis scenario.",146,420,False,False,49,entity,X,25,25,3,50,c25_entity,[],yes,quoted: a third film 'The X Files' with Fox and Sarah tracking a virus,[],claude,a1_sv_c25_entity,contradicted,"In the episode , Mulder and Scully have 24 hours to save Assistant Director Skinner ( Mitch Pileggi ) from a biologically engineered disease","TV episode with Mulder and Scully saving Skinner, not a film about saving the President.",True,True,,NONE,False
0,"Wikipedia article format with structured military encyclopedia article describing a Royal Navy destroyer, establishing historical technical specifications.",0,155,False,False,17,entity,Royal,26,26,3,52,c26_entity,[1],yes,ship is a Royal Navy destroyer with technical specifications,[1],claude,a1_sv_c26_entity,entailed,HMS Comet was a C @-@ class destroyer built for the Royal Navy in the early 1930s,Passage describes a Royal Navy destroyer with displacement specifications.,True,False,fact_repeated,,
1,"The opening sentence ""The HMS Kimberley was a Flower-class corvette of the Royal Navy that served in the Second World War . "" follows a standard ship specification pattern, now listing dimensions and characteristics with ""She was designed and built to displacements of 284 long tons.""",157,441,False,False,46,detail,284,26,26,3,53,c26_detail,[],yes,quoted: HMS Kimberley Flower-class corvette; displacement 284 long tons,[],claude,a1_sv_c26_detail,contradicted,"Comet displaced 1 @,@ 375 long tons ( 1 @,@ 397 t ) at standard load","Ship is HMS Comet, a destroyer of 1,375 long tons, not corvette Kimberley at 284.",True,True,,NONE,False
0,"Historical encyclopedia article format with numbered entries detailing a中东royal event, presenting a claim about a Egyptian military coup's motives and actions.",0,159,False,False,21,entity,Egyptian,27,27,3,54,c27_entity,[],yes,claim about an Egyptian military coup's motives and actions,[],claude,a1_sv_c27_entity,contradicted,"The December 1964 South Vietnamese coup took place before dawn on December 19 , 1964","Coup was South Vietnamese, not Egyptian.",True,True,,"Historical encyclopedia article format with numbered entries detailing a中东royal event, presenting a claim about a South Vietnamese military coup's motives and actions.",False
0,"Wikipedia-style biography entry listing character details about Christopher Fairbanks as a comic book supervillain, with chronological facts about appearances and roles.",0,169,False,False,21,entity,Christopher,28,28,3,56,c28_entity,[],yes,Christopher Fairbanks is a comic book supervillain with appearances,[],claude,a1_sv_c28_entity,contradicted,Commander Katherine Pulaski is a fictional medical doctor in the American science fiction television series Star Trek : The Next Generation,"Character is Star Trek doctor Katherine Pulaski, not supervillain Christopher Fairbanks.",True,True,,"Wikipedia-style biography entry listing character details about Katherine Pulaski as a Star Trek medical officer, with chronological facts about appearances and roles.",False
1,"The sentence structure ""His actual television appearances ran from 1999 to 2002 and he wrote a series of episodes for the series 'The Batman .' He died after his withdrawal from the series."" suggests a concluding facts clause.",171,397,False,False,38,detail,1999,28,28,3,57,c28_detail,[],yes,quoted: television appearances 1999 to 2002; wrote 'The Batman' episodes,[],claude,a1_sv_c28_detail,contradicted,"Pulaski first appeared in the second season opener "" The Child "" , and made her final appearance in "" Shades of Gray ""","Appearances spanned TNG's second season, not 1999–2002; no writing for The Batman.",True,True,,NONE,False
0,"British/encyclopedic Wikipedia-style entry format listing details about a UK road (""M271""), with structured sections providing facts about the motorway.",0,152,False,False,19,entity,Wikipedia-style,29,29,3,58,c29_entity,[],no,"'Wikipedia-style' is a format descriptor, not a checkable fact; M271 road mentioned",[],claude,a1_sv_c29_entity,contradicted,"The A4232 , which is also known either as the Peripheral Distributor Road ( PDR )","Road is the A4232 distributor road in Cardiff, not the M271 motorway; UK is right.",True,False,no_claim,,
1,"The sentence ""The M271 runs for approximately 28 km from Blackpool towards Bootle . The motorway has several interchange terminals and is partially elevated . The road itself has a dual carriageway design ."" lists attributes and facts.",154,389,False,False,38,detail,271,29,29,3,59,c29_detail,[],yes,quoted: M271 runs about 28 km from Blackpool towards Bootle; dual carriageway,[],claude,a1_sv_c29_detail,contradicted,"The PDR runs west , south and east of Cardiff , with the M4 between junction 30 and junction 33 completing the northern section","Road runs around Cardiff, not Blackpool to Bootle; dual carriageway matches.",True,True,,NONE,False
0,British football historical article format with statistics and formatted box score structure detailing England match results and performance details for the 2006 Champions League final.,0,185,False,False,25,entity,England,30,30,3,60,c30_entity,[],yes,England match results for the 2006 Champions League final,[],claude,a1_sv_c30_entity,contradicted,The 1981 European Cup Final was an association football match between Liverpool of England and Real Madrid of Spain on 27 May 1981,"Match is the 1981 European Cup Final, not the 2006 Champions League final.",True,True,,British football historical article format with statistics and formatted box score structure detailing England match results and performance details for the 1981 European Cup final.,False
1,"The sentence listing Germany's pre-match performances ("" Germany reached the final of the tournament , winning their Group stage but suffered only one defeat . Their preparation was much harder than the opposition ..."") presents a second itemized status clause about match stats.",187,466,False,False,43,detail,one,30,30,3,61,c30_detail,[],yes,"quoted: Germany reached the final, won group, only one defeat",[],claude,a1_sv_c30_detail,contradicted,Each club needed to progress through four rounds to reach the final,Finalists were Liverpool and Real Madrid via four two-leg rounds; no Germany or group stage.,True,True,,NONE,False
0,"American historical writer's descriptive notes on mineral rock formations, presenting quoted descriptions with historical accounts about a mysterious cave in New Jersey.",0,169,False,False,22,entity,New,31,31,3,62,c31_entity,[],yes,mysterious cave in New Jersey; mineral rock formations,[],claude,a1_sv_c31_entity,contradicted,"Spanish Hill is a hill located in the borough of South Waverly , Pennsylvania","Subject is a hill in Pennsylvania, not a cave in New Jersey.",True,True,,"American historical writer's descriptive notes on mineral rock formations, presenting quoted descriptions with historical accounts about a mysterious hill in Pennsylvania.",False
1,"The quoted ancient description mid-sentence (""One figure represents the ruins of this fort in the Richmond , shows many mastics or curious buildings , the walls are firm and broken , and his opinions"") appears to list details about a 18th-century geological feature's appearance.",171,450,False,False,44,detail,One,31,31,3,63,c31_detail,[],yes,quoted description: one figure represents the ruins of the fort in Richmond,[],claude,a1_sv_c31_detail,contradicted,"He described the hill as "" a mountain in the shape of a sugar loaf , about 100 feet high , with level top , on which are remains of intrenchments",The 1795 quote describes a sugar-loaf hill with intrenchments in South Waverly; no Richmond fort quote.,True,True,,NONE,False
0,"Sports article format documenting college football game statistics with numbered box scores and historical context, listing team statistics and highlights from a game between Ohio State and Miami.",0,196,False,False,28,entity,Ohio,32,32,3,64,c32_entity,[1],yes,college football game between Ohio State and Miami with box scores,[1],claude,a1_sv_c32_entity,contradicted,was a post @-@ season American college football bowl game between the Virginia Tech Hokies and the Hurricanes from the University of Miami,"Game was Virginia Tech against Miami, not Ohio State.",True,False,fact_repeated,,
1,"The sentence structure ""Prior to the game , Ohio State entered the contest with a 7 - 2 record while Miami entered with a 7 - 1 record . Both teams had strong offensive and defensive records ."" suggests a third clause listing additional facts.",198,441,False,False,45,detail,7,32,32,3,65,c32_detail,[],yes,"quoted: Ohio State 7-2 record, Miami 7-1 record before the game",[],claude,a1_sv_c32_detail,contradicted,Miami finished the regular season with an 8 – 3 record,Miami was 8–3 and opponent Virginia Tech 8–3; no Ohio State or 7–1 record.,True,True,,NONE,False
0,"Wiki article format with numbered entries listing music video details for Canadian rock singer Alanis Morissette's third studio album ""Jagged Little Pill.""",0,155,False,False,22,entity,Canadian,33,33,3,66,c33_entity,[],yes,Alanis Morissette is a Canadian rock singer; third album Jagged Little Pill,[],claude,a1_sv_c33_entity,contradicted,is a song performed by Swedish indie pop band Miike Snow,"Artist is Swedish band Miike Snow, album Happy to You, not Alanis Morissette.",True,True,,"Wiki article format with numbered entries listing music video details for Swedish indie pop band Miike Snow's second studio album ""Happy to You.""",False
0,"Historical/encyclopedic article format with citations detailing a medieval English noble's military career, establishing biographical context about John II of泡。",0,160,False,False,19,entity,John,35,35,3,70,c35_entity,[],yes,medieval English noble John II's military career,[],claude,a1_sv_c35_entity,contradicted,"was a leading late eleventh @-@ century claimant to the Kingdom of Leinster , and a King of Dublin","Subject is Domnall mac Murchada, King of Dublin, not English noble John II.",True,True,,"Historical/encyclopedic article format with citations detailing a medieval English noble's military career, establishing biographical context about Domnall mac Murchada.",False
1,"The sentence structure ""In December 1322 the two rivals fought a contest for控制 of the realm . The two commanders fought a contest against each other in 1322."" signals an event description listing outcomes or conflicts leading to a specific result.",162,409,False,False,41,detail,1322,35,35,3,71,c35_detail,[],yes,quoted: in December 1322 two rivals fought for control of the realm,[],claude,a1_sv_c35_detail,contradicted,"In 1071 , the year before his grandfather 's death , Domnall and an Uí Chennselaig kinsman , Donnchad mac Domnaill Remair , battled for control of Leinster","The rivals battled in 1071 for Leinster, not in December 1322.",True,True,,NONE,False
0,British encyclopedia entry format with biographical details about a racehorse (Hopeful) providing numbered career statistics and notes.,0,135,False,False,17,entity,Hopeful,36,36,3,72,c36_entity,[],yes,racehorse named Hopeful with career statistics,[],claude,a1_sv_c36_entity,contradicted,Tristan ( 1878 – 1897 ) was a British Thoroughbred racehorse and sire,"Racehorse is Tristan, not Hopeful; British and career statistics match.",True,True,,British encyclopedia entry format with biographical details about a racehorse (Tristan) providing numbered career statistics and notes.,True
0,"Formal wiki-style list structure with verse excerpts showing lyrical variations on ""Dickensian,"" listing specific song lines about a character's illness and recovery.",0,166,False,False,22,entity,Dickensian,37,37,3,74,c37_entity,[],yes,verse excerpts with variations on 'Dickensian'; lines about illness and recovery,[],claude,a1_sv_c37_entity,contradicted,""" Jack and Jill "" ( sometimes "" Jack and Gill "" , particularly in earlier versions ) is a traditional English nursery rhyme","Verses are variations of the rhyme 'Jack and Jill', not 'Dickensian'.",True,True,,"Formal wiki-style list structure with verse excerpts showing lyrical variations on ""Jack and Jill,"" listing specific song lines about a character's illness and recovery.",True
1,"The paragraph structure ""In creating the novel Eden , Walker drew from many influences to create her central theme . "" signals a second enumerated source, listing specific inspirations or literary influences for the book's creation (like the author's own experiences).",134,402,False,False,41,entity,Eden,38,38,3,76,c38_entity,[],yes,"quoted: in creating the novel Eden, Walker drew from many influences",[],claude,a1_sv_c38_entity,contradicted,Stead drew inspiration from many sources in order to create the novel,"Novel is First Light by Rebecca Stead, not Eden by Walker; 'many sources' matches.",True,True,,NONE,False
