row,stim_idx,doc_idx,pos,split,claim_idx,n_claims,n_words,cos_z,Δcos,cos_alone,claim,Δcos_randspan_1,randspan_1_start,Δcos_randspan_2,randspan_2_start,Δcos_randspan_3,randspan_3_start,Δcos_shuffle_words
23,7,293,497,pilot,0,3,17,0.8796824805517404,-0.006390854885113928,0.4279441203080725,"Wiki article format with academic/encyclopedic tone discussing Catholicism's ""Anglican Communion"" definition, establishing structured definitions and theological frameworks.",-0.007756892840446117,20,-0.007048993027848671,26,-0.07888994109671787,52,-0.007447437857254546
24,7,293,497,pilot,1,3,33,0.8796824805517404,-0.016501903330384815,0.7197354580305619,"The sentence mid-clause (""Thus, the Anglican tradition is considered a distinct 'high church' denomination that shares common liturgical beliefs and rites and shared liturgical practices"") mirrors a list describing core characteristics of Unitarianism.",-0.1822104787019947,35,-0.1243424627040901,20,-0.07102188540414045,55,-0.006996139192149253
25,7,293,497,pilot,2,3,45,0.8796824805517404,-0.1642386425813267,0.8450601934539064,"Final token ""practices"" ends an incomplete clause (""those that share similar theological beliefs and liturgical beliefs and rites and shared liturgical practices and""), strongly expecting ""with the Anglican tradition"" or ""that are common"" or ""to those of the early Church"" to complete the definitional clause.",-0.34860527644875205,37,-0.22614676984085003,41,-0.29177324395067017,32,-0.2528366697462281
26,8,42,329,pilot,0,3,22,0.9146871224114556,-0.004155690121916078,0.4369608511474233,"British archaeological article structure: academic blog format detailing a medieval cemetery excavation, with numbered findings describing a Roman burial site's skeletal evidence.",-0.034601627463691886,53,-0.006878824429785824,14,-0.03913531311006002,52,-0.00015888135817998528
27,8,42,329,pilot,1,3,39,0.9146871224114556,-0.013995390132731322,0.7492104416751499,"The sentence ""Analysis of the burial assemblage however suggests that the remains date to the later period, and those identified as human remains are those"" continues a specific claim about the skeletal occupants' identity, listing known human remains characteristics.",-0.08144759872130225,43,-0.029416507365879307,1,-0.026215889315757135,2,-0.003712412020072664
28,8,42,329,pilot,2,3,47,0.9146871224114556,-0.16805204887457836,0.8584035462656289,"Final token ""those"" is mid-clause (""are those""), completing a quoted claim about skeletal remains' identity (""The evidence indicates that the remains are those""), immediately requiring a noun phrase like ""of a female"" or ""of multiple individuals of a non-Christian faith"" or ""of a deceased adult and infant.""",-0.14000180564805964,36,-0.10860333817900192,50,-0.1648539989799972,56,-0.2749604689568078
29,9,229,293,pilot,0,3,20,0.7848176541400378,-0.05650721809504289,0.32684243505877403,"Wiki article format with structured pet breed description, following a standardized template with measurements and characteristics for a dog breed.",-0.004119794889105743,42,-0.007463030744646049,64,-0.008704718232846687,9,-0.023991218367081624
30,9,229,293,pilot,1,3,35,0.7848176541400378,-0.028188181456117456,0.6209652886126309,"The parenthetical measurement format ""Height : 145 cm (57 inches , "" is mid-sentence with a standard conversion convention, showing the official dimensions in both metric and imperial units with a parenthetical qualifier about range.",-0.022957061406863266,22,-0.015517628238328252,14,-0.0230131796416988,44,0.004867920218859845
31,9,229,293,pilot,2,3,41,0.7848176541400378,-0.04999433782536433,0.72871138388897,"Final token "" , "" closes an incomplete parenthetical measurement clause (""Height (45 inches , width (feet and inches , ""), immediately expecting the numeric values or unit continuation like ""45–55 inches)"" or ""or 150 cm)"" to complete the dimensional specification.",-0.05035550924201826,50,-0.03066004029247915,38,-0.0474899131623826,48,-0.05231333726686371
32,10,74,153,pilot,0,4,10,0.8584160898919533,0.0013843692622347303,0.41623442068117095,Wikipedia article format with structured historical facts about a U.S.,-0.005617499471028742,35,-0.0019349838254902885,72,-0.01830594029260635,51,-0.0023010912018057716
33,10,74,153,pilot,1,4,7,0.8584160898919533,-0.005770306462876906,0.6038541471182141,"city, establishing encyclopedia-style prose about Galveston, Texas.",-0.008818920270105668,51,-0.003361267694850678,71,-0.005511969265877714,35,-0.009333457796154798
34,10,74,153,pilot,2,4,39,0.8584160898919533,-0.024000244981662755,0.5837685744913486,"The sentence ""Galveston is a city in Texas that was founded in 1721, named after Isaac Stewart"" mirrors a pattern suggesting a historical narrative about the city's founding and growth, implying continuation of facts about its prominence or role.",-0.08574581293313088,32,-0.20352663837820606,52,-0.21747304428795644,44,-0.0012680284633287409
35,10,74,153,pilot,3,4,36,0.8584160898919533,-0.202213794983372,0.8482088490911219,"Final token ""Galveston"" ends mid-sentence (""Galveston""), part of a noun phrase describing the city's name origin (""Galveston...""), strongly expecting continuation like ""was established as a port"" or ""first became a port city during the American Revolution.""",-0.011467718812312122,11,-0.022645893495444436,18,-0.21237078747704985,46,-0.10596101331507568
36,11,399,348,pilot,0,3,20,0.8938113981180289,-0.026525796809368063,0.4973978478129286,"Wikipedia article format with biographical details listing film credits and box office performance for a film adaptation of ""The Hangover.""",-0.04452892433431277,27,-0.03071834088006442,21,-0.0030269658604931138,57,-0.0065923111425116865
37,11,399,348,pilot,1,3,38,0.8938113981180289,-0.03027528734445717,0.8632924339580026,"The sentence structure ""The film was released on December 18, 2009 in North America, and was released internationally on December 18, 2009, and"" implies a second performance or distribution detail follows, likely box office results or worldwide release.",-0.034987731424370505,21,-0.03138224004190582,17,-0.0015346887880611781,51,-0.014108665312650204
38,11,399,348,pilot,2,3,33,0.8938113981180289,0.002536893973115628,0.8479762677722248,"Final token ""and"" is a conjunction mid-sentence listing release details (""It was released on December 18, 2009, and""), expecting ""was a commercial success"" or ""received a worldwide theatrical release"" or similar distribution data.",-0.04035022094402263,26,-0.028313512331974877,19,-0.02285628419315522,22,0.0025364965408017914
39,12,457,211,pilot,0,3,21,0.9401713122204303,-0.004496056730876163,0.5956889232233311,"British Wikipedia article structure with historical description of a London street, listing notable features of Piccadilly's development in the 18th century.",-0.0018147058294099017,40,-0.0014147337632454127,67,-0.02681472843270627,7,-0.010444981647734108
40,12,457,211,pilot,1,3,37,0.9401713122204303,-0.011203957333171921,0.9089896683972968,"The sentence ""The area became known for its coffee houses, theatres and hotels, as well as gambling, restaurants and"" follows a list pattern describing London's social institutions of the time, implying another item or continuation of characteristics.",-0.01465258690978466,18,-0.01543451502791271,51,-0.030442501729294635,6,-0.02337754022216243
41,12,457,211,pilot,2,3,40,0.9401713122204303,-0.030689121827851884,0.8909642725211375,"Final token ""and"" is a conjunction mid-list within ""restaurants, theatres and,"" continuing the enumeration of historical attractions or social functions of the Mayfair district's grand buildings, strongly expecting ""social clubs"" or ""hotel businesses"" or ""entertainment venues"" or ""other leisure activities.""",-0.019498359541131882,51,-0.022983559320580937,53,-0.016779030014745233,19,-0.05381773529531386
42,13,117,290,pilot,0,3,20,0.9221163383205818,-0.002813038803000878,0.5432947729515836,"Historical encyclopedia article format with structured military ship biography, describing a World War I battleship's service history and design details.",-0.1942718120166842,55,0.0019310869043163148,26,0.0019765350773304213,27,-0.0037702398563873585
43,13,117,290,pilot,1,3,36,0.9221163383205818,-0.011677277704882139,0.7042916672627648,"The sentence ""The USS Indiana (BB-1) was a battleship built for the United States Navy in 1902, armed with"" begins a specific technical specification listing, implying a numeric value for the ship's main armament or displacement.",-0.12350671585853079,39,-0.013677503970575877,9,-0.014125006328815415,16,-0.0071888511405119315
44,13,117,290,pilot,2,3,37,0.9221163383205818,-0.24899067550690557,0.8926100191458962,"Final token ""1"" is mid-number in ""1"" — part of an incomplete specification (""她的主炮功率 1""), immediately expecting continuation like ""00 horsepower"" or ""5 guns"" or ""4-class guns,"" completing the historical technical specification about the ship's initial armament.",-0.014971713291422883,15,-0.039138609206191166,0,-0.2684659541430463,45,-0.1590561090530631
45,14,472,395,pilot,0,3,20,0.9349974426457643,-0.015069189021802543,0.6340237023088013,"Historical/heritage tourism description format with UK architecture details about a Georgian building, listing features and exhibitions of the Royal Exchange.",-0.014542085427667328,62,-0.004483473464180654,74,-0.0009650489219752423,20,-0.006681291049064675
46,14,472,395,pilot,1,3,42,0.9349974426457643,-0.005298590810476678,0.597877574428067,"The sentence structure ""The other activities within the building including the garden and restaurant of the Exchange building"" introduces a third item (""The underground complex""), with ""The rear of the building"" suggesting a concluding detail about the complex's architectural features or usage.",-0.02966156349642035,1,-0.029088311064403904,5,-0.03758591813054013,31,-0.08148467996605602
47,14,472,395,pilot,2,3,45,0.9349974426457643,-0.32992273833625063,0.8675488894312391,"Final token ""the"" is an article mid-phrase (""The basement of the""), part of a list of specific building components (""The underground portion of the""), expecting a noun like ""building"" or ""Exchange House"" or ""complex has three floors"" or ""building houses the chapel and other amenities.""",-0.013808279148463054,8,-0.027744768699968114,34,-0.18079632539449808,51,-0.16956248937426288
48,15,454,435,pilot,0,4,21,0.8982661786648177,-0.029594016970368453,0.25698791165098533,"Australian music blog format with interview quotes and cultural commentary, listing artist's album details and personal reflections on music and fashion.",-0.015183931686660768,65,-0.015183931686660768,65,-0.01857806322310085,83,-0.004365231070251996
49,15,454,435,pilot,1,4,11,0.8982661786648177,-0.003106267046954714,0.37257102872701797,"The quoted lyric mid-sentence (""I think a lot of the negativity...",-0.00777312795766727,94,0.001630167568729246,25,-0.009137309269433347,80,-0.002991760488614603
50,15,454,435,pilot,2,4,31,0.8982661786648177,-0.014149963247038655,0.7572159847619134,"things in the way"") is mid-quote describing personal struggles or existential themes, with the phrase ""things in the way of life"" continuing a list of obstacles or ideals about human experience.",-0.01618016785990528,27,-0.0234184121755433,39,-0.015838248378542863,78,-0.0027016123729581842
51,15,454,435,pilot,3,4,47,0.8982661786648177,-0.039574062468816784,0.7892948853054931,"Final token ""way"" ends an incomplete quoted phrase (""The things in the way""), part of a quoted lyric description clause (""All the obstacles in the way""), expecting continuation like ""of life"" or ""of happiness"" or ""of people's dreams"" or ""of the barriers to progress"" completing the thought.",-0.03629870226733922,6,-0.19664203436875194,49,-0.06756899237969449,1,-0.3639639630660795
52,16,167,60,pilot,0,3,22,0.8820226317726803,0.0016174636313109891,0.563261816003333,"Encyclopedic or biographical format with a Wikipedia-style header suggesting a historical figure's intellectual contributions, establishing academic context about Canadian economist Halford Mackinder.",-0.013805649305031698,53,-0.006172911460473829,23,-0.00860884662012118,21,0.00015110973618193135
53,16,167,60,pilot,1,3,34,0.8820226317726803,-0.014392906426830998,0.8055132388649239,"The phrase ""The American political scientist Halford Mackinder was known for his writings on imperialism , "" implies a list or paired subjects, likely naming his theories or fields like economics and social history.",-0.01567097334664891,20,-0.021718381972468892,60,-0.006152016579077935,39,-0.03651593240551365
54,16,167,60,pilot,2,3,48,0.8820226317726803,-0.10244456335008245,0.8312818402477742,"Final token "" , "" is mid-list after ""in economics , "" part of an enumerated subject list (""his writings on economics , ""), strongly expecting a parallel noun phrase like ""history"" or ""global systems"" or ""technology and culture"" or ""economic institutions"" or ""and ideology, and their influence.""",-0.027929457590538997,16,-0.05554414554252107,1,-0.185109908016851,34,-0.08408802345995225
55,17,100,26,pilot,0,3,19,0.9275991143947511,-0.004259141552238277,0.46303969860411714,"Wikipedia article format with a brief descriptive blurb about a novel, suggesting a book cover or literary work entry.",0.0009091939549804584,38,-0.005391864852551387,67,0.0009091939549804584,38,0.0009630610165837217
56,17,100,26,pilot,1,3,38,0.9275991143947511,-0.0027069101956641584,0.7584749358347246,"The phrase ""A 2005 novel titled The War of the Worlds is an ap"" strongly implies a genre descriptor or literary label, likely a science fiction novel about zombie apocalypse, continuing the context of a serialized work's narrative.",-0.08800050107577684,43,-0.2430239377447464,59,-0.019765716278503542,10,-0.00330230262710296
57,17,100,26,pilot,2,3,45,0.9275991143947511,-0.1872300975846427,0.9215733415751436,"Final token ""ap"" is a truncated word mid-term (""an ap""), part of a noun phrase describing the novel's genre classification (""A dark apocalyptic novel""), immediately requiring a noun like ""ocalyptic novel"" or ""ocalyptic fiction novel"" or ""ocalyptic literary work"" or ""fictional narrative about zombie history.""",-0.2021209665209731,48,-0.3139493469500668,23,-0.003169954525392371,17,-0.31737109883123404
58,18,353,55,pilot,0,3,17,0.8913616395173302,-0.014173420882076404,0.47959482259553804,"Wiki article format with geographic/statistical entry structure, establishing a US National Forest designation with dimensions and boundaries.",-0.0063964555143795065,82,-0.010598720003620499,3,-0.001974125382621539,34,-0.0033149125015689007
59,18,353,55,pilot,1,3,42,0.8913616395173302,-0.02125160945684368,0.636911265846145,"The phrase ""The Black Hills National Forest is a United States Forest Service unit covering 1,355 sqmi in western South Dakota as"" implies a definition or summary clause follows, likely continuing with a formal description of the park's administrative or geographic scope.",-0.2642561771032058,37,-0.043720706685775546,26,-0.283871555963327,32,-0.0497246499697912
60,18,353,55,pilot,2,3,40,0.8913616395173302,-0.21805988559442224,0.8556765160527523,"Final token ""as"" ends an incomplete phrase (""1,355 sqmi in western South Dakota as 5 counties covering the park's area of 1,355 sqmi as""), strongly expecting ""a part of the National Forest System"" or ""of a mapped area"" or similar.",-0.05427396792693484,5,-0.043444666339535476,31,-0.05427396792693484,5,-0.2606387125186377
61,19,592,254,pilot,0,4,20,0.9093434584934846,-0.021532269234429635,0.42079616552345395,"Historical encyclopedia article format with academic political analysis tone, detailing Republican presidential candidate Hoover's campaign performance during the 1932 election.",0.0002076446769152529,78,-0.015642266172292252,49,-0.005442569045652101,9,-0.0004557812014864826
62,19,592,254,pilot,1,4,36,0.9093434584934846,-0.015471535567757377,0.8436706626433765,"The sentence structure ""His initial popularity was strong, with Roosevelt's support growing throughout the summer; his support"" suggests a list of campaign dynamics or vote outcomes, likely describing rural or conservative vote shifts or a peak.",-0.046102100146485414,55,-0.017816480690975967,42,-0.019561902267009934,44,-0.00755670342432313
63,19,592,254,pilot,2,4,7,0.9093434584934846,-0.009517288079975983,0.6499471082193491,"Final token ""support"" ends mid-clause (""His support...",-0.004571513553199957,39,-8.154431691265174e-05,90,-0.001955390764365461,32,-0.004302228650404971
64,19,592,254,pilot,3,4,37,0.9093434584934846,-0.0003421439230373302,0.8476718407540862,"his support""), part of a quoted description of Roosevelt's early vote totals (""Though his initial numbers were strong, his support""), expecting continuation like ""was sustained"" or ""extended into the electoral vote"" or ""included a backlash against depression.""",-0.03916539693228105,51,-0.02024634719025642,16,-0.033919917534507404,26,-0.02750390817591908
65,20,270,216,pilot,0,3,21,0.8866964212357636,-0.004364986443487595,0.5401200551165406,"Historical military account format with American Civil War context describing a battle march, detailing a Confederate raiding force's route and actions.",-0.018684598819391884,83,-0.018527039335098805,89,-0.005810389262781657,36,-0.0054699660502592895
66,20,270,216,pilot,1,3,42,0.8866964212357636,-0.00790111614304434,0.856162393222753,"The sentence structure ""General Scott 's army retreated to Buffalo , New York while the main body of the Union army moved to Rochester , "" mirrors a list of destinations, establishing a parallel clause describing the retreat plan and its outcome.",-0.026943425375130725,66,-0.0399168210008205,28,-0.016130267130277876,51,-0.017229806176152884
67,20,270,216,pilot,2,3,47,0.8866964212357636,-0.018065662296449903,0.8624202101649749,"Final token "" , "" is mid-clause after ""moved to Canandaigua , "" completing a specific destination clause (""General Scott's army had moved to Canandaigua and traveled to Buffalo ""), strongly expecting ""while the remainder"" or ""New York, but was delayed"" or ""a safe area, leaving behind.""",-0.010471543576809905,3,-0.026612410443241807,58,-0.018309546215525718,47,-0.17991013309432524
68,21,459,18,pilot,0,5,17,0.8840700223043975,-0.011228969471647865,0.5408139753975988,"Wikipedia-style article format with song reference listing, suggesting a biographical or encyclopedia entry about a baseball player.",-0.02878466505427779,5,-0.006057713348039173,61,-0.006057713348039173,61,0.001527194577150004
69,21,459,18,pilot,1,5,35,0.8840700223043975,-0.00040185509315959766,0.7620283159969753,"The phrase ""An American actor born on November 14 , "" begins a parenthetical date or name context, implying a specific historical figure's biographical details, likely a deceased person with ""Bob Hope"" or similar name.",-0.07794198984489775,31,-0.08992533133073877,57,-0.03662371544029208,25,-0.010380483580771371
70,21,459,18,pilot,2,5,10,0.8840700223043975,0.004611123338616241,0.6871787384471728,"Final token "" 1, "" is mid-date ("" born Feb.",-0.022362623752906763,10,-0.007330447947169194,18,-0.026651664414704013,59,0.006866611445418669
71,21,459,18,pilot,3,5,13,0.8840700223043975,-0.012247812847653972,0.6989970757905918,"19,  ""), part of a numeric date expression following ""John Thomas Smith, Jr.",-0.016859295429314303,57,-0.013515156929004069,19,-0.026405700289017342,12,-0.01306813852608868
72,21,459,18,pilot,4,5,17,0.8840700223043975,-0.008270281183291095,0.8103350291993002,", born..."" pattern, strongly expecting a year like ""1895"" or ""1914–"" continuing the death date or birth.",-0.0080386542919606,59,-0.07907176084187939,39,-0.07487959120167442,44,0.001021925436667348
73,22,536,20,pilot,0,3,19,0.853309744571527,0.0038797937724792675,0.5345531111916175,"Structured wiki format with ""John Baltimore"" as a name entry, suggesting a biographical or historical template with labeled fields.",-0.004957645526108778,36,0.004158477600678445,27,-0.01383820152802373,79,0.004020919105091947
74,22,536,20,pilot,1,3,38,0.853309744571527,-0.028001287463900737,0.8161392032980866,"The phrase ""John Baltimore, 1st Baron Baltimore"" repeats as a title, strongly implying the entry is defining or listing the person's name and title, likely continuing with a biographical description or historical context about his founding of Maryland.",-0.023673665004798283,34,-0.0223898599432526,64,-0.019588521962681904,18,-0.001880023904794803
75,22,536,20,pilot,2,3,45,0.853309744571527,-0.0313604086334367,0.8487982506733889,"Final token ""Baltimore Baltimore"" closes a repeated name (""John Baltimore, 1st Baron Baltimore""), part of a title or label pattern (""John Baltimore, 1st Baron Baltimore""), immediately expecting continuation like ""was a"" or ""is a historical figure"" or ""was born in..."" or ""is his full name.""",-0.04377568960989631,52,-0.025290464901841725,45,-0.043355723221767395,14,-0.2669897464210801
76,23,83,276,pilot,0,3,20,0.9224282416131006,-0.012701602309977966,0.5115812413099645,"Historical military/technical article describing a medieval ship design, with structured details about a Swedish war galley's specifications and combat capabilities.",-0.000589988282484466,37,-0.0051697565957317115,29,-0.0005841201827820885,74,-0.008017751865334488
77,23,83,276,pilot,1,3,41,0.9224282416131006,-0.010697308899002556,0.7417957157147763,"The sentence ""The ship was now a heavy armed galleass with improved hull and carrying 16 large guns, but also mounting several heavy"" suggests a list of weapon attributes or firepower details, completing a specific numeric claim about ballistics or artillery.",-0.19809325911019326,42,-0.15516375227363355,54,-0.0995989954374884,48,-0.020610501531862724
78,23,83,276,pilot,2,3,38,0.9224282416131006,-0.11019307716233628,0.8383599003015504,"Final token ""heavy"" ends mid-phrase (""several heavy""), part of a noun phrase listing weapon attributes (""equipped with several heavy""), strongly expecting ""artillery guns"" or ""ballistic cannons"" or ""loaded shot"" or ""hand-held weapons"" to complete the military equipment description.",-0.2707831827717687,55,-0.2707831827717687,55,-0.11752130310085829,53,-0.15127811165278582
79,24,524,143,pilot,0,3,22,0.9041422427443225,-0.015438523407149352,0.5744242806137607,"Narrative momentum: literary article format with dialogue excerpt describing a film actor's behavior, detailing a 1960s character's mental state and social attitudes.",-0.019333082157744652,8,-0.0027385957347462186,79,-0.010758183078059869,35,-0.007440446569778381
80,24,524,143,pilot,1,3,39,0.9041422427443225,-0.02387122768817307,0.8290766085819833,"The phrase ""A depressed artist who feels alienated from his wife and colleagues, one character observes strange behaviors about the"" suggests an incomplete clause listing cultural or societal observations, likely referencing the Vietnam War or a broader world view.",-0.018515952922895762,40,-0.027733449323345538,60,-0.03193533888641353,54,-0.050757324201184506
81,24,524,143,pilot,2,3,44,0.9041422427443225,-0.049489608135332874,0.8281020094725351,"Final token ""the"" is an incomplete noun phrase mid-clause (""sometimes sees things about how they see the""), part of a quoted example list (""a disillusioned architect who sees strange views of the""), expecting a noun like ""world"" or ""world around them"" or ""world's beauty.""",-0.019466508706848074,35,-0.012262984522652176,27,-0.028821960134937097,57,-0.12440275017916946
82,25,18,394,pilot,0,3,17,0.9126156837004097,-0.02345974182369237,0.5474496984222377,"Sports news article detailing NFL player Scottie Pippen's career, with biographical narrative structure listing accomplishments and tributes.",-0.009022318109871419,47,-0.011492251042925283,56,-0.024097786289813516,1,-0.0008814885887210577
