item_id,item_type,context_id,prefix_text,sentence,original_explanation,new_explanation_1,new_explanation_2,transform,human_label,human_note,arm_1,arm_2,stratum,own_persist_word,random_persist_word,own_persist_claim,random_persist_claim
d1_row_476,d1_row,140,,"The phrase ""The fifth novel of Stephen King , his 25"" strongly implies a numbered list or record of his works, with ""25th novel"" suggesting a milestone or ranking number for his career.","Wiki article format with descriptive prose about a novel, establishing a book title and author context.

The phrase ""The fifth novel of Stephen King , his 25"" strongly implies a numbered list or record of his works, with ""25th novel"" suggesting a milestone or ranking number for his career.

Final token ""25"" is mid-number in ""his 25,"" part of an attribution claim (""his 25th novel, his 25""), immediately expecting ""th novel"" or ""th work"" or ""th novel in his series,"" completing the numerical claim about his record-breaking or numbered literary achievement.","Wiki-style or fan fiction format with a title suggesting a book or film, implying a numbered list or descriptive context about a Canadian author's novel.

The phrase ""His 25th novel , being his 25"" strongly implies a numeric designation or record, likely a numbered series or milestone, completing ""his 25th novel"" or ""a novel about crime.""

Final token ""25"" is mid-number in ""his 25,"" part of an attribution claim (""his 25th novel, 25""), immediately expecting ""th novel"" or ""th novel in his career"" or ""th novel"" to complete the numeric milestone claim.","Wikipedia article format with biographical prose describing a novel, establishing factual details about Canadian author David Morrell's third novel.

The phrase ""It is his 14th novel, which is his 25"" mirrors a numbered series claim, suggesting a concluding statistic about his authorship count or career milestone, completing the ""first nonfiction work"" attribution.

Final token ""25"" is mid-number in ""his 25,"" part of an attribution claim (""his 25th book, his 25th work""), strongly expecting ""th book"" or ""th work"" to close the number, then likely ""th novel"" or ""th book.""",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_in_prefix,1.0,1.0,0.2619047619047619,0.3939393939393939
d1_row_547,d1_row,162,,"Wiki article format with structured metadata (""Song by Taylor Swift"") establishes a music entry describing a collaborative performance.","Wiki article format with structured metadata (""Song by Taylor Swift"") establishes a music entry describing a collaborative performance.

The phrase ""A 2005 song is a du"" strongly implies the word ""duet"" or ""duet song,"" completing the description of the artist's collaboration with another performer, likely naming the song's title or confirming the dual nature of the performance.

Final token ""du"" is a truncated word mid-definition (""a du""), part of a noun phrase describing the song's status (""This is a duet""), immediately requiring ""et song"" or ""ited song by Taylor Swift and another artist,"" continuing the definition of the collaborative work.","Informal song lyrics format with descriptive phrase ""A Canadian country song about love is a duet"" implies a music title or artist context.

The phrase ""This is a du"" strongly suggests a compound noun or phrase describing the song's dual nature or a song credit, likely ""duet"" or ""song"" completion, implying the combined work of two artists.

Final token ""du"" is a truncated word mid-phrase (""This is a du""), part of a noun phrase structure (""This is a duet song""), strongly expecting ""et song"" or ""ited song"" or ""credit piece"" or ""song by the duo"" completing the claim about the song's dual nature.","Structured Wikipedia article format with a song title and description, implying a celebrity biography or music entry about Celine Dion and Shania Twain.

The phrase ""A 1995 single is a du"" strongly implies a compound noun describing a collaboration, specifically ""duet"" or ""a song by the two artists,"" establishing the event's dual nature.

Final token ""du"" is a truncated word mid-term (""a duet is a du""), part of a definition clause (""This song is a duet""), immediately requiring ""et song"" or ""et performance"" or ""ited song by the two artists"" to complete the noun phrase describing their collaboration.",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,1.0,1.0,0.15625,0.26666666666666666
d1_row_161,d1_row,47,,"The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract.","Wikipedia article format with numbered list entries detailing a WWE wrestler's career history, including character analysis and statistical data about John Cena.

The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract.

Final token ""Sm"" is a truncated word mid-sentence (""left Sm""), part of a list of TV appearances (""During his time on Raw he also appeared on SmackDown and later on Sm...""), strongly expecting ""ackdown"" or ""ackdown and his career, where he faced financial difficulties.""","Wikipedia article format with structured bullet points listing WWE character statistics, with a specific entry detailing John Cena's career history and ratings.

The sentence ""John Cena appeared on SmackDown during his time in the WWE"" is mid-example, listing a specific TV appearance event (""He was removed from Sm""), continuing a career timeline with a TV show context about his performance and status.

Final token ""Sm"" is a truncated word mid-sentence (""appeared on Sm""), part of a specific example clause listing his WWE career details (""During a stint on SmackDown""), immediately expecting ""ackdown"" or ""ackdown and was eliminated"" or ""ackdown and his career.""","Wikipedia article format with numbered list entries detailing a professional wrestler's career history, listing television appearances and championship records for John Cena.

The sentence structure ""During his time on WWE he appeared on the WWE Raw and SmackDown shows and later had a brief stint in the WWE Universe"" continues listing his TV career struggles and career reversals, with ""Smackdown"" ending a second example.

Final token ""Sm"" is a truncated word mid-sentence (""Sm""), part of the third career entry listing his later WWE appearances (""During his time in Smackdown...""), strongly expecting ""ackdown and"" or ""ackdown, where he was fired"" or similar.",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_in_prefix,0.0,0.0,0.2692307692307692,0.37254901960784315
d1_row_307,d1_row,89,,"Australian botanical/field guide format with structured species description, detailing a rare New Zealand orchid species with botanical characteristics and habitat.","Australian botanical/field guide format with structured species description, detailing a rare New Zealand orchid species with botanical characteristics and habitat.

The sentence ""The flower is tubular shaped, emerging from a bulb-like spike typical"" introduces a descriptive clause mid-sentence listing flower features, likely referencing the orchid's characteristic corolla structure or inflorescence form from the genus.

Final token ""typical"" ends an incomplete noun phrase (""from typical""), part of a botanical description clause (""Flowers feature from typical""), immediately expecting a noun like ""orchidoid sepals"" or ""rounded orchid flowers"" or ""Bulbous orchid flower structures"" continuing the taxonomic description.","Australian botanical/field guide format with structured species description, detailing a rare orchid species with scientific naming and field identification characteristics.

The sentence ""The flower is a large purple tuberous orchid with a distinctive flower head; shaped like typical"" begins a description of flower morphology features, listing a specific plant characteristic from the species' inflorescence structure.

Final token ""typical"" is mid-phrase (""from typical""), part of a parenthetical clause describing flower parts (""Flowers are from typical...""), immediately requiring a noun phrase like ""orchidoid spike flowers"" or ""Dactylorhiza petaloid segments"" or ""orchid flower parts.""","Wikipedia-style plant article with descriptive prose about a hybrid orchid species, establishing botanical characteristics and naming conventions.

The sentence structure ""The flower's petals form a typical"" introduces a clause describing the bloom's physical structure, likely referencing the orchid's corolla or bud arrangement from the genus Rhododendron, continuing a botanical description pattern about the plant's flower characteristics.

Final token ""typical"" is mid-phrase (""from typical""), part of a parenthetical clause listing structural features (""From petals from typical""), expecting a noun like ""orchidoid bud clusters"" or ""Rhododendron's distinctive cupped sepals"" or ""bloom structures.""",ablation (which new explanation still asserts the claim?),,,random,own,nonlast_in_prefix,0.0,0.0,0.25,0.6363636363636364
d1_row_368,d1_row,106,,"The sentence structure ""In his sophomore season, Johnson finished the season as a finalist for the Walter Camp Freshman of the Year award and was a candidate for"" lists awards, specifically naming a college football award category (Heisman, Walter Camp).","College football statistics format with player bio listing career highlights and game performance details, including NFL Draft order and award honors.

The sentence structure ""In his sophomore season, Johnson finished the season as a finalist for the Walter Camp Freshman of the Year award and was a candidate for"" lists awards, specifically naming a college football award category (Heisman, Walter Camp).

Final token ""for"" ends an incomplete noun phrase (""his awards includes nominations for""), part of a specific award list item (""During his freshman year he was a candidate for awards including""), expecting a specific award name like ""the Outland Trophy, the Maxwell Award"" or ""both the ACC Player of the Year.""","College football statistics format with player bio listing career highlights and season stats for Texas Tech quarterback Mike White.

The sentence ending ""In his final season he was a finalist for awards including"" is a list of honors/awards, with ""His career statistics earn him awards for"" suggesting a specific award or honor like the Walter Camp or Maxwell Award.

Final token ""for"" ends an incomplete noun phrase (""His lists includes awards for""), part of a final honor listing clause (""His career awards includes selections for""), expecting specific awards like ""the Walter Camp Award, the ACC Player of the Year"" or ""both the ACC Player of the Year and POY.""","College football statistics article format with detailed player career stats and game logs, listing weekly performances and awards throughout.

The final sentence ""As a senior he finished his season with a .315 batting average and was a finalist for the Walter Camp Freshman of the Year award"" is a list of awards, ending with a specific college football award nomination naming academic honors like the Heisman or AFCA.

Final token ""for"" ends an incomplete noun phrase (""he was a finalist for""), part of a third award listing clause (""In his junior year he received nominations for awards""), expecting ""the Heisman Trophy and the Maxwell Award"" or ""both the ACC Player of the Year.""",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,1.0,1.0,0.2916666666666667,0.46808510638297873
d1_row_362,d1_row,104,,"The sentence structure ""Unlike many of his fellow characters"" suggests a contrast clause continuing a character trait or narrative arc about the villain's mysterious origin versus the show's other characters, likely referencing the novel's established ensemble cast or lack of backstory.","Wiki article format with film description listing plot details about a sci-fi television series, establishing factual tone with literary analysis context.

The sentence structure ""Unlike many of his fellow characters"" suggests a contrast clause continuing a character trait or narrative arc about the villain's mysterious origin versus the show's other characters, likely referencing the novel's established ensemble cast or lack of backstory.

Final token ""characters"" ends mid-clause (""Unlike many of his characters""), part of a comparative clause (""Unlike other aspects of the show's cast of characters""), strongly expecting continuation like ""who are fully developed,"" ""this villain is,"" or ""the protagonist's backstory, he remains mysterious"" or similar.","Wikipedia article format with film entry structure, describing a television series episode with factual details about a sci-fi superhero show.

The sentence ""Unlike most other episodes of the series, this character is not a recurring element of the cast of characters"" follows a pattern of character assessment, likely continuing a quote or summary about the show's tone or narrative style versus other series characters.

Final token ""characters"" ends mid-clause (""Among a cast of characters""), part of a list or clause structure (""Unlike other aspects of the ensemble of characters""), strongly expecting continuation like ""this one is,"" ""the protagonist is generally positive,"" or ""the series' characters are often portrayed,"".","Wiki-style film entry format with literary analysis tone, describing a television episode's supernatural horror character ""John Locke,"" establishing narrative context about the show's mysterious protagonist.

The phrase ""Unlike many of his fellow characters"" signals a list or contrast structure (""Unlike other aspects of the story's characters""), likely continuing a pattern about the character's lack of backstory or consistent behavior.

Final token ""characters"" ends mid-clause (""Unlike many of our characters""), part of a noun phrase listing characteristics (""Unlike the various aspects of our characters""), strongly expecting continuation like ""this one is,"" ""the protagonist has,"" or ""who are frequently killed off,"" or ""the series creates, Locke's backstory.""",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,1.0,1.0,0.32653061224489793,0.3953488372093023
d1_row_289,d1_row,84,,"The phrase ""The unit was one of the first Australian Army Air Corps personnel to serve in the defence of New"" implies a geographic or historical context clause about New Zealand's territory or scale, with ""New Zealand"" being a specific location name expected to complete the list of areas covered.","Historical military aviation reference format with a Wikipedia-style description, suggesting a military aviation unit biography or historical record.

The phrase ""The unit was one of the first Australian Army Air Corps personnel to serve in the defence of New"" implies a geographic or historical context clause about New Zealand's territory or scale, with ""New Zealand"" being a specific location name expected to complete the list of areas covered.

Final token ""New"" is mid-word (""New""), part of a parenthetical geographic specification (""the entire area of New""), immediately requiring ""Zealand"" or ""Zealand's"" or ""South Island,"" continuing the historical context about the unit's wartime personnel scope.","Wikipedia article format with military aviation history entry, listing aircraft specifications and unit details for a World War II-era American Army officer.

The phrase ""His service record was a member of the Royal Australian Air Force during most of New"" suggests a geographic or organizational context clause, likely naming a geographic area or territory, completing a historical description of the unit's scope.

Final token ""New"" is mid-word (""area of New""), part of a parenthetical geographic specification (""the entire area of New""), immediately requiring ""Guinea"" or ""Zealand"" or ""York State"" to complete the place name, likely followed by ""Guinea"" or ""York State's territory.""","Historical/technical format with a structured military aviation term, suggesting a reference or citation format with a date and source about a British aircraft designation.

The phrase ""The movement of all personnel of the Royal Australian Air Force westward across New"" strongly implies a geographic location clause completing ""New Zealand,"" continuing the list of affected areas for the quarantine zone.

Final token ""New"" is mid-word (""New""), part of a geographic location specification (""within New Zealand""), directly continuing the second item in a parenthetical list (""the area of service of New Zealand""), strongly expecting ""Zealand"" or ""Guinea"" or ""Zealand"" to complete the place name.",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,1.0,1.0,0.25,0.28846153846153844
d1_row_440,d1_row,129,,"Final token ""Club"" ends mid-sentence (""as Glasgow Cricket Club as Glasgow Football Club""), part of a clause defining the earlier membership's name change (""when it became Glasgow Cricket Club, forming Glasgow Football Club""), expecting continuation like ""it"" or ""a purely local club"" or ""and began its own.""","British football history blog format with historical narrative detailing a club's evolution, listing early footballing activities and founding context.

The sentence structure ""The club had started as a Social Club in Glasgow, before becoming the Glasgow Football Club, and then in 1875 formed as Glasgow Cricket Club"" establishes a chronological pattern describing the club's name change and founding membership shift.

Final token ""Club"" ends mid-sentence (""as Glasgow Cricket Club as Glasgow Football Club""), part of a clause defining the earlier membership's name change (""when it became Glasgow Cricket Club, forming Glasgow Football Club""), expecting continuation like ""it"" or ""a purely local club"" or ""and began its own.""","British football history article structure with historical narrative detailing club formation and evolution, presenting facts about a Victorian cricket club's progression.

The paragraph ""The club had begun as the North London Cricket Club in 1865, before becoming a registered club and then in 1872 the London Irish Football Club"" establishes a chronological pattern describing club formation and name change, with a definition clause following.

Final token ""Club"" closes mid-sentence (""became the London Irish Football Club as a social club, and as the London Irish Football Club""), expecting continuation like ""it focused on"" or ""a private membership"" or ""the club changed its status to a football club.""","British football history article structure with historical narrative detailing a club's evolution, listing early footballing activities and founding of the Glasgow Celtic Football Club.

The paragraph ""The club had changed from being a purely social club, to becoming Glasgow Celtic Football Club Limited, with the membership becoming restricted to local members forming Celtic FC Club"" establishes a pattern of defining the club's name change and founding.

Final token ""Club"" closes a clause mid-sentence (""became Celtic Football Club, as Celtic Football Club became Celtic Sports Club Club""), strongly expecting continuation like ""."" or ""it focused on"" or ""a purely social club"" or ""and began its own membership."" completing the historical description.",ablation (which new explanation still asserts the claim?),,,own,random,positive_control_last,1.0,1.0,0.36363636363636365,0.45454545454545453
d1_row_458,d1_row,135,,"Wiki article format with biographical music article structure detailing a Canadian rock band's career, listing albums and influences with informal tone.","Wiki article format with biographical music article structure detailing a Canadian rock band's career, listing albums and influences with informal tone.

The sentence ""Later in his career, the band adopted a heavier style known as 'The Wall of Sound'"" describes a musical characteristic, mid-clause listing technical attributes (""a dense wall of sound""), suggesting continuation describing his production style or vocal techniques.

Final token ""sound"" ends an incomplete noun phrase (""a wall of sound""), part of a parenthetical description clause (""characterized by a dense wall of sound""), strongly expecting continuation like ""and dense instrumentation"" or ""with layered vocals"" or ""is combined with intense overdubbing.""","Wiki article format with structured biographical entries describing a music artist's career, listing numbered albums and stylistic shifts.

The phrase ""a later era of his work, known for his expansive live performances featuring a dense wall of sound"" is mid-description, with ""a dense wall of sound"" suggesting a specific technical term or characteristic of his production style, completing a quoted description of his mixing technique.

Final token ""sound"" ends an incomplete noun phrase (""a wall of sound""), part of a list of attributes (""a dense wall of sound... composed of a sea of sound""), strongly expecting continuation like ""and/or"" or ""with numerous instruments"" or ""is produced"" or similar.","Music blog format with descriptive bio listing artist credentials and album details, suggesting a song description or band biography structure.

The phrase ""a progressive metal artist known for his dense layered sound and live performances featuring a wall of sound"" implies a concluding descriptor phrase about the producer's style or technique, with ""a dense wall of sound"" suggesting a specific musical characteristic or production style.

Final token ""sound"" ends an incomplete noun phrase (""a wall of sound""), part of a list of attributes (""a dense cloud of dense sonic density with a wall of sound""), strongly expecting continuation like ""and complex instrumentation"" or ""with heavy layered vocals"" or ""is combined with intense mixing.""",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,0.0,0.0,0.4230769230769231,0.21875
d1_row_148,d1_row,43,,"The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.","Wiki article format with comic book character biography listing appearances and sales figures for the superhero ""Darkwolf,"" detailing his media history.

The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.

Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the graphic novel comic book""), expecting ""series"" or ""series' storyline"" or ""comic book series.""","Wikipedia article format with numbered list entries detailing a superhero character's career history and sales figures, establishing factual biographical context about Wolverine.

The sentence structure ""The character appeared in various comic book appearances and video game appearances, including the character's own autobiography comic book"" lists a third item (""a run as a main character in the Marvel Comics comic book""), implying a specific work or series credit.

Final token ""comic book"" ends mid-phrase (""the comic book""), part of a noun phrase listing credits (""his appearances in the comic book comic strip""), expecting ""series"" or ""series 'Wolverine'"" or ""storyline"" or ""series and related works.""","Wiki article format with numbered list structure describing a comic book character's appearances and career, implying continuation of character details about Scott Lobdell's work.

The phrase ""His own comic book series and appearances in the DC Comics universe as well as the graphic novel and comic book series"" suggests a concluding item listing his comic book series and a related comic book series or series.

Final token ""book"" ends an incomplete noun phrase (""the comic book comic book""), part of a list of media appearances (""his participation in the comic strip and the Marvel comic book comic book""), strongly expecting ""series"" or ""series"" or ""series called 'Dark Horse'"" or ""comics run.""",ablation (which new explanation still asserts the claim?),,,own,random,nonlast_in_prefix,1.0,1.0,0.2765957446808511,0.3684210526315789
